Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Australia,New South Wales,AU-NSW,324.42,376.35,56.31,56.31,opennem.org.au,false,
2022-01-01 01:00:00,Australia,New South Wales,AU-NSW,323.34,375.57,56.32,56.32,opennem.org.au,false,
2022-01-01 02:00:00,Australia,New South Wales,AU-NSW,326.03,378.12,56.08,56.08,opennem.org.au,false,
2022-01-01 03:00:00,Australia,New South Wales,AU-NSW,333.5,385.76,55.12,55.12,opennem.org.au,false,
2022-01-01 04:00:00,Australia,New South Wales,AU-NSW,358.72,410.19,52.8,52.8,opennem.org.au,false,
2022-01-01 05:00:00,Australia,New South Wales,AU-NSW,404.19,456.46,46.82,46.82,opennem.org.au,false,
2022-01-01 06:00:00,Australia,New South Wales,AU-NSW,475.34,530.13,36.54,36.54,opennem.org.au,false,
2022-01-01 07:00:00,Australia,New South Wales,AU-NSW,515.98,573.28,29.8,29.8,opennem.org.au,false,
2022-01-01 08:00:00,Australia,New South Wales,AU-NSW,612.52,672.19,16.77,16.77,opennem.org.au,false,
2022-01-01 09:00:00,Australia,New South Wales,AU-NSW,652.25,711.17,11.36,11.36,opennem.org.au,false,
2022-01-01 10:00:00,Australia,New South Wales,AU-NSW,659.6,718.17,10.39,10.39,opennem.org.au,false,
2022-01-01 11:00:00,Australia,New South Wales,AU-NSW,660.66,719.18,10.23,10.23,opennem.org.au,false,
2022-01-01 12:00:00,Australia,New South Wales,AU-NSW,666.2,725.44,9.29,9.29,opennem.org.au,false,
2022-01-01 13:00:00,Australia,New South Wales,AU-NSW,670.79,730.43,8.63,8.63,opennem.org.au,false,
2022-01-01 14:00:00,Australia,New South Wales,AU-NSW,670.99,730.71,8.56,8.56,opennem.org.au,false,
2022-01-01 15:00:00,Australia,New South Wales,AU-NSW,664.25,723.93,9.22,9.22,opennem.org.au,false,
2022-01-01 16:00:00,Australia,New South Wales,AU-NSW,656.18,715.56,10.16,10.16,opennem.org.au,false,
2022-01-01 17:00:00,Australia,New South Wales,AU-NSW,655.74,715.28,10.1,10.1,opennem.org.au,false,
2022-01-01 18:00:00,Australia,New South Wales,AU-NSW,664.34,724.59,8.88,8.88,opennem.org.au,false,
2022-01-01 19:00:00,Australia,New South Wales,AU-NSW,659.12,719.29,9.82,9.82,opennem.org.au,false,
2022-01-01 20:00:00,Australia,New South Wales,AU-NSW,557.91,613.9,25.1,25.1,opennem.org.au,false,
2022-01-01 21:00:00,Australia,New South Wales,AU-NSW,445.02,498.99,40.21,40.21,opennem.org.au,false,
2022-01-01 22:00:00,Australia,New South Wales,AU-NSW,366.94,419.23,50.53,50.53,opennem.org.au,false,
2022-01-01 23:00:00,Australia,New South Wales,AU-NSW,320.43,371.82,56.69,56.69,opennem.org.au,false,
2022-01-02 00:00:00,Australia,New South Wales,AU-NSW,305.85,357.37,58.62,58.62,opennem.org.au,false,
2022-01-02 01:00:00,Australia,New South Wales,AU-NSW,308.05,359.72,58.37,58.37,opennem.org.au,false,
2022-01-02 02:00:00,Australia,New South Wales,AU-NSW,311.18,362.92,58.0,58.0,opennem.org.au,false,
2022-01-02 03:00:00,Australia,New South Wales,AU-NSW,330.68,382.86,55.41,55.41,opennem.org.au,false,
2022-01-02 04:00:00,Australia,New South Wales,AU-NSW,365.35,418.18,50.41,50.41,opennem.org.au,false,
2022-01-02 05:00:00,Australia,New South Wales,AU-NSW,382.66,435.86,47.96,47.96,opennem.org.au,false,
2022-01-02 06:00:00,Australia,New South Wales,AU-NSW,418.58,472.4,42.84,42.84,opennem.org.au,false,
2022-01-02 07:00:00,Australia,New South Wales,AU-NSW,457.75,511.53,37.42,37.42,opennem.org.au,false,
2022-01-02 08:00:00,Australia,New South Wales,AU-NSW,510.03,564.16,29.92,29.92,opennem.org.au,false,
2022-01-02 09:00:00,Australia,New South Wales,AU-NSW,559.2,613.96,23.26,23.26,opennem.org.au,false,
2022-01-02 10:00:00,Australia,New South Wales,AU-NSW,585.38,640.57,20.22,20.22,opennem.org.au,false,
2022-01-02 11:00:00,Australia,New South Wales,AU-NSW,584.38,639.11,20.39,20.39,opennem.org.au,false,
2022-01-02 12:00:00,Australia,New South Wales,AU-NSW,569.64,623.35,22.22,22.22,opennem.org.au,false,
2022-01-02 13:00:00,Australia,New South Wales,AU-NSW,566.41,620.06,22.53,22.53,opennem.org.au,false,
2022-01-02 14:00:00,Australia,New South Wales,AU-NSW,581.02,634.76,21.07,21.07,opennem.org.au,false,
