Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Australia,Victoria,AU-VIC,340.15,387.78,55.24,55.24,opennem.org.au,false,
2023-01-01 01:00:00,Australia,Victoria,AU-VIC,332.08,379.35,56.3,56.3,opennem.org.au,false,
2023-01-01 02:00:00,Australia,Victoria,AU-VIC,368.5,417.04,51.52,51.52,opennem.org.au,false,
2023-01-01 03:00:00,Australia,Victoria,AU-VIC,400.08,449.83,47.37,47.37,opennem.org.au,false,
2023-01-01 04:00:00,Australia,Victoria,AU-VIC,428.63,479.6,43.38,43.38,opennem.org.au,false,
2023-01-01 05:00:00,Australia,Victoria,AU-VIC,437.27,489.83,41.16,41.16,opennem.org.au,false,
2023-01-01 06:00:00,Australia,Victoria,AU-VIC,420.63,474.3,41.71,41.71,opennem.org.au,false,
2023-01-01 07:00:00,Australia,Victoria,AU-VIC,417.42,471.84,40.42,40.42,opennem.org.au,false,
2023-01-01 08:00:00,Australia,Victoria,AU-VIC,449.68,505.23,35.1,35.1,opennem.org.au,false,
2023-01-01 09:00:00,Australia,Victoria,AU-VIC,468.61,523.2,32.21,32.21,opennem.org.au,false,
2023-01-01 10:00:00,Australia,Victoria,AU-VIC,474.51,528.25,31.55,31.55,opennem.org.au,false,
2023-01-01 11:00:00,Australia,Victoria,AU-VIC,542.15,597.12,23.64,23.64,opennem.org.au,false,
2023-01-01 12:00:00,Australia,Victoria,AU-VIC,623.54,678.09,15.97,15.97,opennem.org.au,false,
2023-01-01 13:00:00,Australia,Victoria,AU-VIC,656.09,709.57,13.53,13.53,opennem.org.au,false,
2023-01-01 14:00:00,Australia,Victoria,AU-VIC,628.91,680.29,17.32,17.32,opennem.org.au,false,
2023-01-01 15:00:00,Australia,Victoria,AU-VIC,559.77,606.76,26.4,26.4,opennem.org.au,false,
2023-01-01 16:00:00,Australia,Victoria,AU-VIC,509.61,553.47,32.95,32.95,opennem.org.au,false,
2023-01-01 17:00:00,Australia,Victoria,AU-VIC,511.02,554.96,32.76,32.76,opennem.org.au,false,
2023-01-01 18:00:00,Australia,Victoria,AU-VIC,475.58,517.29,37.42,37.42,opennem.org.au,false,
2023-01-01 19:00:00,Australia,Victoria,AU-VIC,503.41,547.08,33.76,33.76,opennem.org.au,false,
2023-01-01 20:00:00,Australia,Victoria,AU-VIC,496.13,540.6,34.73,34.73,opennem.org.au,false,
2023-01-01 21:00:00,Australia,Victoria,AU-VIC,468.23,512.87,38.42,38.42,opennem.org.au,false,
2023-01-01 22:00:00,Australia,Victoria,AU-VIC,449.91,495.78,40.87,40.87,opennem.org.au,false,
2023-01-01 23:00:00,Australia,Victoria,AU-VIC,387.97,433.45,48.95,48.95,opennem.org.au,false,
2023-01-02 00:00:00,Australia,Victoria,AU-VIC,392.63,439.18,48.34,48.34,opennem.org.au,false,
2023-01-02 01:00:00,Australia,Victoria,AU-VIC,359.9,406.98,52.64,52.64,opennem.org.au,false,
2023-01-02 02:00:00,Australia,Victoria,AU-VIC,357.8,405.66,52.92,52.92,opennem.org.au,false,
2023-01-02 03:00:00,Australia,Victoria,AU-VIC,362.54,411.21,52.3,52.3,opennem.org.au,false,
2023-01-02 04:00:00,Australia,Victoria,AU-VIC,364.52,412.31,52.04,52.04,opennem.org.au,false,
2023-01-02 05:00:00,Australia,Victoria,AU-VIC,362.65,408.67,52.28,52.28,opennem.org.au,false,
2023-01-02 06:00:00,Australia,Victoria,AU-VIC,446.72,493.72,41.22,41.22,opennem.org.au,false,
2023-01-02 07:00:00,Australia,Victoria,AU-VIC,473.67,520.87,37.67,37.67,opennem.org.au,false,
2023-01-02 08:00:00,Australia,Victoria,AU-VIC,480.07,526.0,36.94,36.94,opennem.org.au,false,
2023-01-02 09:00:00,Australia,Victoria,AU-VIC,505.54,550.28,33.85,33.85,opennem.org.au,false,
2023-01-02 10:00:00,Australia,Victoria,AU-VIC,526.95,572.42,30.99,30.99,opennem.org.au,false,
2023-01-02 11:00:00,Australia,Victoria,AU-VIC,553.04,599.77,27.63,27.63,opennem.org.au,false,
2023-01-02 12:00:00,Australia,Victoria,AU-VIC,576.91,624.91,24.5,24.5,opennem.org.au,false,
2023-01-02 13:00:00,Australia,Victoria,AU-VIC,581.46,629.7,23.87,23.87,opennem.org.au,false,
2023-01-02 14:00:00,Australia,Victoria,AU-VIC,594.27,643.36,22.16,22.16,opennem.org.au,false,
2023-01-02 15:00:00,Australia,Victoria,AU-VIC,608.68,658.68,20.23,20.23,opennem.org.au,false,
2023-01-02 16:00:00,Australia,Victoria,AU-VIC,616.68,667.49,18.9,18.9,opennem.org.au,false,
2023-01-02 17:00:00,Australia,Victoria,AU-VIC,602.14,651.59,21.08,21.08,opennem.org.au,false,
2023-01-02 18:00:00,Australia,Victoria,AU-VIC,593.75,643.03,22.07,22.07,opennem.org.au,false,
2023-01-02 19:00:00,Australia,Victoria,AU-VIC,584.75,633.85,23.15,23.15,opennem.org.au,false,
2023-01-02 20:00:00,Australia,Victoria,AU-VIC,560.92,610.27,26.19,26.19,opennem.org.au,false,
2023-01-02 21:00:00,Australia,Victoria,AU-VIC,513.99,562.64,32.37,32.37,opennem.org.au,false,
2023-01-02 22:00:00,Australia,Victoria,AU-VIC,480.45,528.74,36.78,36.78,opennem.org.au,false,
2023-01-02 23:00:00,Australia,Victoria,AU-VIC,452.96,500.42,40.4,40.4,opennem.org.au,false,
2023-01-03 00:00:00,Australia,Victoria,AU-VIC,419.68,468.22,44.78,44.78,opennem.org.au,false,
2023-01-03 01:00:00,Australia,Victoria,AU-VIC,380.83,427.71,49.89,49.89,opennem.org.au,false,
2023-01-03 02:00:00,Australia,Victoria,AU-VIC,355.92,401.73,53.17,53.17,opennem.org.au,false,
2023-01-03 03:00:00,Australia,Victoria,AU-VIC,355.86,401.62,53.18,53.18,opennem.org.au,false,
2023-01-03 04:00:00,Australia,Victoria,AU-VIC,335.43,380.61,55.87,55.87,opennem.org.au,false,
2023-01-03 05:00:00,Australia,Victoria,AU-VIC,341.19,386.14,55.11,55.11,opennem.org.au,false,
2023-01-03 06:00:00,Australia,Victoria,AU-VIC,368.73,414.26,51.48,51.48,opennem.org.au,false,
2023-01-03 07:00:00,Australia,Victoria,AU-VIC,389.05,433.4,48.81,48.81,opennem.org.au,false,
2023-01-03 08:00:00,Australia,Victoria,AU-VIC,415.17,457.6,45.4,45.4,opennem.org.au,false,
2023-01-03 09:00:00,Australia,Victoria,AU-VIC,476.84,519.8,37.34,37.34,opennem.org.au,false,
2023-01-03 10:00:00,Australia,Victoria,AU-VIC,494.67,538.14,34.95,34.95,opennem.org.au,false,
2023-01-03 11:00:00,Australia,Victoria,AU-VIC,477.11,519.31,37.31,37.31,opennem.org.au,false,
2023-01-03 12:00:00,Australia,Victoria,AU-VIC,516.13,560.21,32.26,32.26,opennem.org.au,false,
2023-01-03 13:00:00,Australia,Victoria,AU-VIC,533.05,577.86,30.15,30.15,opennem.org.au,false,
2023-01-03 14:00:00,Australia,Victoria,AU-VIC,551.85,597.67,27.77,27.77,opennem.org.au,false,
2023-01-03 15:00:00,Australia,Victoria,AU-VIC,529.22,574.08,30.5,30.5,opennem.org.au,false,
2023-01-03 16:00:00,Australia,Victoria,AU-VIC,502.92,546.35,33.83,33.83,opennem.org.au,false,
2023-01-03 17:00:00,Australia,Victoria,AU-VIC,494.33,537.16,34.98,34.98,opennem.org.au,false,
2023-01-03 18:00:00,Australia,Victoria,AU-VIC,495.7,538.65,34.78,34.78,opennem.org.au,false,
2023-01-03 19:00:00,Australia,Victoria,AU-VIC,498.98,542.08,34.49,34.49,opennem.org.au,false,
2023-01-03 20:00:00,Australia,Victoria,AU-VIC,468.05,511.64,38.41,38.41,opennem.org.au,false,
2023-01-03 21:00:00,Australia,Victoria,AU-VIC,417.84,460.55,45.02,45.02,opennem.org.au,false,
2023-01-03 22:00:00,Australia,Victoria,AU-VIC,386.9,429.54,49.1,49.1,opennem.org.au,false,
2023-01-03 23:00:00,Australia,Victoria,AU-VIC,370.36,413.49,51.27,51.27,opennem.org.au,false,
2023-01-04 00:00:00,Australia,Victoria,AU-VIC,353.23,396.24,53.54,53.54,opennem.org.au,false,
2023-01-04 01:00:00,Australia,Victoria,AU-VIC,344.07,386.74,54.73,54.73,opennem.org.au,false,
2023-01-04 02:00:00,Australia,Victoria,AU-VIC,350.53,393.66,53.88,53.88,opennem.org.au,false,
2023-01-04 03:00:00,Australia,Victoria,AU-VIC,347.13,390.38,54.34,54.34,opennem.org.au,false,
2023-01-04 04:00:00,Australia,Victoria,AU-VIC,348.81,392.33,54.1,54.1,opennem.org.au,false,
2023-01-04 05:00:00,Australia,Victoria,AU-VIC,344.61,386.99,54.66,54.66,opennem.org.au,false,
2023-01-04 06:00:00,Australia,Victoria,AU-VIC,350.92,392.39,53.83,53.83,opennem.org.au,false,
2023-01-04 07:00:00,Australia,Victoria,AU-VIC,364.95,405.44,51.98,51.98,opennem.org.au,false,
2023-01-04 08:00:00,Australia,Victoria,AU-VIC,401.09,441.6,47.23,47.23,opennem.org.au,false,
2023-01-04 09:00:00,Australia,Victoria,AU-VIC,446.68,487.26,41.44,41.44,opennem.org.au,false,
2023-01-04 10:00:00,Australia,Victoria,AU-VIC,473.64,515.4,37.86,37.86,opennem.org.au,false,
2023-01-04 11:00:00,Australia,Victoria,AU-VIC,462.72,503.75,39.32,39.32,opennem.org.au,false,
2023-01-04 12:00:00,Australia,Victoria,AU-VIC,491.39,534.23,35.38,35.38,opennem.org.au,false,
2023-01-04 13:00:00,Australia,Victoria,AU-VIC,534.18,579.39,29.85,29.85,opennem.org.au,false,
2023-01-04 14:00:00,Australia,Victoria,AU-VIC,534.33,579.68,29.74,29.74,opennem.org.au,false,
2023-01-04 15:00:00,Australia,Victoria,AU-VIC,514.02,558.08,32.41,32.41,opennem.org.au,false,
2023-01-04 16:00:00,Australia,Victoria,AU-VIC,533.34,578.71,29.83,29.83,opennem.org.au,false,
2023-01-04 17:00:00,Australia,Victoria,AU-VIC,534.49,579.95,29.67,29.67,opennem.org.au,false,
2023-01-04 18:00:00,Australia,Victoria,AU-VIC,533.87,579.29,29.75,29.75,opennem.org.au,false,
2023-01-04 19:00:00,Australia,Victoria,AU-VIC,541.61,587.79,28.73,28.73,opennem.org.au,false,
2023-01-04 20:00:00,Australia,Victoria,AU-VIC,512.02,559.01,32.63,32.63,opennem.org.au,false,
2023-01-04 21:00:00,Australia,Victoria,AU-VIC,454.28,501.48,40.23,40.23,opennem.org.au,false,
2023-01-04 22:00:00,Australia,Victoria,AU-VIC,402.09,448.76,47.1,47.1,opennem.org.au,false,
2023-01-04 23:00:00,Australia,Victoria,AU-VIC,371.35,418.69,51.14,51.14,opennem.org.au,false,
2023-01-05 00:00:00,Australia,Victoria,AU-VIC,356.55,404.35,53.09,53.09,opennem.org.au,false,
2023-01-05 01:00:00,Australia,Victoria,AU-VIC,359.2,407.37,52.74,52.74,opennem.org.au,false,
2023-01-05 02:00:00,Australia,Victoria,AU-VIC,350.1,397.79,53.94,53.94,opennem.org.au,false,
2023-01-05 03:00:00,Australia,Victoria,AU-VIC,350.33,397.55,53.9,53.9,opennem.org.au,false,
2023-01-05 04:00:00,Australia,Victoria,AU-VIC,343.45,389.6,54.81,54.81,opennem.org.au,false,
2023-01-05 05:00:00,Australia,Victoria,AU-VIC,355.99,401.5,53.16,53.16,opennem.org.au,false,
2023-01-05 06:00:00,Australia,Victoria,AU-VIC,349.61,393.52,54.0,54.0,opennem.org.au,false,
2023-01-05 07:00:00,Australia,Victoria,AU-VIC,365.81,408.44,51.87,51.87,opennem.org.au,false,
2023-01-05 08:00:00,Australia,Victoria,AU-VIC,398.15,439.77,47.61,47.61,opennem.org.au,false,
2023-01-05 09:00:00,Australia,Victoria,AU-VIC,454.1,495.69,40.35,40.35,opennem.org.au,false,
2023-01-05 10:00:00,Australia,Victoria,AU-VIC,491.04,534.17,35.48,35.48,opennem.org.au,false,
2023-01-05 11:00:00,Australia,Victoria,AU-VIC,488.21,531.33,35.77,35.77,opennem.org.au,false,
2023-01-05 12:00:00,Australia,Victoria,AU-VIC,478.71,520.81,37.13,37.13,opennem.org.au,false,
2023-01-05 13:00:00,Australia,Victoria,AU-VIC,521.78,566.21,31.48,31.48,opennem.org.au,false,
2023-01-05 14:00:00,Australia,Victoria,AU-VIC,542.99,588.82,28.64,28.64,opennem.org.au,false,
2023-01-05 15:00:00,Australia,Victoria,AU-VIC,538.5,584.21,29.15,29.15,opennem.org.au,false,
2023-01-05 16:00:00,Australia,Victoria,AU-VIC,526.15,570.86,30.88,30.88,opennem.org.au,false,
2023-01-05 17:00:00,Australia,Victoria,AU-VIC,518.47,562.89,31.78,31.78,opennem.org.au,false,
