Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,Brazil,Central Brazil,BR-CS,52.77,85.49,90.82,86.49,ons.org.br,false,
2024-01-01 01:00:00,Brazil,Central Brazil,BR-CS,47.63,79.4,91.72,87.13,ons.org.br,false,
2024-01-01 02:00:00,Brazil,Central Brazil,BR-CS,44.47,75.65,92.27,87.51,ons.org.br,false,
2024-01-01 03:00:00,Brazil,Central Brazil,BR-CS,45.07,76.34,92.16,87.33,ons.org.br,false,
2024-01-01 04:00:00,Brazil,Central Brazil,BR-CS,44.7,75.89,92.23,87.38,ons.org.br,false,
2024-01-01 05:00:00,Brazil,Central Brazil,BR-CS,44.55,75.71,92.25,87.39,ons.org.br,false,
2024-01-01 06:00:00,Brazil,Central Brazil,BR-CS,44.72,75.91,92.22,87.3,ons.org.br,false,
2024-01-01 07:00:00,Brazil,Central Brazil,BR-CS,45.75,77.1,92.04,87.03,ons.org.br,false,
2024-01-01 08:00:00,Brazil,Central Brazil,BR-CS,46.48,78.0,91.92,86.8,ons.org.br,false,
2024-01-01 09:00:00,Brazil,Central Brazil,BR-CS,47.94,80.38,91.66,86.36,ons.org.br,false,
2024-01-01 10:00:00,Brazil,Central Brazil,BR-CS,49.45,83.64,91.4,85.92,ons.org.br,false,
2024-01-01 11:00:00,Brazil,Central Brazil,BR-CS,50.52,86.09,91.21,85.59,ons.org.br,false,
2024-01-01 12:00:00,Brazil,Central Brazil,BR-CS,51.08,87.47,91.12,85.23,ons.org.br,false,
2024-01-01 13:00:00,Brazil,Central Brazil,BR-CS,49.9,86.28,91.32,85.5,ons.org.br,false,
2024-01-01 14:00:00,Brazil,Central Brazil,BR-CS,48.72,84.98,91.53,85.8,ons.org.br,false,
2024-01-01 15:00:00,Brazil,Central Brazil,BR-CS,48.49,84.77,91.57,85.96,ons.org.br,false,
2024-01-01 16:00:00,Brazil,Central Brazil,BR-CS,48.46,84.81,91.57,85.98,ons.org.br,false,
2024-01-01 17:00:00,Brazil,Central Brazil,BR-CS,49.75,86.01,91.35,85.63,ons.org.br,false,
2024-01-01 18:00:00,Brazil,Central Brazil,BR-CS,49.47,85.32,91.4,85.72,ons.org.br,false,
2024-01-01 19:00:00,Brazil,Central Brazil,BR-CS,48.57,83.07,91.55,86.1,ons.org.br,false,
2024-01-01 20:00:00,Brazil,Central Brazil,BR-CS,45.67,78.24,92.06,86.99,ons.org.br,false,
2024-01-01 21:00:00,Brazil,Central Brazil,BR-CS,42.96,74.21,92.53,87.76,ons.org.br,false,
2024-01-01 22:00:00,Brazil,Central Brazil,BR-CS,39.26,69.55,93.17,88.81,ons.org.br,false,
2024-01-01 23:00:00,Brazil,Central Brazil,BR-CS,37.38,67.38,93.5,89.28,ons.org.br,false,
2024-01-02 00:00:00,Brazil,Central Brazil,BR-CS,38.21,68.34,93.36,89.11,ons.org.br,false,
2024-01-02 01:00:00,Brazil,Central Brazil,BR-CS,38.99,69.24,93.22,88.94,ons.org.br,false,
2024-01-02 02:00:00,Brazil,Central Brazil,BR-CS,40.51,70.99,92.96,88.52,ons.org.br,false,
2024-01-02 03:00:00,Brazil,Central Brazil,BR-CS,41.67,72.34,92.75,88.2,ons.org.br,false,
2024-01-02 04:00:00,Brazil,Central Brazil,BR-CS,43.39,74.35,92.45,87.7,ons.org.br,false,
2024-01-02 05:00:00,Brazil,Central Brazil,BR-CS,43.96,75.0,92.36,87.49,ons.org.br,false,
2024-01-02 06:00:00,Brazil,Central Brazil,BR-CS,44.62,75.75,92.24,87.29,ons.org.br,false,
2024-01-02 07:00:00,Brazil,Central Brazil,BR-CS,44.65,75.77,92.24,87.28,ons.org.br,false,
2024-01-02 08:00:00,Brazil,Central Brazil,BR-CS,45.26,76.56,92.13,87.14,ons.org.br,false,
2024-01-02 09:00:00,Brazil,Central Brazil,BR-CS,45.86,77.97,92.02,87.07,ons.org.br,false,
2024-01-02 10:00:00,Brazil,Central Brazil,BR-CS,44.15,77.14,92.32,87.52,ons.org.br,false,
2024-01-02 11:00:00,Brazil,Central Brazil,BR-CS,41.08,74.51,92.86,88.36,ons.org.br,false,
2024-01-02 12:00:00,Brazil,Central Brazil,BR-CS,39.0,72.82,93.22,88.89,ons.org.br,false,
2024-01-02 13:00:00,Brazil,Central Brazil,BR-CS,38.14,72.29,93.37,89.11,ons.org.br,false,
2024-01-02 14:00:00,Brazil,Central Brazil,BR-CS,38.22,72.61,93.35,89.09,ons.org.br,false,
2024-01-02 15:00:00,Brazil,Central Brazil,BR-CS,39.11,73.87,93.2,88.84,ons.org.br,false,
2024-01-02 16:00:00,Brazil,Central Brazil,BR-CS,38.39,72.82,93.32,89.05,ons.org.br,false,
2024-01-02 17:00:00,Brazil,Central Brazil,BR-CS,38.02,71.79,93.39,89.14,ons.org.br,false,
2024-01-02 18:00:00,Brazil,Central Brazil,BR-CS,38.14,71.05,93.37,89.17,ons.org.br,false,
2024-01-02 19:00:00,Brazil,Central Brazil,BR-CS,37.51,69.36,93.48,89.4,ons.org.br,false,
