Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,338.77,405.14,39.14,39.14,coordinador.cl,false,
2023-01-01 01:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,360.29,429.69,35.27,35.27,coordinador.cl,false,
2023-01-01 02:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,363.13,433.04,34.76,34.76,coordinador.cl,false,
2023-01-01 03:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,369.72,440.68,33.58,33.58,coordinador.cl,false,
2023-01-01 04:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,371.46,442.86,33.26,33.26,coordinador.cl,false,
2023-01-01 05:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,368.55,439.75,33.79,33.79,coordinador.cl,false,
2023-01-01 06:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,367.06,438.26,34.05,34.05,coordinador.cl,false,
2023-01-01 07:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,367.79,438.92,33.92,33.92,coordinador.cl,false,
2023-01-01 08:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,368.87,439.94,33.73,33.73,coordinador.cl,false,
2023-01-01 09:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,359.95,429.7,35.33,35.33,coordinador.cl,false,
2023-01-01 10:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,289.62,352.7,47.97,47.97,coordinador.cl,false,
2023-01-01 11:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,203.99,261.39,63.35,63.35,coordinador.cl,false,
2023-01-01 12:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,162.14,216.44,70.87,70.87,coordinador.cl,false,
2023-01-01 13:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,151.67,205.23,72.75,72.75,coordinador.cl,false,
2023-01-01 14:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,144.35,197.08,74.07,74.07,coordinador.cl,false,
2023-01-01 15:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,139.16,190.95,75.0,75.0,coordinador.cl,false,
2023-01-01 16:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,134.63,185.49,75.81,75.81,coordinador.cl,false,
2023-01-01 17:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,137.39,188.17,75.32,75.32,coordinador.cl,false,
2023-01-01 18:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,134.4,184.51,75.85,75.85,coordinador.cl,false,
2023-01-01 19:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,134.5,184.46,75.84,75.84,coordinador.cl,false,
2023-01-01 20:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,148.5,199.21,73.32,73.32,coordinador.cl,false,
2023-01-01 21:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,168.19,220.33,69.78,69.78,coordinador.cl,false,
2023-01-01 22:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,220.53,275.77,60.38,60.38,coordinador.cl,false,
2023-01-01 23:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,255.05,309.05,54.18,54.18,coordinador.cl,false,
2023-01-02 00:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,268.29,323.78,51.8,51.8,coordinador.cl,false,
2023-01-02 01:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,273.54,329.84,50.86,50.86,coordinador.cl,false,
2023-01-02 02:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,270.23,326.29,51.45,51.45,coordinador.cl,false,
2023-01-02 03:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,273.79,330.43,50.81,50.81,coordinador.cl,false,
2023-01-02 04:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,288.57,347.26,48.16,48.16,coordinador.cl,false,
2023-01-02 05:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,298.12,358.2,46.44,46.44,coordinador.cl,false,
2023-01-02 06:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,303.88,364.73,45.41,45.41,coordinador.cl,false,
2023-01-02 07:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,305.78,367.02,45.06,45.06,coordinador.cl,false,
2023-01-02 08:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,311.76,373.92,43.99,43.99,coordinador.cl,false,
2023-01-02 09:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,318.49,381.6,42.78,42.78,coordinador.cl,false,
2023-01-02 10:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,261.87,319.76,52.95,52.95,coordinador.cl,false,
2023-01-02 11:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,164.85,215.2,70.38,70.38,coordinador.cl,false,
2023-01-02 12:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,135.13,183.83,75.72,75.72,coordinador.cl,false,
2023-01-02 13:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,131.66,180.49,76.35,76.35,coordinador.cl,false,
2023-01-02 14:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,120.91,168.44,78.28,78.28,coordinador.cl,false,
2023-01-02 15:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,123.61,171.46,77.79,77.79,coordinador.cl,false,
2023-01-02 16:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,117.27,164.95,78.93,78.93,coordinador.cl,false,
2023-01-02 17:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,109.38,155.83,80.35,80.35,coordinador.cl,false,
2023-01-02 18:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,112.76,159.51,79.74,79.74,coordinador.cl,false,
2023-01-02 19:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,122.86,170.42,77.93,77.93,coordinador.cl,false,
2023-01-02 20:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,114.66,160.88,79.4,79.4,coordinador.cl,false,
2023-01-02 21:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,142.26,190.9,74.44,74.44,coordinador.cl,false,
2023-01-02 22:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,188.79,238.93,66.08,66.08,coordinador.cl,false,
2023-01-02 23:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,240.59,292.37,56.78,56.78,coordinador.cl,false,
2023-01-03 00:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,262.81,317.37,52.78,52.78,coordinador.cl,false,
2023-01-03 01:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,272.13,328.19,51.11,51.11,coordinador.cl,false,
2023-01-03 02:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,269.76,325.44,51.54,51.54,coordinador.cl,false,
2023-01-03 03:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,264.69,319.68,52.45,52.45,coordinador.cl,false,
2023-01-03 04:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,260.5,314.95,53.2,53.2,coordinador.cl,false,
2023-01-03 05:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,259.43,313.6,53.39,53.39,coordinador.cl,false,
2023-01-03 06:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,271.89,328.0,51.15,51.15,coordinador.cl,false,
2023-01-03 07:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,281.65,339.3,49.4,49.4,coordinador.cl,false,
2023-01-03 08:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,295.3,355.1,46.95,46.95,coordinador.cl,false,
2023-01-03 09:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,300.86,361.4,45.95,45.95,coordinador.cl,false,
2023-01-03 10:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,257.85,314.97,53.68,53.68,coordinador.cl,false,
2023-01-03 11:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,182.29,235.58,67.25,67.25,coordinador.cl,false,
2023-01-03 12:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,151.19,202.24,72.84,72.84,coordinador.cl,false,
2023-01-03 13:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,127.26,176.36,77.14,77.14,coordinador.cl,false,
2023-01-03 14:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,121.2,169.82,78.23,78.23,coordinador.cl,false,
2023-01-03 15:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,117.46,165.47,78.9,78.9,coordinador.cl,false,
2023-01-03 16:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,110.8,157.28,80.09,80.09,coordinador.cl,false,
2023-01-03 17:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,116.91,163.82,79.0,79.0,coordinador.cl,false,
2023-01-03 18:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,119.23,166.26,78.58,78.58,coordinador.cl,false,
2023-01-03 19:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,124.43,171.81,77.64,77.64,coordinador.cl,false,
2023-01-03 20:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,121.06,167.65,78.25,78.25,coordinador.cl,false,
2023-01-03 21:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,148.34,197.22,73.35,73.35,coordinador.cl,false,
2023-01-03 22:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,218.07,271.71,60.82,60.82,coordinador.cl,false,
2023-01-03 23:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,285.7,343.85,48.67,48.67,coordinador.cl,false,
2023-01-04 00:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,300.9,361.1,45.94,45.94,coordinador.cl,false,
2023-01-04 01:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,316.02,378.9,43.22,43.22,coordinador.cl,false,
