Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,300.94,361.33,45.93,45.93,coordinador.cl,false,
2022-01-01 01:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,302.15,362.78,45.72,45.72,coordinador.cl,false,
2022-01-01 02:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,282.88,341.05,49.18,49.18,coordinador.cl,false,
2022-01-01 03:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,297.04,357.32,46.63,46.63,coordinador.cl,false,
2022-01-01 04:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,312.82,375.58,43.8,43.8,coordinador.cl,false,
2022-01-01 05:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,330.21,395.61,40.67,40.67,coordinador.cl,false,
2022-01-01 06:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,342.98,410.11,38.38,38.38,coordinador.cl,false,
2022-01-01 07:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,347.67,415.53,37.54,37.54,coordinador.cl,false,
2022-01-01 08:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,345.55,413.16,37.92,37.92,coordinador.cl,false,
2022-01-01 09:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,357.41,426.86,35.79,35.79,coordinador.cl,false,
2022-01-01 10:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,321.38,387.8,42.26,42.26,coordinador.cl,false,
2022-01-01 11:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,234.13,292.9,57.94,57.94,coordinador.cl,false,
2022-01-01 12:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,171.96,225.68,69.11,69.11,coordinador.cl,false,
2022-01-01 13:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,152.71,204.62,72.57,72.57,coordinador.cl,false,
2022-01-01 14:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,129.32,178.42,76.77,76.77,coordinador.cl,false,
2022-01-01 15:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,131.94,181.05,76.3,76.3,coordinador.cl,false,
2022-01-01 16:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,128.83,177.02,76.86,76.86,coordinador.cl,false,
2022-01-01 17:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,123.76,170.81,77.76,77.76,coordinador.cl,false,
