Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Germany,Germany,DE,140.51,185.8,83.79,78.42,entsoe.eu,false,
2023-01-01 01:00:00,Germany,Germany,DE,140.44,185.7,83.85,78.93,entsoe.eu,false,
2023-01-01 02:00:00,Germany,Germany,DE,148.34,195.42,82.95,77.74,entsoe.eu,false,
2023-01-01 03:00:00,Germany,Germany,DE,149.55,197.06,82.78,77.51,entsoe.eu,false,
2023-01-01 04:00:00,Germany,Germany,DE,148.04,195.41,83.0,77.74,entsoe.eu,false,
2023-01-01 05:00:00,Germany,Germany,DE,148.79,196.53,82.82,77.55,entsoe.eu,false,
2023-01-01 06:00:00,Germany,Germany,DE,146.65,194.07,83.13,77.95,entsoe.eu,false,
2023-01-01 07:00:00,Germany,Germany,DE,147.72,196.01,83.0,77.68,entsoe.eu,false,
2023-01-01 08:00:00,Germany,Germany,DE,141.04,189.24,83.76,78.73,entsoe.eu,false,
2023-01-01 09:00:00,Germany,Germany,DE,134.71,182.72,84.41,79.61,entsoe.eu,false,
2023-01-01 10:00:00,Germany,Germany,DE,133.12,181.22,84.74,79.86,entsoe.eu,false,
2023-01-01 11:00:00,Germany,Germany,DE,135.35,184.3,84.49,79.69,entsoe.eu,false,
2023-01-01 12:00:00,Germany,Germany,DE,143.8,193.57,83.56,78.33,entsoe.eu,false,
2023-01-01 13:00:00,Germany,Germany,DE,144.47,192.82,83.46,77.72,entsoe.eu,false,
2023-01-01 14:00:00,Germany,Germany,DE,149.81,196.58,83.21,76.67,entsoe.eu,false,
2023-01-01 15:00:00,Germany,Germany,DE,175.14,218.43,81.94,74.33,entsoe.eu,false,
2023-01-01 16:00:00,Germany,Germany,DE,175.15,216.33,82.54,73.47,entsoe.eu,false,
