Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Great Britain,Great Britain,GB,62.55,91.44,86.0,60.17,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 01:00:00,Great Britain,Great Britain,GB,65.09,94.66,85.67,60.35,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 02:00:00,Great Britain,Great Britain,GB,57.35,85.31,86.89,60.51,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 03:00:00,Great Britain,Great Britain,GB,58.66,86.97,86.57,59.19,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 04:00:00,Great Britain,Great Britain,GB,62.67,92.15,85.68,57.49,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 05:00:00,Great Britain,Great Britain,GB,63.53,92.77,85.57,56.72,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 06:00:00,Great Britain,Great Britain,GB,64.83,94.32,85.34,56.58,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 07:00:00,Great Britain,Great Britain,GB,66.87,96.86,84.87,56.41,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 08:00:00,Great Britain,Great Britain,GB,64.24,93.59,85.48,58.41,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 09:00:00,Great Britain,Great Britain,GB,58.53,87.09,87.18,61.79,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 10:00:00,Great Britain,Great Britain,GB,56.41,86.02,87.59,62.29,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 11:00:00,Great Britain,Great Britain,GB,58.51,90.62,87.26,63.33,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 12:00:00,Great Britain,Great Britain,GB,62.23,96.79,86.38,63.14,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 13:00:00,Great Britain,Great Britain,GB,68.41,104.17,84.56,60.96,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 14:00:00,Great Britain,Great Britain,GB,76.98,115.61,82.22,57.75,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 15:00:00,Great Britain,Great Britain,GB,100.1,145.51,76.47,51.84,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 16:00:00,Great Britain,Great Britain,GB,127.72,179.73,69.99,45.73,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 17:00:00,Great Britain,Great Britain,GB,139.94,195.61,67.13,44.13,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 18:00:00,Great Britain,Great Britain,GB,141.01,197.16,66.85,42.84,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 19:00:00,Great Britain,Great Britain,GB,135.98,191.56,67.54,42.22,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 20:00:00,Great Britain,Great Britain,GB,135.12,190.51,67.73,40.72,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 21:00:00,Great Britain,Great Britain,GB,134.67,188.68,68.69,40.07,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 22:00:00,Great Britain,Great Britain,GB,124.08,175.65,71.82,40.74,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 23:00:00,Great Britain,Great Britain,GB,123.35,174.41,72.38,38.76,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 00:00:00,Great Britain,Great Britain,GB,116.86,167.57,73.2,38.47,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 01:00:00,Great Britain,Great Britain,GB,105.66,151.87,75.53,40.64,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 02:00:00,Great Britain,Great Britain,GB,102.41,146.53,76.51,41.04,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 03:00:00,Great Britain,Great Britain,GB,96.64,139.06,78.16,42.01,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 04:00:00,Great Britain,Great Britain,GB,99.11,143.79,77.59,40.15,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 05:00:00,Great Britain,Great Britain,GB,96.12,143.76,77.95,43.49,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 06:00:00,Great Britain,Great Britain,GB,111.36,164.26,74.38,43.13,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 07:00:00,Great Britain,Great Britain,GB,121.19,175.96,71.36,42.72,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 08:00:00,Great Britain,Great Britain,GB,127.09,184.36,69.59,44.68,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 09:00:00,Great Britain,Great Britain,GB,127.83,186.04,69.86,47.55,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 10:00:00,Great Britain,Great Britain,GB,112.59,167.27,73.89,52.26,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 11:00:00,Great Britain,Great Britain,GB,113.89,170.13,73.07,53.05,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 12:00:00,Great Britain,Great Britain,GB,109.79,164.63,74.4,53.86,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 13:00:00,Great Britain,Great Britain,GB,119.38,176.63,71.76,51.61,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 14:00:00,Great Britain,Great Britain,GB,129.13,187.03,69.34,47.06,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 15:00:00,Great Britain,Great Britain,GB,155.0,219.82,62.26,40.19,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 16:00:00,Great Britain,Great Britain,GB,165.97,233.33,59.3,36.67,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 17:00:00,Great Britain,Great Britain,GB,178.45,247.69,57.1,35.96,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 18:00:00,Great Britain,Great Britain,GB,180.0,249.77,56.69,35.33,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 19:00:00,Great Britain,Great Britain,GB,177.99,247.23,57.19,34.55,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 20:00:00,Great Britain,Great Britain,GB,169.98,237.36,58.96,34.59,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 21:00:00,Great Britain,Great Britain,GB,157.77,220.01,62.61,36.25,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 22:00:00,Great Britain,Great Britain,GB,126.6,181.73,71.35,42.73,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 23:00:00,Great Britain,Great Britain,GB,91.42,140.29,79.87,49.33,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 00:00:00,Great Britain,Great Britain,GB,77.93,123.39,83.1,51.48,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 01:00:00,Great Britain,Great Britain,GB,75.76,122.22,83.03,52.16,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 02:00:00,Great Britain,Great Britain,GB,73.68,120.3,83.13,52.97,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 03:00:00,Great Britain,Great Britain,GB,66.19,110.63,84.67,56.6,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 04:00:00,Great Britain,Great Britain,GB,61.35,104.41,85.64,60.34,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 05:00:00,Great Britain,Great Britain,GB,59.03,100.85,86.21,63.09,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 06:00:00,Great Britain,Great Britain,GB,69.05,108.05,83.51,62.23,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 07:00:00,Great Britain,Great Britain,GB,81.22,125.51,79.81,61.36,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 08:00:00,Great Britain,Great Britain,GB,86.62,131.6,78.57,62.65,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 09:00:00,Great Britain,Great Britain,GB,90.44,134.86,78.46,61.84,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 10:00:00,Great Britain,Great Britain,GB,90.77,133.51,78.55,61.72,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 11:00:00,Great Britain,Great Britain,GB,91.86,132.76,78.41,61.4,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 12:00:00,Great Britain,Great Britain,GB,91.89,133.54,78.35,61.12,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 13:00:00,Great Britain,Great Britain,GB,89.8,132.8,78.79,61.41,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 14:00:00,Great Britain,Great Britain,GB,96.89,142.6,76.84,59.34,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 15:00:00,Great Britain,Great Britain,GB,103.6,151.73,75.22,58.12,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 16:00:00,Great Britain,Great Britain,GB,111.87,162.04,73.4,54.61,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 17:00:00,Great Britain,Great Britain,GB,113.15,163.87,73.27,55.45,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 18:00:00,Great Britain,Great Britain,GB,109.64,160.38,73.81,56.68,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 19:00:00,Great Britain,Great Britain,GB,87.97,131.62,80.04,59.53,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 20:00:00,Great Britain,Great Britain,GB,60.22,97.3,86.19,63.79,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 21:00:00,Great Britain,Great Britain,GB,54.48,91.58,87.03,65.13,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 22:00:00,Great Britain,Great Britain,GB,55.28,87.89,86.59,66.21,elexon.co.uk;  nationalgrideso.com,false,
2023-01-03 23:00:00,Great Britain,Great Britain,GB,55.68,84.79,86.4,66.51,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 00:00:00,Great Britain,Great Britain,GB,50.68,77.62,87.86,68.0,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 01:00:00,Great Britain,Great Britain,GB,58.14,86.49,86.31,66.85,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 02:00:00,Great Britain,Great Britain,GB,56.44,84.5,86.55,67.1,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 03:00:00,Great Britain,Great Britain,GB,48.41,74.65,88.46,68.87,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 04:00:00,Great Britain,Great Britain,GB,46.48,70.01,88.83,69.27,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 05:00:00,Great Britain,Great Britain,GB,46.79,70.62,88.65,69.48,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 06:00:00,Great Britain,Great Britain,GB,49.32,74.08,88.04,68.38,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 07:00:00,Great Britain,Great Britain,GB,52.26,81.0,87.28,67.6,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 08:00:00,Great Britain,Great Britain,GB,48.74,78.76,88.39,68.18,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 09:00:00,Great Britain,Great Britain,GB,43.8,72.19,89.75,70.74,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 10:00:00,Great Britain,Great Britain,GB,42.96,71.76,89.79,71.23,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 11:00:00,Great Britain,Great Britain,GB,38.65,68.38,90.24,72.04,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 12:00:00,Great Britain,Great Britain,GB,37.96,66.94,90.45,72.22,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 13:00:00,Great Britain,Great Britain,GB,41.48,72.08,89.41,71.07,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 14:00:00,Great Britain,Great Britain,GB,42.93,73.01,89.15,70.07,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 15:00:00,Great Britain,Great Britain,GB,48.08,78.75,87.93,68.5,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 16:00:00,Great Britain,Great Britain,GB,69.56,107.45,82.43,62.35,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 17:00:00,Great Britain,Great Britain,GB,76.76,117.48,80.98,62.01,elexon.co.uk;  nationalgrideso.com,false,
2023-01-04 18:00:00,Great Britain,Great Britain,GB,76.96,117.62,80.84,61.45,elexon.co.uk;  nationalgrideso.com,false,
