Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,India,Western India,IN-WE,704.73,763.45,6.15,2.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 01:00:00,India,Western India,IN-WE,708.77,767.77,5.61,2.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 02:00:00,India,Western India,IN-WE,709.73,768.86,5.47,2.55,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 03:00:00,India,Western India,IN-WE,708.6,767.74,5.62,2.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 04:00:00,India,Western India,IN-WE,705.63,764.71,6.03,3.46,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 05:00:00,India,Western India,IN-WE,702.04,761.0,6.51,4.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 06:00:00,India,Western India,IN-WE,690.01,748.7,8.11,5.63,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 07:00:00,India,Western India,IN-WE,691.84,750.59,7.86,5.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 08:00:00,India,Western India,IN-WE,694.83,753.66,7.46,4.82,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 09:00:00,India,Western India,IN-WE,694.13,752.98,7.55,4.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 10:00:00,India,Western India,IN-WE,690.93,749.66,7.97,5.25,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 11:00:00,India,Western India,IN-WE,692.31,751.04,7.79,5.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 12:00:00,India,Western India,IN-WE,702.15,760.99,6.48,3.63,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 13:00:00,India,Western India,IN-WE,702.39,761.19,6.45,3.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 14:00:00,India,Western India,IN-WE,700.41,759.06,6.72,3.77,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 15:00:00,India,Western India,IN-WE,699.35,757.92,6.87,3.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 16:00:00,India,Western India,IN-WE,698.42,756.91,7.0,3.89,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 17:00:00,India,Western India,IN-WE,699.19,757.67,6.9,3.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 18:00:00,India,Western India,IN-WE,704.07,762.63,6.37,3.54,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 19:00:00,India,Western India,IN-WE,705.17,763.77,6.22,3.32,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 20:00:00,India,Western India,IN-WE,706.89,765.54,6.0,3.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
