Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Japan,Tōkyō,JP-TK,377.36,459.22,30.99,30.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,Japan,Tōkyō,JP-TK,330.75,407.99,39.51,39.51,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,Japan,Tōkyō,JP-TK,311.2,386.54,43.1,43.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,Japan,Tōkyō,JP-TK,313.63,389.21,42.66,42.66,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,Japan,Tōkyō,JP-TK,330.21,407.36,39.62,39.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,Japan,Tōkyō,JP-TK,370.3,451.33,32.28,32.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,Japan,Tōkyō,JP-TK,432.64,519.86,20.87,20.87,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,Japan,Tōkyō,JP-TK,487.12,579.83,10.91,10.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,Japan,Tōkyō,JP-TK,496.59,590.31,9.18,9.18,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,Japan,Tōkyō,JP-TK,497.65,591.52,8.99,8.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,Japan,Tōkyō,JP-TK,497.36,591.2,9.04,9.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,Japan,Tōkyō,JP-TK,497.34,591.16,9.04,9.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,Japan,Tōkyō,JP-TK,497.17,590.96,9.07,9.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,Japan,Tōkyō,JP-TK,497.08,590.87,9.09,9.09,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,Japan,Tōkyō,JP-TK,497.21,591.03,9.07,9.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,Japan,Tōkyō,JP-TK,497.47,591.32,9.02,9.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,Japan,Tōkyō,JP-TK,497.32,591.16,9.05,9.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,Japan,Tōkyō,JP-TK,498.57,592.58,8.82,8.82,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 18:00:00,Japan,Tōkyō,JP-TK,499.4,593.52,8.67,8.67,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 19:00:00,Japan,Tōkyō,JP-TK,498.34,592.33,8.86,8.86,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 20:00:00,Japan,Tōkyō,JP-TK,499.25,593.36,8.7,8.7,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 21:00:00,Japan,Tōkyō,JP-TK,497.82,591.76,8.96,8.96,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 22:00:00,Japan,Tōkyō,JP-TK,485.33,578.11,11.25,11.25,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 23:00:00,Japan,Tōkyō,JP-TK,437.94,526.05,19.91,19.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 00:00:00,Japan,Tōkyō,JP-TK,383.47,466.16,29.87,29.87,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 01:00:00,Japan,Tōkyō,JP-TK,337.36,415.46,38.31,38.31,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 02:00:00,Japan,Tōkyō,JP-TK,321.8,398.39,41.16,41.16,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 03:00:00,Japan,Tōkyō,JP-TK,322.13,398.73,41.11,41.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 04:00:00,Japan,Tōkyō,JP-TK,346.85,425.85,37.78,37.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 05:00:00,Japan,Tōkyō,JP-TK,374.85,456.6,32.19,32.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 06:00:00,Japan,Tōkyō,JP-TK,418.32,504.38,23.75,23.75,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 07:00:00,Japan,Tōkyō,JP-TK,460.87,551.18,15.75,15.75,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 08:00:00,Japan,Tōkyō,JP-TK,500.07,594.29,8.55,8.55,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 09:00:00,Japan,Tōkyō,JP-TK,500.14,594.37,8.54,8.54,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 10:00:00,Japan,Tōkyō,JP-TK,500.25,594.5,8.51,8.51,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 11:00:00,Japan,Tōkyō,JP-TK,500.03,594.25,8.55,8.55,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 12:00:00,Japan,Tōkyō,JP-TK,499.75,593.94,8.61,8.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 13:00:00,Japan,Tōkyō,JP-TK,498.92,593.0,8.77,8.77,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 14:00:00,Japan,Tōkyō,JP-TK,498.49,592.51,8.99,8.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 15:00:00,Japan,Tōkyō,JP-TK,499.73,593.92,8.61,8.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 16:00:00,Japan,Tōkyō,JP-TK,499.83,594.03,8.59,8.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 17:00:00,Japan,Tōkyō,JP-TK,499.2,593.31,8.71,8.71,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 18:00:00,Japan,Tōkyō,JP-TK,499.38,593.52,8.67,8.67,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 19:00:00,Japan,Tōkyō,JP-TK,499.65,593.83,8.62,8.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 20:00:00,Japan,Tōkyō,JP-TK,498.95,593.04,8.75,8.75,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 21:00:00,Japan,Tōkyō,JP-TK,498.43,592.46,8.85,8.85,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 22:00:00,Japan,Tōkyō,JP-TK,485.61,578.4,11.2,11.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 23:00:00,Japan,Tōkyō,JP-TK,440.07,528.39,19.52,19.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 00:00:00,Japan,Tōkyō,JP-TK,389.22,472.5,28.82,28.82,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 01:00:00,Japan,Tōkyō,JP-TK,352.11,431.71,35.61,35.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 02:00:00,Japan,Tōkyō,JP-TK,331.85,409.39,39.32,39.32,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 03:00:00,Japan,Tōkyō,JP-TK,326.17,403.15,40.37,40.37,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 04:00:00,Japan,Tōkyō,JP-TK,348.84,428.03,37.4,37.4,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 05:00:00,Japan,Tōkyō,JP-TK,376.2,458.05,31.94,31.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 06:00:00,Japan,Tōkyō,JP-TK,420.15,506.4,23.41,23.41,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 07:00:00,Japan,Tōkyō,JP-TK,462.17,552.57,15.52,15.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 08:00:00,Japan,Tōkyō,JP-TK,499.63,593.81,8.63,8.63,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 09:00:00,Japan,Tōkyō,JP-TK,500.5,594.79,8.47,8.46,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 10:00:00,Japan,Tōkyō,JP-TK,500.31,594.58,8.5,8.5,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 11:00:00,Japan,Tōkyō,JP-TK,500.2,594.45,8.52,8.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 12:00:00,Japan,Tōkyō,JP-TK,499.36,593.5,8.68,8.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 13:00:00,Japan,Tōkyō,JP-TK,498.83,592.91,8.78,8.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 14:00:00,Japan,Tōkyō,JP-TK,498.08,592.06,9.07,9.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 15:00:00,Japan,Tōkyō,JP-TK,497.79,591.71,8.96,8.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 16:00:00,Japan,Tōkyō,JP-TK,497.36,591.21,9.04,9.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 17:00:00,Japan,Tōkyō,JP-TK,497.09,590.9,9.09,9.09,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 18:00:00,Japan,Tōkyō,JP-TK,496.75,590.51,9.15,9.15,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 19:00:00,Japan,Tōkyō,JP-TK,496.66,590.4,9.17,9.17,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 20:00:00,Japan,Tōkyō,JP-TK,497.43,591.26,9.03,9.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 21:00:00,Japan,Tōkyō,JP-TK,497.75,591.63,8.97,8.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 22:00:00,Japan,Tōkyō,JP-TK,489.76,582.96,10.44,10.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-03 23:00:00,Japan,Tōkyō,JP-TK,453.34,542.94,17.1,17.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-04 00:00:00,Japan,Tōkyō,JP-TK,402.88,487.49,26.32,26.32,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-04 01:00:00,Japan,Tōkyō,JP-TK,359.33,439.58,34.29,34.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-04 02:00:00,Japan,Tōkyō,JP-TK,338.77,416.99,38.05,38.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-04 03:00:00,Japan,Tōkyō,JP-TK,334.41,412.21,38.86,38.86,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
