Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Singapore,Singapore,SG,375.83,495.76,3.55,3.55, ema.gov.sg; emcsg.com,false,
2023-01-01 01:00:00,Singapore,Singapore,SG,372.52,491.82,4.29,4.29, ema.gov.sg; emcsg.com,false,
2023-01-01 02:00:00,Singapore,Singapore,SG,367.86,486.25,5.42,5.42, ema.gov.sg; emcsg.com,false,
2023-01-01 03:00:00,Singapore,Singapore,SG,364.51,482.21,6.33,6.33, ema.gov.sg; emcsg.com,false,
2023-01-01 04:00:00,Singapore,Singapore,SG,359.37,476.09,7.68,7.68, ema.gov.sg; emcsg.com,false,
2023-01-01 05:00:00,Singapore,Singapore,SG,359.52,476.25,7.71,7.71, ema.gov.sg; emcsg.com,false,
2023-01-01 06:00:00,Singapore,Singapore,SG,360.52,477.45,7.41,7.41, ema.gov.sg; emcsg.com,false,
2023-01-01 07:00:00,Singapore,Singapore,SG,361.37,478.48,7.16,7.16, ema.gov.sg; emcsg.com,false,
2023-01-01 08:00:00,Singapore,Singapore,SG,364.75,482.56,6.23,6.23, ema.gov.sg; emcsg.com,false,
2023-01-01 09:00:00,Singapore,Singapore,SG,368.82,487.37,5.18,5.18, ema.gov.sg; emcsg.com,false,
2023-01-01 10:00:00,Singapore,Singapore,SG,375.08,494.62,3.66,3.66, ema.gov.sg; emcsg.com,false,
2023-01-01 11:00:00,Singapore,Singapore,SG,376.23,496.38,3.04,3.04, ema.gov.sg; emcsg.com,false,
2023-01-01 12:00:00,Singapore,Singapore,SG,376.56,496.61,3.05,3.05, ema.gov.sg; emcsg.com,false,
2023-01-01 13:00:00,Singapore,Singapore,SG,376.43,496.5,3.0,3.0, ema.gov.sg; emcsg.com,false,
2023-01-01 14:00:00,Singapore,Singapore,SG,376.61,496.64,3.02,3.02, ema.gov.sg; emcsg.com,false,
2023-01-01 15:00:00,Singapore,Singapore,SG,377.75,497.53,3.15,3.15, ema.gov.sg; emcsg.com,false,
2023-01-01 16:00:00,Singapore,Singapore,SG,376.46,496.6,3.12,3.12, ema.gov.sg; emcsg.com,false,
2023-01-01 17:00:00,Singapore,Singapore,SG,376.65,496.81,3.24,3.24, ema.gov.sg; emcsg.com,false,
2023-01-01 18:00:00,Singapore,Singapore,SG,376.84,497.01,3.34,3.34, ema.gov.sg; emcsg.com,false,
2023-01-01 19:00:00,Singapore,Singapore,SG,376.97,497.14,3.4,3.4, ema.gov.sg; emcsg.com,false,
2023-01-01 20:00:00,Singapore,Singapore,SG,376.98,497.15,3.4,3.4, ema.gov.sg; emcsg.com,false,
2023-01-01 21:00:00,Singapore,Singapore,SG,376.87,497.04,3.35,3.35, ema.gov.sg; emcsg.com,false,
2023-01-01 22:00:00,Singapore,Singapore,SG,377.05,497.14,3.29,3.29, ema.gov.sg; emcsg.com,false,
2023-01-01 23:00:00,Singapore,Singapore,SG,376.52,496.51,3.34,3.34, ema.gov.sg; emcsg.com,false,
2023-01-02 00:00:00,Singapore,Singapore,SG,373.82,493.27,3.9,3.9, ema.gov.sg; emcsg.com,false,
2023-01-02 01:00:00,Singapore,Singapore,SG,366.7,484.95,5.51,5.51, ema.gov.sg; emcsg.com,false,
2023-01-02 02:00:00,Singapore,Singapore,SG,362.27,479.57,6.64,6.64, ema.gov.sg; emcsg.com,false,
2023-01-02 03:00:00,Singapore,Singapore,SG,355.87,471.85,8.32,8.32, ema.gov.sg; emcsg.com,false,
2023-01-02 04:00:00,Singapore,Singapore,SG,350.73,465.64,9.74,9.74, ema.gov.sg; emcsg.com,false,
2023-01-02 05:00:00,Singapore,Singapore,SG,351.33,466.5,9.48,9.48, ema.gov.sg; emcsg.com,false,
2023-01-02 06:00:00,Singapore,Singapore,SG,356.44,472.49,8.22,8.22, ema.gov.sg; emcsg.com,false,
2023-01-02 07:00:00,Singapore,Singapore,SG,363.84,481.11,6.42,6.42, ema.gov.sg; emcsg.com,false,
2023-01-02 08:00:00,Singapore,Singapore,SG,367.21,485.17,5.49,5.49, ema.gov.sg; emcsg.com,false,
2023-01-02 09:00:00,Singapore,Singapore,SG,369.73,488.17,4.8,4.8,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 10:00:00,Singapore,Singapore,SG,371.94,490.92,4.13,4.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 11:00:00,Singapore,Singapore,SG,374.15,493.62,3.48,3.48,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 12:00:00,Singapore,Singapore,SG,375.13,494.88,3.14,3.14,Electricity Maps Estimation;  ema.gov.sg; emcsg.com,false,
2023-01-02 13:00:00,Singapore,Singapore,SG,376.8,496.69,2.87,2.87, ema.gov.sg; emcsg.com,false,
2023-01-02 14:00:00,Singapore,Singapore,SG,376.35,496.41,2.91,2.91, ema.gov.sg; emcsg.com,false,
2023-01-02 15:00:00,Singapore,Singapore,SG,376.2,496.35,3.02,3.02, ema.gov.sg; emcsg.com,false,
2023-01-02 16:00:00,Singapore,Singapore,SG,376.47,496.62,3.15,3.15, ema.gov.sg; emcsg.com,false,
2023-01-02 17:00:00,Singapore,Singapore,SG,376.67,496.83,3.25,3.25, ema.gov.sg; emcsg.com,false,
2023-01-02 18:00:00,Singapore,Singapore,SG,377.01,497.13,3.33,3.33, ema.gov.sg; emcsg.com,false,
