Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,USA,CAISO,US-CAL-CISO,238.69,309.75,48.08,39.45,caiso.com,false,
2023-01-01 01:00:00,USA,CAISO,US-CAL-CISO,220.25,283.77,53.92,40.63,caiso.com,false,
2023-01-01 02:00:00,USA,CAISO,US-CAL-CISO,223.4,286.91,53.54,39.9,caiso.com,false,
2023-01-01 03:00:00,USA,CAISO,US-CAL-CISO,228.56,293.82,52.17,37.84,caiso.com,false,
2023-01-01 04:00:00,USA,CAISO,US-CAL-CISO,223.68,289.22,52.58,37.92,caiso.com,false,
2023-01-01 05:00:00,USA,CAISO,US-CAL-CISO,231.41,300.93,49.78,34.33,caiso.com,false,
2023-01-01 06:00:00,USA,CAISO,US-CAL-CISO,246.1,318.36,46.77,31.2,caiso.com,false,
2023-01-01 07:00:00,USA,CAISO,US-CAL-CISO,245.14,317.06,47.53,31.35,caiso.com,false,
2023-01-01 08:00:00,USA,CAISO,US-CAL-CISO,225.39,293.36,51.86,35.01,caiso.com,false,
2023-01-01 09:00:00,USA,CAISO,US-CAL-CISO,218.31,284.73,53.56,36.45,caiso.com,false,
2023-01-01 10:00:00,USA,CAISO,US-CAL-CISO,209.95,273.75,56.12,38.6,caiso.com,false,
2023-01-01 11:00:00,USA,CAISO,US-CAL-CISO,209.5,272.65,56.63,38.84,caiso.com,false,
2023-01-01 12:00:00,USA,CAISO,US-CAL-CISO,219.55,285.57,53.88,36.31,caiso.com,false,
2023-01-01 13:00:00,USA,CAISO,US-CAL-CISO,220.57,287.55,53.12,35.98,caiso.com,false,
2023-01-01 14:00:00,USA,CAISO,US-CAL-CISO,218.93,283.27,54.59,37.96,caiso.com,false,
2023-01-01 15:00:00,USA,CAISO,US-CAL-CISO,200.86,261.83,58.44,42.72,caiso.com,false,
2023-01-01 16:00:00,USA,CAISO,US-CAL-CISO,154.57,209.68,67.58,52.65,caiso.com,false,
2023-01-01 17:00:00,USA,CAISO,US-CAL-CISO,126.93,177.74,73.14,59.28,caiso.com,false,
2023-01-01 18:00:00,USA,CAISO,US-CAL-CISO,121.33,172.2,73.59,60.42,caiso.com,false,
2023-01-01 19:00:00,USA,CAISO,US-CAL-CISO,123.2,174.8,72.8,60.07,caiso.com,false,
2023-01-01 20:00:00,USA,CAISO,US-CAL-CISO,127.64,179.73,72.01,59.35,caiso.com,false,
2023-01-01 21:00:00,USA,CAISO,US-CAL-CISO,123.81,174.78,72.81,60.36,caiso.com,false,
2023-01-01 22:00:00,USA,CAISO,US-CAL-CISO,125.8,176.22,72.93,59.16,caiso.com,false,
2023-01-01 23:00:00,USA,CAISO,US-CAL-CISO,147.16,202.16,67.7,53.23,caiso.com,false,
2023-01-02 00:00:00,USA,CAISO,US-CAL-CISO,191.43,252.1,59.26,44.38,caiso.com,false,
2023-01-02 01:00:00,USA,CAISO,US-CAL-CISO,212.12,273.39,56.13,42.43,caiso.com,false,
2023-01-02 02:00:00,USA,CAISO,US-CAL-CISO,216.24,280.29,54.15,40.59,caiso.com,false,
2023-01-02 03:00:00,USA,CAISO,US-CAL-CISO,215.62,280.8,53.7,39.88,caiso.com,false,
2023-01-02 04:00:00,USA,CAISO,US-CAL-CISO,217.34,282.46,53.69,39.42,caiso.com,false,
2023-01-02 05:00:00,USA,CAISO,US-CAL-CISO,220.38,285.97,53.32,38.41,caiso.com,false,
2023-01-02 06:00:00,USA,CAISO,US-CAL-CISO,224.04,290.95,52.28,36.88,caiso.com,false,
2023-01-02 07:00:00,USA,CAISO,US-CAL-CISO,226.09,294.94,51.21,34.87,caiso.com,false,
2023-01-02 08:00:00,USA,CAISO,US-CAL-CISO,245.27,317.58,47.16,30.91,caiso.com,false,
2023-01-02 09:00:00,USA,CAISO,US-CAL-CISO,251.46,325.07,46.06,29.14,caiso.com,false,
2023-01-02 10:00:00,USA,CAISO,US-CAL-CISO,255.62,330.86,45.05,27.56,caiso.com,false,
2023-01-02 11:00:00,USA,CAISO,US-CAL-CISO,256.11,334.58,43.36,25.67,caiso.com,false,
2023-01-02 12:00:00,USA,CAISO,US-CAL-CISO,254.68,333.65,43.22,25.8,caiso.com,false,
2023-01-02 13:00:00,USA,CAISO,US-CAL-CISO,260.55,342.51,40.39,24.35,caiso.com,false,
2023-01-02 14:00:00,USA,CAISO,US-CAL-CISO,263.76,346.54,39.32,24.02,caiso.com,false,
2023-01-02 15:00:00,USA,CAISO,US-CAL-CISO,255.48,337.79,40.56,26.2,caiso.com,false,
2023-01-02 16:00:00,USA,CAISO,US-CAL-CISO,201.01,271.8,53.33,40.1,caiso.com,false,
2023-01-02 17:00:00,USA,CAISO,US-CAL-CISO,171.63,234.12,61.22,48.07,caiso.com,false,
2023-01-02 18:00:00,USA,CAISO,US-CAL-CISO,168.66,230.25,62.14,48.84,caiso.com,false,
2023-01-02 19:00:00,USA,CAISO,US-CAL-CISO,175.86,239.15,60.2,47.2,caiso.com,false,
2023-01-02 20:00:00,USA,CAISO,US-CAL-CISO,184.12,248.2,58.81,45.21,caiso.com,false,
2023-01-02 21:00:00,USA,CAISO,US-CAL-CISO,190.15,254.26,58.04,44.24,caiso.com,false,
2023-01-02 22:00:00,USA,CAISO,US-CAL-CISO,211.43,281.19,52.2,38.56,caiso.com,false,
2023-01-02 23:00:00,USA,CAISO,US-CAL-CISO,232.5,308.13,46.11,32.9,caiso.com,false,
2023-01-03 00:00:00,USA,CAISO,US-CAL-CISO,252.76,333.61,40.82,28.34,caiso.com,false,
2023-01-03 01:00:00,USA,CAISO,US-CAL-CISO,252.79,331.44,41.86,30.07,caiso.com,false,
2023-01-03 02:00:00,USA,CAISO,US-CAL-CISO,250.52,328.0,42.74,30.8,caiso.com,false,
2023-01-03 03:00:00,USA,CAISO,US-CAL-CISO,245.35,323.27,43.14,30.78,caiso.com,false,
2023-01-03 04:00:00,USA,CAISO,US-CAL-CISO,238.61,314.32,45.27,32.36,caiso.com,false,
2023-01-03 05:00:00,USA,CAISO,US-CAL-CISO,243.57,320.48,44.18,30.81,caiso.com,false,
2023-01-03 06:00:00,USA,CAISO,US-CAL-CISO,253.4,331.95,42.31,28.02,caiso.com,false,
2023-01-03 07:00:00,USA,CAISO,US-CAL-CISO,256.65,337.12,40.93,26.0,caiso.com,false,
2023-01-03 08:00:00,USA,CAISO,US-CAL-CISO,256.15,336.94,40.61,25.6,caiso.com,false,
2023-01-03 09:00:00,USA,CAISO,US-CAL-CISO,258.2,339.51,40.01,25.02,caiso.com,false,
2023-01-03 10:00:00,USA,CAISO,US-CAL-CISO,258.4,339.55,39.9,25.16,caiso.com,false,
2023-01-03 11:00:00,USA,CAISO,US-CAL-CISO,260.5,342.38,39.13,24.54,caiso.com,false,
2023-01-03 12:00:00,USA,CAISO,US-CAL-CISO,259.14,341.17,39.27,24.54,caiso.com,false,
2023-01-03 13:00:00,USA,CAISO,US-CAL-CISO,256.67,338.22,39.81,25.84,caiso.com,false,
2023-01-03 14:00:00,USA,CAISO,US-CAL-CISO,253.41,331.41,42.11,29.11,caiso.com,false,
2023-01-03 15:00:00,USA,CAISO,US-CAL-CISO,237.55,312.48,45.64,34.03,caiso.com,false,
2023-01-03 16:00:00,USA,CAISO,US-CAL-CISO,195.66,265.46,53.74,43.81,caiso.com,false,
2023-01-03 17:00:00,USA,CAISO,US-CAL-CISO,179.2,245.39,57.69,48.11,caiso.com,false,
2023-01-03 18:00:00,USA,CAISO,US-CAL-CISO,177.28,243.1,58.16,48.67,caiso.com,false,
