Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,342.95,401.96,42.44,31.32,ercot.com,false,
2024-01-01 01:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,289.73,344.0,49.72,38.36,ercot.com,false,
2024-01-01 02:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,270.59,321.67,53.24,41.66,ercot.com,false,
2024-01-01 03:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,265.3,314.51,54.82,43.04,ercot.com,false,
2024-01-01 04:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,269.66,319.28,54.22,42.19,ercot.com,false,
2024-01-01 05:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,286.69,340.49,50.23,38.01,ercot.com,false,
2024-01-01 06:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,295.15,351.55,47.89,35.63,ercot.com,false,
2024-01-01 07:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,304.01,362.97,45.57,33.34,ercot.com,false,
2024-01-01 08:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,313.66,374.66,43.5,31.23,ercot.com,false,
2024-01-01 09:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,328.05,391.04,41.09,28.81,ercot.com,false,
2024-01-01 10:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,353.1,418.39,37.63,25.56,ercot.com,false,
2024-01-01 11:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,400.0,468.37,31.93,20.14,ercot.com,false,
2024-01-01 12:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,439.59,511.64,26.47,15.01,ercot.com,false,
2024-01-01 13:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,464.43,538.88,23.12,11.81,ercot.com,false,
2024-01-01 14:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,451.35,525.25,25.06,13.99,ercot.com,false,
