Datetime,Price (EUR/MWh)
2024-01-01 00:00:00,0.1
2024-01-01 01:00:00,0.01
2024-01-01 02:00:00,0.0
2024-01-01 03:00:00,-0.01
2024-01-01 04:00:00,-0.03
2024-01-01 05:00:00,-0.02
2024-01-01 06:00:00,-0.05
2024-01-01 07:00:00,-0.02
2024-01-01 08:00:00,0.0
2024-01-01 09:00:00,0.04
2024-01-01 10:00:00,0.06
2024-01-01 11:00:00,0.54
2024-01-01 12:00:00,2.24
2024-01-01 13:00:00,1.96
2024-01-01 14:00:00,1.04
2024-01-01 15:00:00,3.66
2024-01-01 16:00:00,43.06
2024-01-01 17:00:00,49.93
2024-01-01 18:00:00,58.0
2024-01-01 19:00:00,54.25
2024-01-01 20:00:00,48.01
2024-01-01 21:00:00,42.95
2024-01-01 22:00:00,47.09
2024-01-01 23:00:00,35.55
2024-01-02 00:00:00,30.59
2024-01-02 01:00:00,20.07
2024-01-02 02:00:00,31.03
2024-01-02 03:00:00,18.39
2024-01-02 04:00:00,11.08
2024-01-02 05:00:00,13.78
2024-01-02 06:00:00,47.63
2024-01-02 07:00:00,58.1
2024-01-02 08:00:00,65.67
2024-01-02 09:00:00,64.73
2024-01-02 10:00:00,68.98
2024-01-02 11:00:00,73.54
2024-01-02 12:00:00,78.16
2024-01-02 13:00:00,78.87
2024-01-02 14:00:00,79.24
2024-01-02 15:00:00,79.96
2024-01-02 16:00:00,83.46
2024-01-02 17:00:00,80.92
2024-01-02 18:00:00,74.95
2024-01-02 19:00:00,63.18
2024-01-02 20:00:00,57.11
2024-01-02 21:00:00,46.89
2024-01-02 22:00:00,40.0
2024-01-02 23:00:00,7.43
2024-01-03 00:00:00,-0.08
2024-01-03 01:00:00,-1.23
2024-01-03 02:00:00,-1.3
2024-01-03 03:00:00,-1.31
2024-01-03 04:00:00,-1.31
2024-01-03 05:00:00,-1.38
2024-01-03 06:00:00,1.09
2024-01-03 07:00:00,40.59
2024-01-03 08:00:00,59.61
2024-01-03 09:00:00,60.61
2024-01-03 10:00:00,57.0
2024-01-03 11:00:00,54.89
2024-01-03 12:00:00,53.89
2024-01-03 13:00:00,54.42
2024-01-03 14:00:00,60.86
2024-01-03 15:00:00,67.18
2024-01-03 16:00:00,73.59
2024-01-03 17:00:00,82.28
2024-01-03 18:00:00,82.97
2024-01-03 19:00:00,79.03
2024-01-03 20:00:00,73.23
2024-01-03 21:00:00,67.41
2024-01-03 22:00:00,65.0
2024-01-03 23:00:00,58.12
2024-01-04 00:00:00,57.3
2024-01-04 01:00:00,50.46
2024-01-04 02:00:00,40.0
2024-01-04 03:00:00,25.48
2024-01-04 04:00:00,35.0
2024-01-04 05:00:00,57.73
2024-01-04 06:00:00,72.65
2024-01-04 07:00:00,85.02
2024-01-04 08:00:00,91.47
2024-01-04 09:00:00,94.2
2024-01-04 10:00:00,91.61
2024-01-04 11:00:00,90.03
2024-01-04 12:00:00,86.3
2024-01-04 13:00:00,85.96
2024-01-04 14:00:00,92.11
2024-01-04 15:00:00,98.62
2024-01-04 16:00:00,105.73
2024-01-04 17:00:00,133.23
2024-01-04 18:00:00,144.65
2024-01-04 19:00:00,125.0
2024-01-04 20:00:00,103.59
2024-01-04 21:00:00,100.01
2024-01-04 22:00:00,94.86
2024-01-04 23:00:00,88.83
2024-01-05 00:00:00,86.08
2024-01-05 01:00:00,80.51
2024-01-05 02:00:00,77.01
2024-01-05 03:00:00,73.21
2024-01-05 04:00:00,74.05
2024-01-05 05:00:00,76.03
2024-01-05 06:00:00,81.0
2024-01-05 07:00:00,87.0
2024-01-05 08:00:00,89.57
2024-01-05 09:00:00,94.93
2024-01-05 10:00:00,96.28
2024-01-05 11:00:00,98.22
2024-01-05 12:00:00,92.24
2024-01-05 13:00:00,91.54
2024-01-05 14:00:00,96.41
2024-01-05 15:00:00,100.05
2024-01-05 16:00:00,102.97
2024-01-05 17:00:00,107.38
2024-01-05 18:00:00,108.45
2024-01-05 19:00:00,103.96
2024-01-05 20:00:00,100.09
2024-01-05 21:00:00,94.19
2024-01-05 22:00:00,94.92
2024-01-05 23:00:00,86.8
2024-01-06 00:00:00,82.25
2024-01-06 01:00:00,80.2
2024-01-06 02:00:00,76.13
2024-01-06 03:00:00,73.01
2024-01-06 04:00:00,73.01
2024-01-06 05:00:00,74.59
2024-01-06 06:00:00,75.1
2024-01-06 07:00:00,81.39
2024-01-06 08:00:00,88.4
2024-01-06 09:00:00,92.23
2024-01-06 10:00:00,97.3
2024-01-06 11:00:00,100.43
2024-01-06 12:00:00,99.16
2024-01-06 13:00:00,95.22
2024-01-06 14:00:00,92.55
2024-01-06 15:00:00,95.09
2024-01-06 16:00:00,99.85
2024-01-06 17:00:00,104.27
2024-01-06 18:00:00,103.63
2024-01-06 19:00:00,99.0
2024-01-06 20:00:00,92.14
2024-01-06 21:00:00,88.0
2024-01-06 22:00:00,86.57
2024-01-06 23:00:00,79.87
2024-01-07 00:00:00,84.08
2024-01-07 01:00:00,79.82
2024-01-07 02:00:00,76.76
2024-01-07 03:00:00,73.46
2024-01-07 04:00:00,71.86
2024-01-07 05:00:00,72.08
2024-01-07 06:00:00,74.9
2024-01-07 07:00:00,77.69
2024-01-07 08:00:00,81.79
2024-01-07 09:00:00,84.86
2024-01-07 10:00:00,87.15
2024-01-07 11:00:00,89.14
2024-01-07 12:00:00,88.66
2024-01-07 13:00:00,84.81
2024-01-07 14:00:00,84.34
2024-01-07 15:00:00,88.01
2024-01-07 16:00:00,93.42
2024-01-07 17:00:00,101.77
2024-01-07 18:00:00,104.85
2024-01-07 19:00:00,103.55
2024-01-07 20:00:00,100.5
2024-01-07 21:00:00,93.31
2024-01-07 22:00:00,91.17
2024-01-07 23:00:00,83.86
2024-01-08 00:00:00,87.02
2024-01-08 01:00:00,84.32
2024-01-08 02:00:00,81.82
2024-01-08 03:00:00,79.11
2024-01-08 04:00:00,78.48
2024-01-08 05:00:00,82.1
2024-01-08 06:00:00,94.3
2024-01-08 07:00:00,111.1
2024-01-08 08:00:00,121.11
2024-01-08 09:00:00,117.83
2024-01-08 10:00:00,110.6
2024-01-08 11:00:00,103.0
2024-01-08 12:00:00,95.5
2024-01-08 13:00:00,92.6
2024-01-08 14:00:00,100.0
2024-01-08 15:00:00,107.98
2024-01-08 16:00:00,116.87
2024-01-08 17:00:00,129.13
2024-01-08 18:00:00,130.01
2024-01-08 19:00:00,122.12
2024-01-08 20:00:00,114.21
2024-01-08 21:00:00,102.83
2024-01-08 22:00:00,99.98
2024-01-08 23:00:00,91.49
2024-01-09 00:00:00,88.16
2024-01-09 01:00:00,87.04
2024-01-09 02:00:00,85.0
2024-01-09 03:00:00,84.14
2024-01-09 04:00:00,85.72
2024-01-09 05:00:00,89.28
2024-01-09 06:00:00,108.51
2024-01-09 07:00:00,124.06
2024-01-09 08:00:00,133.24
2024-01-09 09:00:00,120.91
2024-01-09 10:00:00,113.19
2024-01-09 11:00:00,105.78
2024-01-09 12:00:00,100.22
2024-01-09 13:00:00,100.82
2024-01-09 14:00:00,110.89
2024-01-09 15:00:00,119.4
2024-01-09 16:00:00,127.85
2024-01-09 17:00:00,137.84
2024-01-09 18:00:00,137.8
2024-01-09 19:00:00,130.43
2024-01-09 20:00:00,120.24
2024-01-09 21:00:00,111.68
2024-01-09 22:00:00,106.18
2024-01-09 23:00:00,97.09
2024-01-10 00:00:00,89.29
2024-01-10 01:00:00,86.76
