Datetime,Price (INR/MWh)
2023-01-01 00:00:00,2573.42
2023-01-01 01:00:00,2500.61
2023-01-01 02:00:00,2587.96
2023-01-01 03:00:00,2450.38
2023-01-01 04:00:00,3318.25
2023-01-01 05:00:00,3110.15
2023-01-01 06:00:00,4773.65
2023-01-01 07:00:00,5474.85
2023-01-01 08:00:00,5632.50
2023-01-01 09:00:00,7100.23
2023-01-01 10:00:00,7959.78
2023-01-01 11:00:00,4575.03
2023-01-01 12:00:00,4601.14
2023-01-01 13:00:00,3118.46
2023-01-01 14:00:00,4572.75
2023-01-01 15:00:00,4099.31
2023-01-01 16:00:00,3729.62
2023-01-01 17:00:00,2530.11
2023-01-01 18:00:00,4507.92
2023-01-01 19:00:00,4403.07
2023-01-01 20:00:00,3750.52
2023-01-01 21:00:00,2942.59
2023-01-01 22:00:00,3601.66
2023-01-01 23:00:00,2864.26
2023-01-02 00:00:00,2332.77
2023-01-02 01:00:00,1700.05
2023-01-02 02:00:00,1796.94
2023-01-02 03:00:00,2105.74
2023-01-02 04:00:00,2453.45
2023-01-02 05:00:00,2757.52
2023-01-02 06:00:00,4521.78
2023-01-02 07:00:00,4584.73
2023-01-02 08:00:00,8050.25
2023-01-02 09:00:00,7926.28
2023-01-02 10:00:00,8051.30
2023-01-02 11:00:00,5802.93
2023-01-02 12:00:00,5739.61
2023-01-02 13:00:00,4906.32
2023-01-02 14:00:00,5410.53
2023-01-02 15:00:00,5800.40
2023-01-02 16:00:00,7900.70
2023-01-02 17:00:00,6770.03
2023-01-02 18:00:00,9241.86
2023-01-02 19:00:00,11250.25
2023-01-02 20:00:00,5635.38
2023-01-02 21:00:00,4173.83
2023-01-02 22:00:00,4576.52
2023-01-02 23:00:00,3963.64
2023-01-03 00:00:00,2809.28
2023-01-03 01:00:00,2961.99
2023-01-03 02:00:00,2605.84
2023-01-03 03:00:00,2550.65
2023-01-03 04:00:00,4117.01
2023-01-03 05:00:00,3904.26
2023-01-03 06:00:00,4962.70
2023-01-03 07:00:00,6650.29
2023-01-03 08:00:00,11134.25
2023-01-03 09:00:00,10256.84
2023-01-03 10:00:00,8558.39
2023-01-03 11:00:00,10057.34
2023-01-03 12:00:00,6000.66
2023-01-03 13:00:00,5879.99
2023-01-03 14:00:00,5916.20
2023-01-03 15:00:00,6087.44
2023-01-03 16:00:00,7075.38
2023-01-03 17:00:00,7278.15
2023-01-03 18:00:00,8418.77
2023-01-03 19:00:00,7263.16
2023-01-03 20:00:00,5500.18
2023-01-03 21:00:00,3727.15
2023-01-03 22:00:00,3037.11
2023-01-03 23:00:00,3053.69
2023-01-04 00:00:00,2789.50
2023-01-04 01:00:00,4346.38
2023-01-04 02:00:00,1999.38
2023-01-04 03:00:00,2192.07
2023-01-04 04:00:00,3198.80
2023-01-04 05:00:00,3870.20
2023-01-04 06:00:00,4753.14
2023-01-04 07:00:00,6914.71
2023-01-04 08:00:00,6760.80
2023-01-04 09:00:00,10402.08
2023-01-04 10:00:00,11374.85
2023-01-04 11:00:00,6847.67
2023-01-04 12:00:00,7270.84
2023-01-04 13:00:00,4457.93
2023-01-04 14:00:00,4547.87
2023-01-04 15:00:00,5006.76
2023-01-04 16:00:00,5310.08
2023-01-04 17:00:00,5349.79
2023-01-04 18:00:00,8672.21
2023-01-04 19:00:00,6615.42
2023-01-04 20:00:00,4512.03
2023-01-04 21:00:00,4421.09
2023-01-04 22:00:00,4115.11
2023-01-04 23:00:00,2899.96
2023-01-05 00:00:00,3160.53
2023-01-05 01:00:00,2192.89
2023-01-05 02:00:00,2193.52
2023-01-05 03:00:00,2152.08
2023-01-05 04:00:00,2824.34
2023-01-05 05:00:00,2947.82
2023-01-05 06:00:00,4859.87
2023-01-05 07:00:00,8625.39
2023-01-05 08:00:00,11250.18
2023-01-05 09:00:00,12000.00
2023-01-05 10:00:00,12000.00
2023-01-05 11:00:00,8682.19
2023-01-05 12:00:00,8921.00
2023-01-05 13:00:00,5000.83
2023-01-05 14:00:00,5847.70
2023-01-05 15:00:00,8787.47
2023-01-05 16:00:00,10500.14
2023-01-05 17:00:00,12000.00
2023-01-05 18:00:00,12000.00
2023-01-05 19:00:00,12000.00
2023-01-05 20:00:00,7747.51
2023-01-05 21:00:00,4287.97
2023-01-05 22:00:00,3590.77
2023-01-05 23:00:00,3162.88
2023-01-06 00:00:00,2571.31
2023-01-06 01:00:00,2466.99
2023-01-06 02:00:00,2368.73
2023-01-06 03:00:00,2588.38
2023-01-06 04:00:00,3462.78
2023-01-06 05:00:00,4376.37
2023-01-06 06:00:00,5565.44
2023-01-06 07:00:00,11250.11
2023-01-06 08:00:00,12000.00
2023-01-06 09:00:00,12000.00
2023-01-06 10:00:00,12000.00
2023-01-06 11:00:00,12000.00
2023-01-06 12:00:00,12000.00
2023-01-06 13:00:00,12000.00
2023-01-06 14:00:00,12000.00
2023-01-06 15:00:00,12000.00
2023-01-06 16:00:00,12000.00
2023-01-06 17:00:00,12000.00
2023-01-06 18:00:00,12000.00
2023-01-06 19:00:00,12000.00
2023-01-06 20:00:00,12000.00
2023-01-06 21:00:00,4575.25
2023-01-06 22:00:00,4473.46
2023-01-06 23:00:00,3708.47
2023-01-07 00:00:00,3084.11
2023-01-07 01:00:00,2807.51
