Datetime,Price (EUR/MWh)
2023-01-01 00:00:00,-3.61
2023-01-01 01:00:00,-1.46
2023-01-01 02:00:00,-1.52
2023-01-01 03:00:00,-5.0
2023-01-01 04:00:00,-4.6
2023-01-01 05:00:00,-4.05
2023-01-01 06:00:00,-3.6
2023-01-01 07:00:00,0.0
2023-01-01 08:00:00,0.0
2023-01-01 09:00:00,0.0
2023-01-01 10:00:00,0.99
2023-01-01 11:00:00,0.58
2023-01-01 12:00:00,0.04
2023-01-01 13:00:00,0.0
2023-01-01 14:00:00,0.85
2023-01-01 15:00:00,23.53
2023-01-01 16:00:00,36.54
2023-01-01 17:00:00,46.03
2023-01-01 18:00:00,99.9
2023-01-01 19:00:00,54.95
2023-01-01 20:00:00,62.0
2023-01-01 21:00:00,52.93
2023-01-01 22:00:00,45.96
2023-01-01 23:00:00,35.0
2023-01-02 00:00:00,109.9
2023-01-02 01:00:00,94.9
2023-01-02 02:00:00,52.93
2023-01-02 03:00:00,44.16
2023-01-02 04:00:00,50.08
2023-01-02 05:00:00,77.09
2023-01-02 06:00:00,105.08
2023-01-02 07:00:00,140.64
2023-01-02 08:00:00,162.44
2023-01-02 09:00:00,180.0
2023-01-02 10:00:00,145.61
2023-01-02 11:00:00,143.35
2023-01-02 12:00:00,144.38
2023-01-02 13:00:00,143.76
2023-01-02 14:00:00,148.2
2023-01-02 15:00:00,155.34
2023-01-02 16:00:00,164.0
2023-01-02 17:00:00,185.68
2023-01-02 18:00:00,174.74
2023-01-02 19:00:00,169.9
2023-01-02 20:00:00,153.0
2023-01-02 21:00:00,141.67
2023-01-02 22:00:00,134.91
2023-01-02 23:00:00,124.22
2023-01-03 00:00:00,130.01
2023-01-03 01:00:00,120.0
2023-01-03 02:00:00,118.76
2023-01-03 03:00:00,115.0
2023-01-03 04:00:00,113.63
2023-01-03 05:00:00,116.27
2023-01-03 06:00:00,138.92
2023-01-03 07:00:00,159.92
2023-01-03 08:00:00,169.17
2023-01-03 09:00:00,171.18
2023-01-03 10:00:00,168.57
2023-01-03 11:00:00,169.49
2023-01-03 12:00:00,164.5
2023-01-03 13:00:00,160.91
2023-01-03 14:00:00,163.06
2023-01-03 15:00:00,166.79
2023-01-03 16:00:00,166.57
2023-01-03 17:00:00,170.82
2023-01-03 18:00:00,168.95
2023-01-03 19:00:00,160.99
2023-01-03 20:00:00,149.62
2023-01-03 21:00:00,130.63
2023-01-03 22:00:00,114.42
2023-01-03 23:00:00,92.48
2023-01-04 00:00:00,80.07
2023-01-04 01:00:00,68.44
2023-01-04 02:00:00,37.92
2023-01-04 03:00:00,0.0
2023-01-04 04:00:00,0.0
2023-01-04 05:00:00,6.33
2023-01-04 06:00:00,54.9
2023-01-04 07:00:00,85.32
2023-01-04 08:00:00,150.0
2023-01-04 09:00:00,146.0
2023-01-04 10:00:00,131.19
2023-01-04 11:00:00,130.53
2023-01-04 12:00:00,127.87
2023-01-04 13:00:00,119.08
2023-01-04 14:00:00,116.55
2023-01-04 15:00:00,127.99
2023-01-04 16:00:00,131.25
2023-01-04 17:00:00,150.2
2023-01-04 18:00:00,137.5
2023-01-04 19:00:00,129.49
2023-01-04 20:00:00,122.4
2023-01-04 21:00:00,129.39
2023-01-04 22:00:00,108.96
2023-01-04 23:00:00,106.0
2023-01-05 00:00:00,5.4
2023-01-05 01:00:00,3.63
2023-01-05 02:00:00,4.9
2023-01-05 03:00:00,0.0
2023-01-05 04:00:00,6.87
2023-01-05 05:00:00,16.32
2023-01-05 06:00:00,67.8
2023-01-05 07:00:00,119.9
2023-01-05 08:00:00,179.0
2023-01-05 09:00:00,171.04
2023-01-05 10:00:00,169.47
2023-01-05 11:00:00,154.0
2023-01-05 12:00:00,146.0
2023-01-05 13:00:00,145.1
2023-01-05 14:00:00,151.03
2023-01-05 15:00:00,159.48
2023-01-05 16:00:00,172.73
2023-01-05 17:00:00,222.1
2023-01-05 18:00:00,194.67
2023-01-05 19:00:00,177.98
2023-01-05 20:00:00,163.99
2023-01-05 21:00:00,152.0
2023-01-05 22:00:00,144.64
2023-01-05 23:00:00,127.0
2023-01-06 00:00:00,107.21
2023-01-06 01:00:00,101.1
2023-01-06 02:00:00,96.73
2023-01-06 03:00:00,81.42
2023-01-06 04:00:00,74.45
2023-01-06 05:00:00,78.32
2023-01-06 06:00:00,96.89
2023-01-06 07:00:00,107.02
2023-01-06 08:00:00,122.94
2023-01-06 09:00:00,166.4
2023-01-06 10:00:00,182.4
2023-01-06 11:00:00,163.67
2023-01-06 12:00:00,140.2
2023-01-06 13:00:00,135.0
2023-01-06 14:00:00,158.0
2023-01-06 15:00:00,170.4
2023-01-06 16:00:00,140.1
2023-01-06 17:00:00,155.93
2023-01-06 18:00:00,163.5
2023-01-06 19:00:00,146.74
2023-01-06 20:00:00,139.39
2023-01-06 21:00:00,131.84
2023-01-06 22:00:00,129.94
2023-01-06 23:00:00,121.31
2023-01-07 00:00:00,97.28
2023-01-07 01:00:00,98.16
2023-01-07 02:00:00,94.96
2023-01-07 03:00:00,83.86
2023-01-07 04:00:00,76.66
2023-01-07 05:00:00,69.88
2023-01-07 06:00:00,76.49
2023-01-07 07:00:00,92.53
2023-01-07 08:00:00,109.94
2023-01-07 09:00:00,112.87
2023-01-07 10:00:00,100.69
2023-01-07 11:00:00,88.32
2023-01-07 12:00:00,87.9
2023-01-07 13:00:00,74.29
2023-01-07 14:00:00,90.0
2023-01-07 15:00:00,86.9
2023-01-07 16:00:00,94.31
2023-01-07 17:00:00,98.32
2023-01-07 18:00:00,100.96
2023-01-07 19:00:00,96.0
2023-01-07 20:00:00,89.1
2023-01-07 21:00:00,62.98
2023-01-07 22:00:00,51.2
2023-01-07 23:00:00,38.79
2023-01-08 00:00:00,11.55
2023-01-08 01:00:00,9.07
2023-01-08 02:00:00,9.1
2023-01-08 03:00:00,3.46
2023-01-08 04:00:00,2.8
2023-01-08 05:00:00,5.08
2023-01-08 06:00:00,9.02
2023-01-08 07:00:00,16.47
2023-01-08 08:00:00,50.23
2023-01-08 09:00:00,83.02
2023-01-08 10:00:00,93.88
2023-01-08 11:00:00,103.87
2023-01-08 12:00:00,101.69
2023-01-08 13:00:00,99.0
2023-01-08 14:00:00,104.29
2023-01-08 15:00:00,103.33
2023-01-08 16:00:00,108.43
2023-01-08 17:00:00,118.72
2023-01-08 18:00:00,122.76
2023-01-08 19:00:00,109.44
2023-01-08 20:00:00,104.41
2023-01-08 21:00:00,98.65
2023-01-08 22:00:00,99.38
2023-01-08 23:00:00,81.34
2023-01-09 00:00:00,75.13
2023-01-09 01:00:00,64.38
2023-01-09 02:00:00,60.28
2023-01-09 03:00:00,39.41
2023-01-09 04:00:00,43.12
2023-01-09 05:00:00,69.07
2023-01-09 06:00:00,107.13
2023-01-09 07:00:00,160.0
2023-01-09 08:00:00,180.0
2023-01-09 09:00:00,177.16
2023-01-09 10:00:00,159.13
2023-01-09 11:00:00,160.78
2023-01-09 12:00:00,141.0
2023-01-09 13:00:00,142.07
2023-01-09 14:00:00,138.97
2023-01-09 15:00:00,151.23
2023-01-09 16:00:00,162.04
2023-01-09 17:00:00,174.27
2023-01-09 18:00:00,182.18
2023-01-09 19:00:00,170.24
2023-01-09 20:00:00,160.51
2023-01-09 21:00:00,138.93
2023-01-09 22:00:00,132.0
2023-01-09 23:00:00,108.31
2023-01-10 00:00:00,106.01
2023-01-10 01:00:00,96.72
2023-01-10 02:00:00,95.15
2023-01-10 03:00:00,90.33
2023-01-10 04:00:00,95.61
2023-01-10 05:00:00,108.6
2023-01-10 06:00:00,138.13
2023-01-10 07:00:00,156.0
2023-01-10 08:00:00,220.0
2023-01-10 09:00:00,222.0
2023-01-10 10:00:00,163.52
2023-01-10 11:00:00,147.6
2023-01-10 12:00:00,141.25
2023-01-10 13:00:00,141.68
2023-01-10 14:00:00,145.41
2023-01-10 15:00:00,145.92
2023-01-10 16:00:00,140.11
2023-01-10 17:00:00,147.9
2023-01-10 18:00:00,144.74
2023-01-10 19:00:00,130.1
2023-01-10 20:00:00,122.81
2023-01-10 21:00:00,101.9
2023-01-10 22:00:00,82.0
2023-01-10 23:00:00,42.96
2023-01-11 00:00:00,5.0
2023-01-11 01:00:00,0.0
2023-01-11 02:00:00,-0.33
2023-01-11 03:00:00,-0.23
2023-01-11 04:00:00,0.0
2023-01-11 05:00:00,2.59
2023-01-11 06:00:00,57.31
2023-01-11 07:00:00,91.11
2023-01-11 08:00:00,163.58
2023-01-11 09:00:00,155.6
2023-01-11 10:00:00,131.78
2023-01-11 11:00:00,130.6
2023-01-11 12:00:00,117.82
2023-01-11 13:00:00,110.54
2023-01-11 14:00:00,115.74
2023-01-11 15:00:00,118.83
2023-01-11 16:00:00,120.81
2023-01-11 17:00:00,133.79
2023-01-11 18:00:00,133.87
2023-01-11 19:00:00,129.9
2023-01-11 20:00:00,118.53
2023-01-11 21:00:00,94.87
2023-01-11 22:00:00,92.03
2023-01-11 23:00:00,69.23
2023-01-12 00:00:00,21.74
2023-01-12 01:00:00,5.92
2023-01-12 02:00:00,5.66
2023-01-12 03:00:00,0.1
2023-01-12 04:00:00,2.73
2023-01-12 05:00:00,25.55
2023-01-12 06:00:00,85.72
2023-01-12 07:00:00,115.35
2023-01-12 08:00:00,138.6
2023-01-12 09:00:00,156.6
2023-01-12 10:00:00,110.0
2023-01-12 11:00:00,111.92
2023-01-12 12:00:00,106.7
2023-01-12 13:00:00,102.87
2023-01-12 14:00:00,110.24
2023-01-12 15:00:00,108.66
2023-01-12 16:00:00,107.91
2023-01-12 17:00:00,130.0
2023-01-12 18:00:00,144.5
2023-01-12 19:00:00,130.0
2023-01-12 20:00:00,131.14
2023-01-12 21:00:00,86.0
2023-01-12 22:00:00,74.1
2023-01-12 23:00:00,40.41
2023-01-13 00:00:00,32.92
2023-01-13 01:00:00,17.2
2023-01-13 02:00:00,10.43
2023-01-13 03:00:00,2.65
2023-01-13 04:00:00,3.35
2023-01-13 05:00:00,25.7
2023-01-13 06:00:00,55.5
2023-01-13 07:00:00,88.65
2023-01-13 08:00:00,112.43
2023-01-13 09:00:00,107.07
2023-01-13 10:00:00,97.1
2023-01-13 11:00:00,89.03
2023-01-13 12:00:00,76.77
2023-01-13 13:00:00,70.24
2023-01-13 14:00:00,74.23
2023-01-13 15:00:00,80.6
2023-01-13 16:00:00,87.58
2023-01-13 17:00:00,141.83
2023-01-13 18:00:00,155.0
2023-01-13 19:00:00,144.2
2023-01-13 20:00:00,121.77
2023-01-13 21:00:00,125.4
2023-01-13 22:00:00,120.0
2023-01-13 23:00:00,97.29
2023-01-14 00:00:00,135.0
2023-01-14 01:00:00,117.2
2023-01-14 02:00:00,98.67
2023-01-14 03:00:00,57.45
2023-01-14 04:00:00,40.85
2023-01-14 05:00:00,41.02
2023-01-14 06:00:00,45.1
2023-01-14 07:00:00,54.9
2023-01-14 08:00:00,77.15
2023-01-14 09:00:00,100.1
2023-01-14 10:00:00,96.73
2023-01-14 11:00:00,99.2
2023-01-14 12:00:00,104.97
2023-01-14 13:00:00,93.86
2023-01-14 14:00:00,93.85
2023-01-14 15:00:00,100.0
2023-01-14 16:00:00,100.0
2023-01-14 17:00:00,134.26
2023-01-14 18:00:00,144.2
2023-01-14 19:00:00,127.0
2023-01-14 20:00:00,143.51
2023-01-14 21:00:00,99.37
2023-01-14 22:00:00,93.42
2023-01-14 23:00:00,69.1
2023-01-15 00:00:00,60.01
2023-01-15 01:00:00,29.4
2023-01-15 02:00:00,27.93
2023-01-15 03:00:00,6.94
2023-01-15 04:00:00,2.93
2023-01-15 05:00:00,4.05
2023-01-15 06:00:00,1.58
2023-01-15 07:00:00,1.81
2023-01-15 08:00:00,11.2
2023-01-15 09:00:00,37.4
2023-01-15 10:00:00,38.86
2023-01-15 11:00:00,74.9
2023-01-15 12:00:00,80.0
2023-01-15 13:00:00,65.01
2023-01-15 14:00:00,80.15
2023-01-15 15:00:00,86.02
2023-01-15 16:00:00,95.0
2023-01-15 17:00:00,139.64
2023-01-15 18:00:00,174.6
2023-01-15 19:00:00,197.7
2023-01-15 20:00:00,199.9
2023-01-15 21:00:00,168.34
2023-01-15 22:00:00,160.0
2023-01-15 23:00:00,133.0
2023-01-16 00:00:00,60.01
2023-01-16 01:00:00,60.01
2023-01-16 02:00:00,62.72
2023-01-16 03:00:00,56.1
2023-01-16 04:00:00,63.3
2023-01-16 05:00:00,87.0
2023-01-16 06:00:00,154.63
2023-01-16 07:00:00,175.11
2023-01-16 08:00:00,185.99
2023-01-16 09:00:00,170.0
2023-01-16 10:00:00,200.1
2023-01-16 11:00:00,165.6
2023-01-16 12:00:00,148.59
2023-01-16 13:00:00,145.47
2023-01-16 14:00:00,146.1
2023-01-16 15:00:00,149.9
2023-01-16 16:00:00,151.45
2023-01-16 17:00:00,166.79
2023-01-16 18:00:00,173.72
2023-01-16 19:00:00,150.5
2023-01-16 20:00:00,145.9
2023-01-16 21:00:00,131.97
2023-01-16 22:00:00,127.31
2023-01-16 23:00:00,120.0
2023-01-17 00:00:00,101.19
2023-01-17 01:00:00,95.45
2023-01-17 02:00:00,97.98
2023-01-17 03:00:00,100.0
2023-01-17 04:00:00,101.09
2023-01-17 05:00:00,113.55
2023-01-17 06:00:00,131.05
2023-01-17 07:00:00,140.8
2023-01-17 08:00:00,200.0
2023-01-17 09:00:00,232.8
2023-01-17 10:00:00,128.92
2023-01-17 11:00:00,120.0
2023-01-17 12:00:00,115.95
2023-01-17 13:00:00,112.9
2023-01-17 14:00:00,115.93
2023-01-17 15:00:00,147.72
2023-01-17 16:00:00,171.0
2023-01-17 17:00:00,184.73
2023-01-17 18:00:00,162.19
2023-01-17 19:00:00,150.1
2023-01-17 20:00:00,144.43
2023-01-17 21:00:00,141.41
2023-01-17 22:00:00,132.8
2023-01-17 23:00:00,131.4
2023-01-18 00:00:00,119.8
2023-01-18 01:00:00,120.1
2023-01-18 02:00:00,123.9
2023-01-18 03:00:00,122.87
2023-01-18 04:00:00,120.48
2023-01-18 05:00:00,121.91
2023-01-18 06:00:00,130.39
2023-01-18 07:00:00,166.4
2023-01-18 08:00:00,181.5
2023-01-18 09:00:00,176.56
2023-01-18 10:00:00,140.0
2023-01-18 11:00:00,123.05
2023-01-18 12:00:00,119.31
2023-01-18 13:00:00,115.75
2023-01-18 14:00:00,117.08
2023-01-18 15:00:00,140.0
2023-01-18 16:00:00,147.97
2023-01-18 17:00:00,160.0
2023-01-18 18:00:00,127.08
2023-01-18 19:00:00,123.07
2023-01-18 20:00:00,117.09
2023-01-18 21:00:00,119.9
2023-01-18 22:00:00,117.51
2023-01-18 23:00:00,111.46
2023-01-19 00:00:00,111.53
2023-01-19 01:00:00,106.98
2023-01-19 02:00:00,104.97
2023-01-19 03:00:00,101.72
2023-01-19 04:00:00,107.23
2023-01-19 05:00:00,114.62
2023-01-19 06:00:00,118.94
2023-01-19 07:00:00,159.9
2023-01-19 08:00:00,164.0
2023-01-19 09:00:00,171.69
2023-01-19 10:00:00,139.0
2023-01-19 11:00:00,136.35
2023-01-19 12:00:00,129.6
2023-01-19 13:00:00,154.87
2023-01-19 14:00:00,160.49
2023-01-19 15:00:00,175.96
2023-01-19 16:00:00,186.29
2023-01-19 17:00:00,203.94
2023-01-19 18:00:00,197.57
2023-01-19 19:00:00,171.43
2023-01-19 20:00:00,150.0
2023-01-19 21:00:00,148.41
2023-01-19 22:00:00,149.34
2023-01-19 23:00:00,139.0
2023-01-20 00:00:00,149.9
2023-01-20 01:00:00,144.5
2023-01-20 02:00:00,142.44
2023-01-20 03:00:00,142.8
2023-01-20 04:00:00,144.98
2023-01-20 05:00:00,150.01
2023-01-20 06:00:00,169.9
2023-01-20 07:00:00,208.07
2023-01-20 08:00:00,235.06
2023-01-20 09:00:00,221.7
2023-01-20 10:00:00,209.77
2023-01-20 11:00:00,199.42
2023-01-20 12:00:00,187.49
2023-01-20 13:00:00,181.62
2023-01-20 14:00:00,179.6
2023-01-20 15:00:00,192.0
2023-01-20 16:00:00,200.0
2023-01-20 17:00:00,208.22
2023-01-20 18:00:00,208.4
2023-01-20 19:00:00,183.68
2023-01-20 20:00:00,151.39
2023-01-20 21:00:00,155.3
2023-01-20 22:00:00,153.65
2023-01-20 23:00:00,147.55
2023-01-21 00:00:00,152.2
2023-01-21 01:00:00,147.86
2023-01-21 02:00:00,142.22
2023-01-21 03:00:00,135.88
2023-01-21 04:00:00,132.91
2023-01-21 05:00:00,134.84
2023-01-21 06:00:00,131.5
2023-01-21 07:00:00,140.77
2023-01-21 08:00:00,155.26
2023-01-21 09:00:00,171.84
2023-01-21 10:00:00,170.01
2023-01-21 11:00:00,156.94
2023-01-21 12:00:00,147.91
2023-01-21 13:00:00,137.02
2023-01-21 14:00:00,136.58
2023-01-21 15:00:00,135.9
2023-01-21 16:00:00,144.22
2023-01-21 17:00:00,173.92
2023-01-21 18:00:00,179.62
2023-01-21 19:00:00,159.41
2023-01-21 20:00:00,165.88
2023-01-21 21:00:00,147.74
2023-01-21 22:00:00,143.86
2023-01-21 23:00:00,132.58
2023-01-22 00:00:00,140.0
2023-01-22 01:00:00,122.94
2023-01-22 02:00:00,127.0
2023-01-22 03:00:00,130.99
2023-01-22 04:00:00,122.12
2023-01-22 05:00:00,121.68
2023-01-22 06:00:00,132.39
2023-01-22 07:00:00,127.6
2023-01-22 08:00:00,139.9
2023-01-22 09:00:00,150.71
2023-01-22 10:00:00,146.4
2023-01-22 11:00:00,153.1
2023-01-22 12:00:00,146.3
2023-01-22 13:00:00,150.0
2023-01-22 14:00:00,154.9
2023-01-22 15:00:00,157.49
2023-01-22 16:00:00,171.03
2023-01-22 17:00:00,191.99
2023-01-22 18:00:00,203.66
2023-01-22 19:00:00,197.58
2023-01-22 20:00:00,170.87
2023-01-22 21:00:00,166.4
2023-01-22 22:00:00,157.25
2023-01-22 23:00:00,148.3
2023-01-23 00:00:00,149.24
2023-01-23 01:00:00,149.0
2023-01-23 02:00:00,148.4
2023-01-23 03:00:00,147.59
2023-01-23 04:00:00,148.3
2023-01-23 05:00:00,144.9
2023-01-23 06:00:00,189.9
2023-01-23 07:00:00,226.54
2023-01-23 08:00:00,257.91
2023-01-23 09:00:00,270.2
2023-01-23 10:00:00,249.9
2023-01-23 11:00:00,230.2
2023-01-23 12:00:00,220.93
2023-01-23 13:00:00,219.16
2023-01-23 14:00:00,219.67
2023-01-23 15:00:00,218.99
2023-01-23 16:00:00,224.58
2023-01-23 17:00:00,248.9
2023-01-23 18:00:00,248.07
2023-01-23 19:00:00,223.19
2023-01-23 20:00:00,201.39
2023-01-23 21:00:00,183.95
2023-01-23 22:00:00,167.6
2023-01-23 23:00:00,157.01
2023-01-24 00:00:00,164.85
2023-01-24 01:00:00,160.05
2023-01-24 02:00:00,145.9
2023-01-24 03:00:00,142.4
2023-01-24 04:00:00,153.62
2023-01-24 05:00:00,156.7
2023-01-24 06:00:00,183.61
2023-01-24 07:00:00,210.06
2023-01-24 08:00:00,251.1
2023-01-24 09:00:00,256.43
2023-01-24 10:00:00,238.66
2023-01-24 11:00:00,229.96
2023-01-24 12:00:00,217.85
2023-01-24 13:00:00,205.99
2023-01-24 14:00:00,215.28
2023-01-24 15:00:00,217.98
2023-01-24 16:00:00,224.58
2023-01-24 17:00:00,250.0
2023-01-24 18:00:00,250.0
2023-01-24 19:00:00,231.14
2023-01-24 20:00:00,207.29
2023-01-24 21:00:00,182.75
2023-01-24 22:00:00,149.9
2023-01-24 23:00:00,147.34
2023-01-25 00:00:00,138.2
2023-01-25 01:00:00,146.18
2023-01-25 02:00:00,145.26
2023-01-25 03:00:00,146.7
2023-01-25 04:00:00,146.8
2023-01-25 05:00:00,150.9
2023-01-25 06:00:00,160.0
2023-01-25 07:00:00,195.46
2023-01-25 08:00:00,225.04
2023-01-25 09:00:00,225.0
2023-01-25 10:00:00,212.42
2023-01-25 11:00:00,200.98
2023-01-25 12:00:00,193.2
2023-01-25 13:00:00,185.2
2023-01-25 14:00:00,190.8
2023-01-25 15:00:00,197.3
2023-01-25 16:00:00,199.19
2023-01-25 17:00:00,206.35
2023-01-25 18:00:00,200.1
2023-01-25 19:00:00,170.41
2023-01-25 20:00:00,150.0
2023-01-25 21:00:00,144.3
2023-01-25 22:00:00,145.08
2023-01-25 23:00:00,135.0
2023-01-26 00:00:00,150.0
2023-01-26 01:00:00,129.38
2023-01-26 02:00:00,128.48
2023-01-26 03:00:00,126.61
2023-01-26 04:00:00,128.94
2023-01-26 05:00:00,124.0
2023-01-26 06:00:00,160.39
2023-01-26 07:00:00,182.49
2023-01-26 08:00:00,198.95
2023-01-26 09:00:00,199.06
2023-01-26 10:00:00,192.38
2023-01-26 11:00:00,140.1
2023-01-26 12:00:00,136.44
2023-01-26 13:00:00,130.0
2023-01-26 14:00:00,127.96
2023-01-26 15:00:00,135.48
2023-01-26 16:00:00,153.0
2023-01-26 17:00:00,186.2
2023-01-26 18:00:00,150.0
2023-01-26 19:00:00,133.92
2023-01-26 20:00:00,128.49
2023-01-26 21:00:00,149.4
2023-01-26 22:00:00,130.0
2023-01-26 23:00:00,130.0
2023-01-27 00:00:00,124.12
2023-01-27 01:00:00,114.61
2023-01-27 02:00:00,119.74
2023-01-27 03:00:00,116.0
2023-01-27 04:00:00,124.08
2023-01-27 05:00:00,127.26
2023-01-27 06:00:00,149.7
2023-01-27 07:00:00,176.1
2023-01-27 08:00:00,195.0
2023-01-27 09:00:00,199.19
2023-01-27 10:00:00,195.0
2023-01-27 11:00:00,190.0
2023-01-27 12:00:00,183.06
2023-01-27 13:00:00,180.0
