Datetime,Price (EUR/MWh)
2024-01-01 00:00:00,63.33
2024-01-01 01:00:00,50.09
2024-01-01 02:00:00,47.5
2024-01-01 03:00:00,43.5
2024-01-01 04:00:00,42.5
2024-01-01 05:00:00,42.09
2024-01-01 06:00:00,42.5
2024-01-01 07:00:00,42.59
2024-01-01 08:00:00,43.37
2024-01-01 09:00:00,42.29
2024-01-01 10:00:00,35.61
2024-01-01 11:00:00,29.8
2024-01-01 12:00:00,3.2
2024-01-01 13:00:00,2.06
2024-01-01 14:00:00,1.73
2024-01-01 15:00:00,5.72
2024-01-01 16:00:00,18.49
2024-01-01 17:00:00,37.0
2024-01-01 18:00:00,47.5
2024-01-01 19:00:00,54.97
2024-01-01 20:00:00,60.9
2024-01-01 21:00:00,60.0
2024-01-01 22:00:00,47.5
2024-01-01 23:00:00,42.09
2024-01-02 00:00:00,37.8
2024-01-02 01:00:00,25.61
2024-01-02 02:00:00,20.61
2024-01-02 03:00:00,14.54
2024-01-02 04:00:00,13.21
2024-01-02 05:00:00,14.54
2024-01-02 06:00:00,36.29
2024-01-02 07:00:00,44.7
2024-01-02 08:00:00,53.78
2024-01-02 09:00:00,54.23
2024-01-02 10:00:00,50.0
2024-01-02 11:00:00,52.2
2024-01-02 12:00:00,45.0
2024-01-02 13:00:00,43.0
2024-01-02 14:00:00,43.0
2024-01-02 15:00:00,40.99
2024-01-02 16:00:00,43.66
2024-01-02 17:00:00,52.2
2024-01-02 18:00:00,57.77
2024-01-02 19:00:00,62.45
2024-01-02 20:00:00,58.0
2024-01-02 21:00:00,52.83
2024-01-02 22:00:00,46.26
2024-01-02 23:00:00,40.1
2024-01-03 00:00:00,6.8
2024-01-03 01:00:00,3.2
2024-01-03 02:00:00,3.2
2024-01-03 03:00:00,3.2
2024-01-03 04:00:00,3.2
2024-01-03 05:00:00,2.21
2024-01-03 06:00:00,4.78
2024-01-03 07:00:00,45.42
2024-01-03 08:00:00,61.92
2024-01-03 09:00:00,67.0
2024-01-03 10:00:00,63.6
2024-01-03 11:00:00,58.5
2024-01-03 12:00:00,63.6
2024-01-03 13:00:00,63.35
2024-01-03 14:00:00,63.6
2024-01-03 15:00:00,66.03
2024-01-03 16:00:00,67.52
2024-01-03 17:00:00,89.57
2024-01-03 18:00:00,94.2
2024-01-03 19:00:00,104.35
2024-01-03 20:00:00,113.26
2024-01-03 21:00:00,113.26
2024-01-03 22:00:00,94.2
