Datetime,Price (SGD/MWh)
2023-01-01 00:00:00,158.62
2023-01-01 01:00:00,126.83
2023-01-01 02:00:00,144.51
2023-01-01 03:00:00,108.48
2023-01-01 04:00:00,106.51
2023-01-01 05:00:00,109.69
2023-01-01 06:00:00,123.24
2023-01-01 07:00:00,126.71
2023-01-01 08:00:00,156.98
2023-01-01 09:00:00,177.19
2023-01-01 10:00:00,157.2
2023-01-01 11:00:00,151.63
2023-01-01 12:00:00,126.25
2023-01-01 13:00:00,117.51
2023-01-01 14:00:00,116.06
2023-01-01 15:00:00,116.08
2023-01-01 16:00:00,146.93
2023-01-01 17:00:00,151.61
2023-01-01 18:00:00,181.38
2023-01-01 19:00:00,231.19
2023-01-01 20:00:00,231.16
2023-01-01 21:00:00,232.49
2023-01-01 22:00:00,181.45
2023-01-01 23:00:00,157.26
2023-01-02 00:00:00,194.09
2023-01-02 01:00:00,162.2
2023-01-02 02:00:00,123.77
2023-01-02 03:00:00,104.61
2023-01-02 04:00:00,104.51
2023-01-02 05:00:00,117.34
2023-01-02 06:00:00,123.75
2023-01-02 07:00:00,130.72
2023-01-02 08:00:00,162.99
2023-01-02 09:00:00,181.23
2023-01-02 10:00:00,181.36
2023-01-02 11:00:00,170.44
2023-01-02 12:00:00,124.9
2023-01-02 13:00:00,123.29
2023-01-02 14:00:00,143.78
2023-01-02 15:00:00,170.42
2023-01-02 16:00:00,227.62
2023-01-02 17:00:00,232.44
2023-01-02 18:00:00,247.05
2023-01-02 19:00:00,280.92
2023-01-02 20:00:00,280.99
2023-01-02 21:00:00,372.52
2023-01-02 22:00:00,245.96
2023-01-02 23:00:00,194.61
2023-01-03 00:00:00,120.63
2023-01-03 01:00:00,113.02
2023-01-03 02:00:00,109.44
2023-01-03 03:00:00,107.67
2023-01-03 04:00:00,105.61
2023-01-03 05:00:00,112.04
2023-01-03 06:00:00,156.25
2023-01-03 07:00:00,207.86
2023-01-03 08:00:00,232.53
2023-01-03 09:00:00,250.88
2023-01-03 10:00:00,251.88
2023-01-03 11:00:00,251.65
2023-01-03 12:00:00,232.48
2023-01-03 13:00:00,251.78
2023-01-03 14:00:00,251.76
2023-01-03 15:00:00,282.02
2023-01-03 16:00:00,354.27
2023-01-03 17:00:00,304.29
2023-01-03 18:00:00,250.81
2023-01-03 19:00:00,250.81
2023-01-03 20:00:00,250.25
2023-01-03 21:00:00,231.22
2023-01-03 22:00:00,207.87
2023-01-03 23:00:00,125.92
2023-01-04 00:00:00,110.57
2023-01-04 01:00:00,110.56
2023-01-04 02:00:00,110.52
2023-01-04 03:00:00,110.5
2023-01-04 04:00:00,106.66
2023-01-04 05:00:00,109.43
2023-01-04 06:00:00,135.28
2023-01-04 07:00:00,232.34
2023-01-04 08:00:00,301.63
2023-01-04 09:00:00,303.76
2023-01-04 10:00:00,303.77
2023-01-04 11:00:00,301.81
2023-01-04 12:00:00,300.75
2023-01-04 13:00:00,301.8
2023-01-04 14:00:00,301.8
2023-01-04 15:00:00,322.9
2023-01-04 16:00:00,301.75
2023-01-04 17:00:00,301.76
2023-01-04 18:00:00,300.74
2023-01-04 19:00:00,303.88
2023-01-04 20:00:00,301.59
2023-01-04 21:00:00,300.86
2023-01-04 22:00:00,202.87
2023-01-04 23:00:00,121.37
2023-01-05 00:00:00,97.97
2023-01-05 01:00:00,110.68
2023-01-05 02:00:00,110.51
2023-01-05 03:00:00,106.83
2023-01-05 04:00:00,110.48
2023-01-05 05:00:00,113.73
2023-01-05 06:00:00,185.7
2023-01-05 07:00:00,207.84
2023-01-05 08:00:00,280.41
2023-01-05 09:00:00,350.77
2023-01-05 10:00:00,354.22
2023-01-05 11:00:00,323.92
2023-01-05 12:00:00,280.65
2023-01-05 13:00:00,303.87
2023-01-05 14:00:00,491.18
2023-01-05 15:00:00,549.61
2023-01-05 16:00:00,549.59
2023-01-05 17:00:00,549.61
2023-01-05 18:00:00,289.62
2023-01-05 19:00:00,326.28
2023-01-05 20:00:00,315.68
2023-01-05 21:00:00,270.62
2023-01-05 22:00:00,206.64
2023-01-05 23:00:00,181.57
2023-01-06 00:00:00,194.04
2023-01-06 01:00:00,120.69
2023-01-06 02:00:00,120.62
2023-01-06 03:00:00,120.41
2023-01-06 04:00:00,116.35
2023-01-06 05:00:00,167.88
2023-01-06 06:00:00,207.69
2023-01-06 07:00:00,234.69
2023-01-06 08:00:00,253.87
2023-01-06 09:00:00,301.55
2023-01-06 10:00:00,268.41
2023-01-06 11:00:00,261.25
2023-01-06 12:00:00,252.01
2023-01-06 13:00:00,300.82
2023-01-06 14:00:00,335.92
2023-01-06 15:00:00,311.89
2023-01-06 16:00:00,303.88
2023-01-06 17:00:00,335.89
2023-01-06 18:00:00,335.9
2023-01-06 19:00:00,425.16
2023-01-06 20:00:00,799.78
2023-01-06 21:00:00,310.82
2023-01-06 22:00:00,257.63
2023-01-06 23:00:00,250.52
2023-01-07 00:00:00,327.44
2023-01-07 01:00:00,216.78
2023-01-07 02:00:00,181.3
2023-01-07 03:00:00,162.23
2023-01-07 04:00:00,160.76
2023-01-07 05:00:00,161.0
2023-01-07 06:00:00,162.25
2023-01-07 07:00:00,216.74
2023-01-07 08:00:00,250.62
2023-01-07 09:00:00,251.3
2023-01-07 10:00:00,251.29
2023-01-07 11:00:00,250.59
2023-01-07 12:00:00,207.58
2023-01-07 13:00:00,202.21
2023-01-07 14:00:00,181.56
2023-01-07 15:00:00,207.63
2023-01-07 16:00:00,191.76
2023-01-07 17:00:00,242.15
2023-01-07 18:00:00,250.74
2023-01-07 19:00:00,251.29
2023-01-07 20:00:00,248.97
2023-01-07 21:00:00,244.38
2023-01-07 22:00:00,241.35
2023-01-07 23:00:00,202.74
2023-01-08 00:00:00,203.98
2023-01-08 01:00:00,232.04
2023-01-08 02:00:00,207.43
2023-01-08 03:00:00,160.8
2023-01-08 04:00:00,160.8
2023-01-08 05:00:00,181.21
2023-01-08 06:00:00,117.93
2023-01-08 07:00:00,130.63
2023-01-08 08:00:00,160.89
2023-01-08 09:00:00,154.08
2023-01-08 10:00:00,154.1
2023-01-08 11:00:00,142.56
2023-01-08 12:00:00,125.53
2023-01-08 13:00:00,161.04
2023-01-08 14:00:00,144.5
2023-01-08 15:00:00,161.28
2023-01-08 16:00:00,191.73
2023-01-08 17:00:00,207.46
2023-01-08 18:00:00,282.97
2023-01-08 19:00:00,450.14
2023-01-08 20:00:00,501.22
2023-01-08 21:00:00,837.46
2023-01-08 22:00:00,362.12
2023-01-08 23:00:00,292.37
2023-01-09 00:00:00,206.76
2023-01-09 01:00:00,181.13
2023-01-09 02:00:00,122.01
2023-01-09 03:00:00,121.83
2023-01-09 04:00:00,125.05
2023-01-09 05:00:00,181.08
2023-01-09 06:00:00,251.28
2023-01-09 07:00:00,500.34
2023-01-09 08:00:00,1080.93
2023-01-09 09:00:00,3852.2
2023-01-09 10:00:00,928.66
2023-01-09 11:00:00,1100.45
2023-01-09 12:00:00,882.37
2023-01-09 13:00:00,899.89
2023-01-09 14:00:00,1100.75
2023-01-09 15:00:00,1078.05
2023-01-09 16:00:00,1078.08
2023-01-09 17:00:00,1078.12
2023-01-09 18:00:00,838.42
2023-01-09 19:00:00,1079.04
2023-01-09 20:00:00,3960.68
2023-01-09 21:00:00,3333.03
2023-01-09 22:00:00,451.3
2023-01-09 23:00:00,287.2
2023-01-10 00:00:00,260.77
2023-01-10 01:00:00,201.46
2023-01-10 02:00:00,178.05
2023-01-10 03:00:00,193.79
2023-01-10 04:00:00,193.62
2023-01-10 05:00:00,120.79
2023-01-10 06:00:00,202.41
2023-01-10 07:00:00,207.8
2023-01-10 08:00:00,454.34
2023-01-10 09:00:00,392.73
2023-01-10 10:00:00,308.85
2023-01-10 11:00:00,308.51
2023-01-10 12:00:00,312.9
2023-01-10 13:00:00,312.87
2023-01-10 14:00:00,302.92
2023-01-10 15:00:00,333.02
2023-01-10 16:00:00,308.87
2023-01-10 17:00:00,302.59
2023-01-10 18:00:00,290.69
2023-01-10 19:00:00,302.57
2023-01-10 20:00:00,302.7
2023-01-10 21:00:00,251.27
2023-01-10 22:00:00,250.62
2023-01-10 23:00:00,251.61
2023-01-11 00:00:00,251.65
2023-01-11 01:00:00,201.48
2023-01-11 02:00:00,171.84
2023-01-11 03:00:00,136.69
2023-01-11 04:00:00,108.13
2023-01-11 05:00:00,148.15
2023-01-11 06:00:00,201.52
2023-01-11 07:00:00,241.72
2023-01-11 08:00:00,285.63
2023-01-11 09:00:00,302.9
2023-01-11 10:00:00,302.69
2023-01-11 11:00:00,313.16
2023-01-11 12:00:00,330.72
2023-01-11 13:00:00,308.76
2023-01-11 14:00:00,302.71
2023-01-11 15:00:00,261.99
2023-01-11 16:00:00,223.32
2023-01-11 17:00:00,250.36
2023-01-11 18:00:00,213.18
2023-01-11 19:00:00,244.3
2023-01-11 20:00:00,223.36
2023-01-11 21:00:00,208.2
2023-01-11 22:00:00,201.62
2023-01-11 23:00:00,200.48
2023-01-12 00:00:00,201.59
2023-01-12 01:00:00,146.71
2023-01-12 02:00:00,106.2
2023-01-12 03:00:00,100.32
2023-01-12 04:00:00,100.3
2023-01-12 05:00:00,100.41
2023-01-12 06:00:00,201.0
2023-01-12 07:00:00,202.11
2023-01-12 08:00:00,251.35
2023-01-12 09:00:00,251.73
2023-01-12 10:00:00,302.7
2023-01-12 11:00:00,302.89
2023-01-12 12:00:00,260.32
2023-01-12 13:00:00,250.61
2023-01-12 14:00:00,290.6
2023-01-12 15:00:00,292.38
2023-01-12 16:00:00,302.65
2023-01-12 17:00:00,312.68
2023-01-12 18:00:00,262.06
2023-01-12 19:00:00,302.68
2023-01-12 20:00:00,302.6
2023-01-12 21:00:00,302.75
2023-01-12 22:00:00,272.74
2023-01-12 23:00:00,222.42
2023-01-13 00:00:00,152.83
2023-01-13 01:00:00,146.7
2023-01-13 02:00:00,111.18
2023-01-13 03:00:00,110.77
2023-01-13 04:00:00,109.44
2023-01-13 05:00:00,120.5
2023-01-13 06:00:00,201.47
2023-01-13 07:00:00,213.07
2023-01-13 08:00:00,302.7
2023-01-13 09:00:00,302.89
2023-01-13 10:00:00,302.98
2023-01-13 11:00:00,304.33
2023-01-13 12:00:00,302.67
2023-01-13 13:00:00,302.69
2023-01-13 14:00:00,353.82
2023-01-13 15:00:00,385.95
2023-01-13 16:00:00,379.8
2023-01-13 17:00:00,350.53
2023-01-13 18:00:00,302.71
2023-01-13 19:00:00,250.36
2023-01-13 20:00:00,223.34
2023-01-13 21:00:00,250.4
2023-01-13 22:00:00,213.14
2023-01-13 23:00:00,194.01
2023-01-14 00:00:00,142.39
2023-01-14 01:00:00,169.03
2023-01-14 02:00:00,167.15
2023-01-14 03:00:00,125.52
2023-01-14 04:00:00,116.71
2023-01-14 05:00:00,125.49
2023-01-14 06:00:00,141.02
2023-01-14 07:00:00,169.03
2023-01-14 08:00:00,194.16
2023-01-14 09:00:00,206.61
2023-01-14 10:00:00,206.73
2023-01-14 11:00:00,202.9
2023-01-14 12:00:00,195.41
2023-01-14 13:00:00,195.37
2023-01-14 14:00:00,194.25
2023-01-14 15:00:00,194.63
2023-01-14 16:00:00,195.42
2023-01-14 17:00:00,195.97
2023-01-14 18:00:00,197.93
2023-01-14 19:00:00,206.83
2023-01-14 20:00:00,202.91
2023-01-14 21:00:00,197.96
2023-01-14 22:00:00,202.6
2023-01-14 23:00:00,195.48
2023-01-15 00:00:00,187.64
2023-01-15 01:00:00,187.54
2023-01-15 02:00:00,123.47
2023-01-15 03:00:00,107.71
2023-01-15 04:00:00,105.35
2023-01-15 05:00:00,105.43
2023-01-15 06:00:00,146.66
2023-01-15 07:00:00,115.96
2023-01-15 08:00:00,125.64
2023-01-15 09:00:00,146.69
2023-01-15 10:00:00,192.2
2023-01-15 11:00:00,168.33
2023-01-15 12:00:00,114.28
2023-01-15 13:00:00,146.12
2023-01-15 14:00:00,157.16
2023-01-15 15:00:00,187.57
2023-01-15 16:00:00,188.88
2023-01-15 17:00:00,206.71
2023-01-15 18:00:00,241.46
2023-01-15 19:00:00,223.35
2023-01-15 20:00:00,300.74
2023-01-15 21:00:00,261.93
2023-01-15 22:00:00,241.44
2023-01-15 23:00:00,194.2
2023-01-16 00:00:00,105.5
2023-01-16 01:00:00,105.48
2023-01-16 02:00:00,103.39
2023-01-16 03:00:00,101.14
2023-01-16 04:00:00,95.02
2023-01-16 05:00:00,105.38
2023-01-16 06:00:00,143.72
2023-01-16 07:00:00,206.63
2023-01-16 08:00:00,307.77
2023-01-16 09:00:00,307.92
2023-01-16 10:00:00,309.68
2023-01-16 11:00:00,307.69
2023-01-16 12:00:00,302.6
2023-01-16 13:00:00,307.84
2023-01-16 14:00:00,307.83
2023-01-16 15:00:00,307.86
2023-01-16 16:00:00,336.68
2023-01-16 17:00:00,307.94
2023-01-16 18:00:00,293.08
2023-01-16 19:00:00,307.77
2023-01-16 20:00:00,300.85
2023-01-16 21:00:00,292.3
2023-01-16 22:00:00,250.56
2023-01-16 23:00:00,202.95
2023-01-17 00:00:00,119.82
2023-01-17 01:00:00,123.58
2023-01-17 02:00:00,105.84
2023-01-17 03:00:00,105.48
2023-01-17 04:00:00,105.42
2023-01-17 05:00:00,118.75
2023-01-17 06:00:00,177.09
2023-01-17 07:00:00,202.86
2023-01-17 08:00:00,261.93
2023-01-17 09:00:00,280.6
2023-01-17 10:00:00,281.65
2023-01-17 11:00:00,255.89
2023-01-17 12:00:00,150.16
2023-01-17 13:00:00,187.97
2023-01-17 14:00:00,202.03
2023-01-17 15:00:00,202.04
2023-01-17 16:00:00,211.13
2023-01-17 17:00:00,251.9
2023-01-17 18:00:00,213.2
2023-01-17 19:00:00,308.19
2023-01-17 20:00:00,3343.12
2023-01-17 21:00:00,261.95
2023-01-17 22:00:00,207.27
2023-01-17 23:00:00,167.39
2023-01-18 00:00:00,126.22
2023-01-18 01:00:00,126.19
2023-01-18 02:00:00,110.53
2023-01-18 03:00:00,105.74
2023-01-18 04:00:00,105.64
2023-01-18 05:00:00,108.45
2023-01-18 06:00:00,140.26
2023-01-18 07:00:00,202.9
2023-01-18 08:00:00,230.53
2023-01-18 09:00:00,251.77
2023-01-18 10:00:00,300.7
2023-01-18 11:00:00,300.44
2023-01-18 12:00:00,251.86
2023-01-18 13:00:00,260.55
2023-01-18 14:00:00,260.6
2023-01-18 15:00:00,262.06
2023-01-18 16:00:00,312.63
2023-01-18 17:00:00,300.72
2023-01-18 18:00:00,250.4
2023-01-18 19:00:00,261.96
2023-01-18 20:00:00,251.95
2023-01-18 21:00:00,220.52
2023-01-18 22:00:00,202.84
2023-01-18 23:00:00,192.7
2023-01-19 00:00:00,127.94
2023-01-19 01:00:00,123.13
2023-01-19 02:00:00,110.48
2023-01-19 03:00:00,107.75
2023-01-19 04:00:00,107.65
2023-01-19 05:00:00,110.48
2023-01-19 06:00:00,146.73
2023-01-19 07:00:00,164.78
2023-01-19 08:00:00,223.35
2023-01-19 09:00:00,250.38
2023-01-19 10:00:00,261.93
2023-01-19 11:00:00,251.25
2023-01-19 12:00:00,251.92
2023-01-19 13:00:00,251.24
2023-01-19 14:00:00,300.67
2023-01-19 15:00:00,250.53
2023-01-19 16:00:00,251.53
2023-01-19 17:00:00,241.79
2023-01-19 18:00:00,194.55
2023-01-19 19:00:00,205.89
2023-01-19 20:00:00,203.0
2023-01-19 21:00:00,164.91
2023-01-19 22:00:00,128.13
2023-01-19 23:00:00,119.26
2023-01-20 00:00:00,122.65
2023-01-20 01:00:00,110.65
2023-01-20 02:00:00,102.4
2023-01-20 03:00:00,100.03
2023-01-20 04:00:00,100.02
2023-01-20 05:00:00,102.52
2023-01-20 06:00:00,122.57
2023-01-20 07:00:00,162.71
2023-01-20 08:00:00,213.39
2023-01-20 09:00:00,229.73
2023-01-20 10:00:00,241.82
2023-01-20 11:00:00,241.84
2023-01-20 12:00:00,229.6
2023-01-20 13:00:00,281.4
2023-01-20 14:00:00,250.59
2023-01-20 15:00:00,250.55
2023-01-20 16:00:00,202.3
2023-01-20 17:00:00,194.56
2023-01-20 18:00:00,181.35
2023-01-20 19:00:00,187.98
2023-01-20 20:00:00,180.59
2023-01-20 21:00:00,167.64
2023-01-20 22:00:00,140.9
2023-01-20 23:00:00,118.41
2023-01-21 00:00:00,123.7
2023-01-21 01:00:00,111.09
2023-01-21 02:00:00,107.74
2023-01-21 03:00:00,107.5
2023-01-21 04:00:00,107.74
2023-01-21 05:00:00,107.74
2023-01-21 06:00:00,110.64
