Datetime,Price (USD/MWh)
2022-01-01 05:00:00,30.95
2022-01-01 06:00:00,28.6
2022-01-01 07:00:00,27.13
2022-01-01 08:00:00,26.49
2022-01-01 09:00:00,27.05
2022-01-01 10:00:00,28.76
2022-01-01 11:00:00,34.22
2022-01-01 12:00:00,33.62
2022-01-01 13:00:00,34.81
2022-01-01 14:00:00,32.75
2022-01-01 15:00:00,34.58
2022-01-01 16:00:00,35.56
2022-01-01 17:00:00,35.96
2022-01-01 18:00:00,35.17
2022-01-01 19:00:00,35.08
2022-01-01 20:00:00,35.1
2022-01-01 21:00:00,35.8
2022-01-01 22:00:00,44.98
2022-01-01 23:00:00,39.46
2022-01-02 00:00:00,37.11
2022-01-02 01:00:00,36.28
2022-01-02 02:00:00,35.42
2022-01-02 03:00:00,35.8
2022-01-02 04:00:00,34.08
2022-01-02 05:00:00,32.19
2022-01-02 06:00:00,30.31
2022-01-02 07:00:00,29.79
2022-01-02 08:00:00,29.53
2022-01-02 09:00:00,28.96
2022-01-02 10:00:00,28.44
2022-01-02 11:00:00,28.28
2022-01-02 12:00:00,23.5
2022-01-02 13:00:00,25.6
2022-01-02 14:00:00,30.29
2022-01-02 15:00:00,32.52
2022-01-02 16:00:00,34.03
2022-01-02 17:00:00,33.84
2022-01-02 18:00:00,33.8
2022-01-02 19:00:00,34.0
2022-01-02 20:00:00,34.31
2022-01-02 21:00:00,42.42
2022-01-02 22:00:00,51.47
2022-01-02 23:00:00,46.1
2022-01-03 00:00:00,42.55
2022-01-03 01:00:00,36.93
2022-01-03 02:00:00,35.55
2022-01-03 03:00:00,33.53
2022-01-03 04:00:00,33.23
2022-01-03 05:00:00,46.96
2022-01-03 06:00:00,40.29
2022-01-03 07:00:00,38.57
2022-01-03 08:00:00,38.53
2022-01-03 09:00:00,39.42
2022-01-03 10:00:00,44.44
2022-01-03 11:00:00,49.66
2022-01-03 12:00:00,65.03
2022-01-03 13:00:00,58.09
2022-01-03 14:00:00,60.89
2022-01-03 15:00:00,64.99
2022-01-03 16:00:00,57.4
2022-01-03 17:00:00,57.82
2022-01-03 18:00:00,56.98
2022-01-03 19:00:00,56.09
2022-01-03 20:00:00,58.05
2022-01-03 21:00:00,85.83
2022-01-03 22:00:00,100.0
2022-01-03 23:00:00,91.51
2022-01-04 00:00:00,86.07
2022-01-04 01:00:00,62.71
2022-01-04 02:00:00,67.54
2022-01-04 03:00:00,63.38
2022-01-04 04:00:00,54.06
2022-01-04 05:00:00,71.86
2022-01-04 06:00:00,65.0
2022-01-04 07:00:00,63.4
2022-01-04 08:00:00,62.58
2022-01-04 09:00:00,64.02
2022-01-04 10:00:00,69.3
2022-01-04 11:00:00,64.87
2022-01-04 12:00:00,93.71
2022-01-04 13:00:00,89.47
2022-01-04 14:00:00,83.13
2022-01-04 15:00:00,82.45
2022-01-04 16:00:00,71.34
2022-01-04 17:00:00,66.59
2022-01-04 18:00:00,64.92
2022-01-04 19:00:00,65.55
2022-01-04 20:00:00,67.91
2022-01-04 21:00:00,89.08
2022-01-04 22:00:00,108.89
2022-01-04 23:00:00,95.45
2022-01-05 00:00:00,90.12
2022-01-05 01:00:00,73.61
2022-01-05 02:00:00,72.06
2022-01-05 03:00:00,64.05
2022-01-05 04:00:00,57.24
2022-01-05 05:00:00,93.12
2022-01-05 06:00:00,84.97
2022-01-05 07:00:00,86.2
2022-01-05 08:00:00,88.01
2022-01-05 09:00:00,87.35
2022-01-05 10:00:00,87.93
2022-01-05 11:00:00,92.18
2022-01-05 12:00:00,118.26
2022-01-05 13:00:00,110.72
2022-01-05 14:00:00,112.13
2022-01-05 15:00:00,95.16
2022-01-05 16:00:00,82.97
2022-01-05 17:00:00,80.52
2022-01-05 18:00:00,77.27
2022-01-05 19:00:00,76.33
2022-01-05 20:00:00,79.74
2022-01-05 21:00:00,93.43
2022-01-05 22:00:00,116.19
2022-01-05 23:00:00,101.44
2022-01-06 00:00:00,91.37
2022-01-06 01:00:00,75.43
2022-01-06 02:00:00,72.45
2022-01-06 03:00:00,73.25
2022-01-06 04:00:00,66.66
2022-01-06 05:00:00,90.46
2022-01-06 06:00:00,87.11
2022-01-06 07:00:00,84.44
2022-01-06 08:00:00,84.48
2022-01-06 09:00:00,84.35
2022-01-06 10:00:00,87.51
2022-01-06 11:00:00,96.06
2022-01-06 12:00:00,112.43
2022-01-06 13:00:00,107.99
2022-01-06 14:00:00,102.4
2022-01-06 15:00:00,99.45
2022-01-06 16:00:00,91.32
2022-01-06 17:00:00,84.77
2022-01-06 18:00:00,87.09
2022-01-06 19:00:00,84.91
2022-01-06 20:00:00,87.13
2022-01-06 21:00:00,105.85
2022-01-06 22:00:00,114.35
2022-01-06 23:00:00,110.0
2022-01-07 00:00:00,107.97
2022-01-07 01:00:00,86.82
2022-01-07 02:00:00,84.1
2022-01-07 03:00:00,81.31
2022-01-07 04:00:00,72.21
2022-01-07 05:00:00,107.4
2022-01-07 06:00:00,98.12
2022-01-07 07:00:00,96.8
2022-01-07 08:00:00,96.55
2022-01-07 09:00:00,97.64
2022-01-07 10:00:00,102.49
2022-01-07 11:00:00,108.68
2022-01-07 12:00:00,124.06
2022-01-07 13:00:00,128.57
2022-01-07 14:00:00,137.2
2022-01-07 15:00:00,155.09
2022-01-07 16:00:00,141.25
2022-01-07 17:00:00,141.46
2022-01-07 18:00:00,141.75
2022-01-07 19:00:00,142.79
2022-01-07 20:00:00,152.86
2022-01-07 21:00:00,174.4
2022-01-07 22:00:00,183.58
2022-01-07 23:00:00,183.48
2022-01-08 00:00:00,182.08
2022-01-08 01:00:00,158.02
2022-01-08 02:00:00,153.62
2022-01-08 03:00:00,158.02
2022-01-08 04:00:00,142.52
2022-01-08 05:00:00,198.99
2022-01-08 06:00:00,187.63
2022-01-08 07:00:00,180.97
2022-01-08 08:00:00,175.0
2022-01-08 09:00:00,176.99
2022-01-08 10:00:00,181.81
2022-01-08 11:00:00,189.55
2022-01-08 12:00:00,203.73
2022-01-08 13:00:00,214.75
2022-01-08 14:00:00,213.2
2022-01-08 15:00:00,193.49
2022-01-08 16:00:00,178.1
2022-01-08 17:00:00,170.97
2022-01-08 18:00:00,171.29
2022-01-08 19:00:00,170.94
2022-01-08 20:00:00,180.02
2022-01-08 21:00:00,196.9
2022-01-08 22:00:00,230.73
2022-01-08 23:00:00,216.63
2022-01-09 00:00:00,214.0
2022-01-09 01:00:00,199.86
2022-01-09 02:00:00,191.97
2022-01-09 03:00:00,180.9
2022-01-09 04:00:00,187.8
2022-01-09 05:00:00,189.47
2022-01-09 06:00:00,173.28
2022-01-09 07:00:00,169.95
2022-01-09 08:00:00,166.46
2022-01-09 09:00:00,166.96
2022-01-09 10:00:00,164.95
2022-01-09 11:00:00,173.24
2022-01-09 12:00:00,178.1
2022-01-09 13:00:00,182.91
2022-01-09 14:00:00,187.95
2022-01-09 15:00:00,176.0
2022-01-09 16:00:00,164.15
2022-01-09 17:00:00,153.24
2022-01-09 18:00:00,146.11
2022-01-09 19:00:00,149.98
2022-01-09 20:00:00,157.72
