Datetime,Price (EUR/MWh)
2023-01-01 00:00:00,58.63
2023-01-01 01:00:00,67.65
2023-01-01 02:00:00,55.81
2023-01-01 03:00:00,20.29
2023-01-01 04:00:00,0.0
2023-01-01 05:00:00,-1.13
2023-01-01 06:00:00,-4.51
2023-01-01 07:00:00,0.0
2023-01-01 08:00:00,0.0
2023-01-01 09:00:00,13.53
2023-01-01 10:00:00,72.16
2023-01-01 11:00:00,113.99
2023-01-01 12:00:00,135.3
2023-01-01 13:00:00,169.12
2023-01-01 14:00:00,174.08
2023-01-01 15:00:00,178.71
2023-01-01 16:00:00,148.72
2023-01-01 17:00:00,195.56
2023-01-01 18:00:00,219.86
2023-01-01 19:00:00,192.24
2023-01-01 20:00:00,169.91
2023-01-01 21:00:00,169.57
2023-01-01 22:00:00,166.53
2023-01-01 23:00:00,135.41
2023-01-02 00:00:00,169.24
2023-01-02 01:00:00,163.71
2023-01-02 02:00:00,164.84
2023-01-02 03:00:00,155.7
2023-01-02 04:00:00,144.65
2023-01-02 05:00:00,144.65
2023-01-02 06:00:00,150.74
2023-01-02 07:00:00,169.24
2023-01-02 08:00:00,139.46
2023-01-02 09:00:00,160.33
2023-01-02 10:00:00,182.56
2023-01-02 11:00:00,189.55
2023-01-02 12:00:00,189.55
2023-01-02 13:00:00,196.32
2023-01-02 14:00:00,191.81
2023-01-02 15:00:00,189.78
2023-01-02 16:00:00,193.39
2023-01-02 17:00:00,243.37
2023-01-02 18:00:00,279.81
2023-01-02 19:00:00,243.03
2023-01-02 20:00:00,206.48
2023-01-02 21:00:00,173.08
2023-01-02 22:00:00,191.81
2023-01-02 23:00:00,156.83
2023-01-03 00:00:00,213.52
2023-01-03 01:00:00,189.78
2023-01-03 02:00:00,181.72
2023-01-03 03:00:00,135.83
2023-01-03 04:00:00,114.71
2023-01-03 05:00:00,119.93
2023-01-03 06:00:00,139.58
2023-01-03 07:00:00,178.77
2023-01-03 08:00:00,161.28
2023-01-03 09:00:00,175.81
2023-01-03 10:00:00,179.79
2023-01-03 11:00:00,182.85
2023-01-03 12:00:00,177.18
2023-01-03 13:00:00,185.58
2023-01-03 14:00:00,179.33
2023-01-03 15:00:00,178.77
2023-01-03 16:00:00,164.91
2023-01-03 17:00:00,190.46
2023-01-03 18:00:00,193.19
2023-01-03 19:00:00,178.31
2023-01-03 20:00:00,190.81
2023-01-03 21:00:00,165.59
2023-01-03 22:00:00,138.67
2023-01-03 23:00:00,100.06
2023-01-04 00:00:00,64.38
2023-01-04 01:00:00,44.62
2023-01-04 02:00:00,23.84
2023-01-04 03:00:00,10.9
2023-01-04 04:00:00,6.36
2023-01-04 05:00:00,6.13
2023-01-04 06:00:00,35.76
2023-01-04 07:00:00,93.67
2023-01-04 08:00:00,133.98
2023-01-04 09:00:00,149.87
2023-01-04 10:00:00,165.77
2023-01-04 11:00:00,167.81
2023-01-04 12:00:00,154.53
2023-01-04 13:00:00,156.34
2023-01-04 14:00:00,152.6
2023-01-04 15:00:00,152.48
2023-01-04 16:00:00,147.03
2023-01-04 17:00:00,176.44
2023-01-04 18:00:00,194.6
2023-01-04 19:00:00,188.13
2023-01-04 20:00:00,191.88
2023-01-04 21:00:00,158.95
2023-01-04 22:00:00,130.57
2023-01-04 23:00:00,99.91
2023-01-05 00:00:00,81.54
2023-01-05 01:00:00,78.82
2023-01-05 02:00:00,67.95
2023-01-05 03:00:00,58.89
2023-01-05 04:00:00,67.95
2023-01-05 05:00:00,88.33
2023-01-05 06:00:00,119.02
2023-01-05 07:00:00,170.55
2023-01-05 08:00:00,167.6
2023-01-05 09:00:00,186.86
2023-01-05 10:00:00,190.25
2023-01-05 11:00:00,190.25
2023-01-05 12:00:00,181.87
2023-01-05 13:00:00,172.36
2023-01-05 14:00:00,172.36
2023-01-05 15:00:00,163.07
2023-01-05 16:00:00,147.22
2023-01-05 17:00:00,175.87
2023-01-05 18:00:00,176.66
2023-01-05 19:00:00,167.6
2023-01-05 20:00:00,161.83
2023-01-05 21:00:00,152.88
2023-01-05 22:00:00,142.01
2023-01-05 23:00:00,104.19
2023-01-06 00:00:00,90.42
2023-01-06 01:00:00,81.49
2023-01-06 02:00:00,73.35
2023-01-06 03:00:00,57.64
2023-01-06 04:00:00,51.88
2023-01-06 05:00:00,55.83
2023-01-06 06:00:00,77.99
2023-01-06 07:00:00,123.2
2023-01-06 08:00:00,140.94
2023-01-06 09:00:00,142.41
2023-01-06 10:00:00,149.19
2023-01-06 11:00:00,144.67
2023-01-06 12:00:00,140.49
2023-01-06 13:00:00,145.8
2023-01-06 14:00:00,138.8
2023-01-06 15:00:00,142.3
2023-01-06 16:00:00,144.67
2023-01-06 17:00:00,174.06
2023-01-06 18:00:00,186.49
2023-01-06 19:00:00,163.32
2023-01-06 20:00:00,154.28
2023-01-06 21:00:00,147.61
2023-01-06 22:00:00,140.15
2023-01-06 23:00:00,115.74
2023-01-07 00:00:00,100.71
2023-01-07 01:00:00,97.2
2023-01-07 02:00:00,88.16
2023-01-07 03:00:00,73.24
2023-01-07 04:00:00,58.89
2023-01-07 05:00:00,54.25
2023-01-07 06:00:00,64.65
2023-01-07 07:00:00,86.92
2023-01-07 08:00:00,79.68
2023-01-07 09:00:00,128.28
2023-01-07 10:00:00,151.46
2023-01-07 11:00:00,169.54
2023-01-07 12:00:00,155.07
2023-01-07 13:00:00,154.39
2023-01-07 14:00:00,144.67
2023-01-07 15:00:00,110.99
2023-01-07 16:00:00,107.15
2023-01-07 17:00:00,141.96
2023-01-07 18:00:00,153.83
2023-01-07 19:00:00,142.41
2023-01-07 20:00:00,117.89
2023-01-07 21:00:00,90.42
2023-01-07 22:00:00,69.74
2023-01-07 23:00:00,53.12
2023-01-08 00:00:00,24.98
2023-01-08 01:00:00,20.46
2023-01-08 02:00:00,15.82
2023-01-08 03:00:00,7.35
2023-01-08 04:00:00,1.47
2023-01-08 05:00:00,0.0
2023-01-08 06:00:00,3.28
2023-01-08 07:00:00,17.07
2023-01-08 08:00:00,15.82
2023-01-08 09:00:00,47.92
2023-01-08 10:00:00,72.45
2023-01-08 11:00:00,111.9
2023-01-08 12:00:00,136.76
2023-01-08 13:00:00,135.41
2023-01-08 14:00:00,149.76
2023-01-08 15:00:00,153.72
2023-01-08 16:00:00,150.32
2023-01-08 17:00:00,194.74
2023-01-08 18:00:00,208.53
2023-01-08 19:00:00,191.58
2023-01-08 20:00:00,173.38
2023-01-08 21:00:00,154.51
2023-01-08 22:00:00,153.49
2023-01-08 23:00:00,95.17
2023-01-09 00:00:00,96.2
2023-01-09 01:00:00,88.02
2023-01-09 02:00:00,88.36
2023-01-09 03:00:00,79.5
2023-01-09 04:00:00,67.58
2023-01-09 05:00:00,70.42
2023-01-09 06:00:00,102.9
2023-01-09 07:00:00,140.83
2023-01-09 08:00:00,159.91
2023-01-09 09:00:00,186.26
2023-01-09 10:00:00,181.72
2023-01-09 11:00:00,162.41
2023-01-09 12:00:00,154.46
2023-01-09 13:00:00,153.55
2023-01-09 14:00:00,154.01
2023-01-09 15:00:00,154.46
2023-01-09 16:00:00,154.46
2023-01-09 17:00:00,182.85
2023-01-09 18:00:00,204.89
2023-01-09 19:00:00,196.48
2023-01-09 20:00:00,182.85
2023-01-09 21:00:00,167.98
2023-01-09 22:00:00,156.51
2023-01-09 23:00:00,120.84
2023-01-10 00:00:00,104.15
2023-01-10 01:00:00,99.06
2023-01-10 02:00:00,97.14
2023-01-10 03:00:00,91.25
2023-01-10 04:00:00,91.7
2023-01-10 05:00:00,106.42
2023-01-10 06:00:00,138.23
2023-01-10 07:00:00,166.42
2023-01-10 08:00:00,195.86
2023-01-10 09:00:00,191.67
2023-01-10 10:00:00,174.69
2023-01-10 11:00:00,169.59
2023-01-10 12:00:00,161.55
2023-01-10 13:00:00,156.23
2023-01-10 14:00:00,157.36
2023-01-10 15:00:00,157.48
2023-01-10 16:00:00,152.72
2023-01-10 17:00:00,168.4
2023-01-10 18:00:00,180.8
2023-01-10 19:00:00,172.99
2023-01-10 20:00:00,154.42
2023-01-10 21:00:00,135.4
2023-01-10 22:00:00,110.72
2023-01-10 23:00:00,74.04
2023-01-11 00:00:00,34.06
2023-01-11 01:00:00,26.73
2023-01-11 02:00:00,25.37
2023-01-11 03:00:00,18.38
2023-01-11 04:00:00,14.1
2023-01-11 05:00:00,21.77
2023-01-11 06:00:00,62.7
2023-01-11 07:00:00,94.73
2023-01-11 08:00:00,156.08
2023-01-11 09:00:00,163.3
2023-01-11 10:00:00,161.27
2023-01-11 11:00:00,154.16
2023-01-11 12:00:00,152.41
2023-01-11 13:00:00,153.37
2023-01-11 14:00:00,159.01
2023-01-11 15:00:00,160.59
2023-01-11 16:00:00,156.53
2023-01-11 17:00:00,184.61
2023-01-11 18:00:00,190.7
2023-01-11 19:00:00,187.54
2023-01-11 20:00:00,165.89
2023-01-11 21:00:00,149.99
2023-01-11 22:00:00,123.94
2023-01-11 23:00:00,83.45
2023-01-12 00:00:00,56.26
2023-01-12 01:00:00,49.84
2023-01-12 02:00:00,49.95
2023-01-12 03:00:00,45.1
2023-01-12 04:00:00,37.1
2023-01-12 05:00:00,42.85
2023-01-12 06:00:00,77.46
2023-01-12 07:00:00,128.54
2023-01-12 08:00:00,169.13
2023-01-12 09:00:00,169.13
2023-01-12 10:00:00,174.65
2023-01-12 11:00:00,162.48
2023-01-12 12:00:00,162.48
2023-01-12 13:00:00,161.24
2023-01-12 14:00:00,157.85
2023-01-12 15:00:00,153.91
2023-01-12 16:00:00,143.08
2023-01-12 17:00:00,164.28
2023-01-12 18:00:00,179.28
2023-01-12 19:00:00,178.71
2023-01-12 20:00:00,153.17
2023-01-12 21:00:00,149.96
2023-01-12 22:00:00,105.99
2023-01-12 23:00:00,53.9
2023-01-13 00:00:00,17.34
2023-01-13 01:00:00,13.51
2023-01-13 02:00:00,11.04
2023-01-13 03:00:00,0.68
2023-01-13 04:00:00,0.0
2023-01-13 05:00:00,10.7
2023-01-13 06:00:00,50.34
2023-01-13 07:00:00,89.86
2023-01-13 08:00:00,141.22
2023-01-13 09:00:00,151.35
2023-01-13 10:00:00,156.19
2023-01-13 11:00:00,147.86
2023-01-13 12:00:00,144.82
2023-01-13 13:00:00,143.02
2023-01-13 14:00:00,144.37
2023-01-13 15:00:00,141.55
2023-01-13 16:00:00,144.59
2023-01-13 17:00:00,171.17
2023-01-13 18:00:00,184.68
2023-01-13 19:00:00,184.63
2023-01-13 20:00:00,171.17
2023-01-13 21:00:00,162.73
2023-01-13 22:00:00,156.98
2023-01-13 23:00:00,121.62
2023-01-14 00:00:00,82.21
2023-01-14 01:00:00,58.78
2023-01-14 02:00:00,50.34
2023-01-14 03:00:00,44.03
2023-01-14 04:00:00,33.67
2023-01-14 05:00:00,29.05
2023-01-14 06:00:00,39.41
2023-01-14 07:00:00,49.32
2023-01-14 08:00:00,67.34
2023-01-14 09:00:00,107.32
2023-01-14 10:00:00,133.9
2023-01-14 11:00:00,146.85
2023-01-14 12:00:00,135.47
2023-01-14 13:00:00,138.51
2023-01-14 14:00:00,128.49
2023-01-14 15:00:00,124.77
2023-01-14 16:00:00,121.4
2023-01-14 17:00:00,164.64
2023-01-14 18:00:00,190.32
2023-01-14 19:00:00,186.49
2023-01-14 20:00:00,155.41
2023-01-14 21:00:00,78.94
2023-01-14 22:00:00,54.05
2023-01-14 23:00:00,33.33
2023-01-15 00:00:00,26.13
2023-01-15 01:00:00,19.93
2023-01-15 02:00:00,9.12
2023-01-15 03:00:00,3.72
2023-01-15 04:00:00,1.46
2023-01-15 05:00:00,0.0
2023-01-15 06:00:00,0.0
2023-01-15 07:00:00,9.01
2023-01-15 08:00:00,49.55
2023-01-15 09:00:00,100.0
2023-01-15 10:00:00,140.77
2023-01-15 11:00:00,159.46
2023-01-15 12:00:00,154.39
2023-01-15 13:00:00,164.41
2023-01-15 14:00:00,174.1
2023-01-15 15:00:00,189.64
2023-01-15 16:00:00,157.09
2023-01-15 17:00:00,200.45
2023-01-15 18:00:00,254.84
2023-01-15 19:00:00,222.64
2023-01-15 20:00:00,202.48
2023-01-15 21:00:00,181.53
2023-01-15 22:00:00,174.94
2023-01-15 23:00:00,153.15
2023-01-16 00:00:00,169.0
2023-01-16 01:00:00,169.0
2023-01-16 02:00:00,165.9
2023-01-16 03:00:00,154.69
2023-01-16 04:00:00,138.13
2023-01-16 05:00:00,135.2
2023-01-16 06:00:00,150.97
2023-01-16 07:00:00,191.53
2023-01-16 08:00:00,191.53
2023-01-16 09:00:00,193.67
2023-01-16 10:00:00,192.55
2023-01-16 11:00:00,181.5
2023-01-16 12:00:00,168.32
2023-01-16 13:00:00,161.11
2023-01-16 14:00:00,156.04
2023-01-16 15:00:00,159.87
2023-01-16 16:00:00,168.1
2023-01-16 17:00:00,203.93
2023-01-16 18:00:00,237.61
2023-01-16 19:00:00,243.36
2023-01-16 20:00:00,229.5
2023-01-16 21:00:00,182.41
2023-01-16 22:00:00,158.58
2023-01-16 23:00:00,141.96
2023-01-17 00:00:00,154.52
2023-01-17 01:00:00,155.43
2023-01-17 02:00:00,155.99
2023-01-17 03:00:00,147.86
2023-01-17 04:00:00,144.48
2023-01-17 05:00:00,147.07
2023-01-17 06:00:00,168.07
2023-01-17 07:00:00,190.76
2023-01-17 08:00:00,209.94
2023-01-17 09:00:00,221.23
2023-01-17 10:00:00,217.85
2023-01-17 11:00:00,198.26
2023-01-17 12:00:00,186.41
2023-01-17 13:00:00,181.61
2023-01-17 14:00:00,181.73
2023-01-17 15:00:00,183.19
2023-01-17 16:00:00,189.63
2023-01-17 17:00:00,213.22
2023-01-17 18:00:00,226.88
2023-01-17 19:00:00,210.06
2023-01-17 20:00:00,192.34
2023-01-17 21:00:00,171.06
2023-01-17 22:00:00,166.38
2023-01-17 23:00:00,148.54
2023-01-18 00:00:00,143.95
2023-01-18 01:00:00,141.67
2023-01-18 02:00:00,141.09
2023-01-18 03:00:00,129.69
2023-01-18 04:00:00,123.96
2023-01-18 05:00:00,138.81
2023-01-18 06:00:00,151.93
2023-01-18 07:00:00,171.37
2023-01-18 08:00:00,182.22
2023-01-18 09:00:00,194.22
2023-01-18 10:00:00,179.37
2023-01-18 11:00:00,167.37
2023-01-18 12:00:00,154.0
2023-01-18 13:00:00,148.7
2023-01-18 14:00:00,150.01
2023-01-18 15:00:00,150.81
2023-01-18 16:00:00,158.8
2023-01-18 17:00:00,176.4
2023-01-18 18:00:00,187.48
2023-01-18 19:00:00,182.39
2023-01-18 20:00:00,169.66
2023-01-18 21:00:00,154.23
