Datetime (UTC),Datetime (Local),Price (USD/MWh)
2023-01-01 00:00:00+00:00,2023-01-01 01:00:00+01:00,6.4442872
2023-01-01 01:00:00+00:00,2023-01-01 02:00:00+01:00,-0.40950319999999996
2023-01-01 02:00:00+00:00,2023-01-01 03:00:00+01:00,-1.427873
2023-01-01 03:00:00+00:00,2023-01-01 04:00:00+01:00,-2.3761962
2023-01-01 04:00:00+00:00,2023-01-01 05:00:00+01:00,-2.3061495999999995
2023-01-01 05:00:00+00:00,2023-01-01 06:00:00+01:00,-2.8072521999999998
2023-01-01 06:00:00+00:00,2023-01-01 07:00:00+01:00,-1.8050469999999996
2023-01-01 07:00:00+00:00,2023-01-01 08:00:00+01:00,-0.11854039999999977
2023-01-01 08:00:00+00:00,2023-01-01 09:00:00+01:00,0.037717400000000206
2023-01-01 09:00:00+00:00,2023-01-01 10:00:00+01:00,0.5495964000000002
2023-01-01 10:00:00+00:00,2023-01-01 11:00:00+01:00,1.0075934000000002
2023-01-01 11:00:00+00:00,2023-01-01 12:00:00+01:00,1.3362736000000002
2023-01-01 12:00:00+00:00,2023-01-01 13:00:00+01:00,1.5464134
2023-01-01 13:00:00+00:00,2023-01-01 14:00:00+01:00,3.9387742
2023-01-01 14:00:00+00:00,2023-01-01 15:00:00+01:00,15.9652366
2023-01-01 15:00:00+00:00,2023-01-01 16:00:00+01:00,32.53933979999999
2023-01-01 16:00:00+00:00,2023-01-01 17:00:00+01:00,44.4903674
2023-01-01 17:00:00+00:00,2023-01-01 18:00:00+01:00,53.203086799999994
2023-01-01 18:00:00+00:00,2023-01-01 19:00:00+01:00,58.0093612
2023-01-01 19:00:00+00:00,2023-01-01 20:00:00+01:00,56.037279999999996
2023-01-01 20:00:00+00:00,2023-01-01 21:00:00+01:00,50.212635799999994
2023-01-01 21:00:00+00:00,2023-01-01 22:00:00+01:00,48.547681999999995
2023-01-01 22:00:00+00:00,2023-01-01 23:00:00+01:00,43.622867199999995
2023-01-01 23:00:00+00:00,2023-01-02 00:00:00+01:00,63.07426919999999
2023-01-02 00:00:00+00:00,2023-01-02 01:00:00+01:00,83.56559379999999
2023-01-02 01:00:00+00:00,2023-01-02 02:00:00+01:00,67.8697672
2023-01-02 02:00:00+00:00,2023-01-02 03:00:00+01:00,53.370121
2023-01-02 03:00:00+00:00,2023-01-02 04:00:00+01:00,51.83448399999999
