Datetime (UTC),Datetime (Local),Price (USD/MWh)
2023-01-01 00:00:00+00:00,2023-01-01 11:00:00+11:00,24.944583333333334
2023-01-01 01:00:00+00:00,2023-01-01 12:00:00+11:00,39.74583333333334
2023-01-01 02:00:00+00:00,2023-01-01 13:00:00+11:00,40.69
2023-01-01 03:00:00+00:00,2023-01-01 14:00:00+11:00,55.77916666666667
2023-01-01 04:00:00+00:00,2023-01-01 15:00:00+11:00,71.06583333333333
2023-01-01 05:00:00+00:00,2023-01-01 16:00:00+11:00,76.32333333333332
2023-01-01 06:00:00+00:00,2023-01-01 17:00:00+11:00,90.90833333333333
2023-01-01 07:00:00+00:00,2023-01-01 18:00:00+11:00,132.1925
2023-01-01 08:00:00+00:00,2023-01-01 19:00:00+11:00,161.91291666666666
2023-01-01 09:00:00+00:00,2023-01-01 20:00:00+11:00,135.66791666666666
2023-01-01 10:00:00+00:00,2023-01-01 21:00:00+11:00,101.54208333333332
2023-01-01 11:00:00+00:00,2023-01-01 22:00:00+11:00,98.88208333333333
2023-01-01 12:00:00+00:00,2023-01-01 23:00:00+11:00,105.06458333333333
2023-01-01 13:00:00+00:00,2023-01-02 00:00:00+11:00,97.91791666666667
2023-01-01 14:00:00+00:00,2023-01-02 01:00:00+11:00,87.74666666666667
2023-01-01 15:00:00+00:00,2023-01-02 02:00:00+11:00,81.92583333333334
2023-01-01 16:00:00+00:00,2023-01-02 03:00:00+11:00,80.7
2023-01-01 17:00:00+00:00,2023-01-02 04:00:00+11:00,89.16583333333332
2023-01-01 18:00:00+00:00,2023-01-02 05:00:00+11:00,93.78083333333333
2023-01-01 19:00:00+00:00,2023-01-02 06:00:00+11:00,67.3175
2023-01-01 20:00:00+00:00,2023-01-02 07:00:00+11:00,34.32791666666667
2023-01-01 21:00:00+00:00,2023-01-02 08:00:00+11:00,26.062083333333334
2023-01-01 22:00:00+00:00,2023-01-02 09:00:00+11:00,24.10458333333333
2023-01-01 23:00:00+00:00,2023-01-02 10:00:00+11:00,43.00958333333333
2023-01-02 00:00:00+00:00,2023-01-02 11:00:00+11:00,39.08791666666667
2023-01-02 01:00:00+00:00,2023-01-02 12:00:00+11:00,27.638333333333335
2023-01-02 02:00:00+00:00,2023-01-02 13:00:00+11:00,69.56458333333333
2023-01-02 03:00:00+00:00,2023-01-02 14:00:00+11:00,95.86416666666668
2023-01-02 04:00:00+00:00,2023-01-02 15:00:00+11:00,94.05625000000002
2023-01-02 05:00:00+00:00,2023-01-02 16:00:00+11:00,92.78458333333336
2023-01-02 06:00:00+00:00,2023-01-02 17:00:00+11:00,104.6875
2023-01-02 07:00:00+00:00,2023-01-02 18:00:00+11:00,132.3154166666667
2023-01-02 08:00:00+00:00,2023-01-02 19:00:00+11:00,151.1341666666667
2023-01-02 09:00:00+00:00,2023-01-02 20:00:00+11:00,152.81458333333336
2023-01-02 10:00:00+00:00,2023-01-02 21:00:00+11:00,136.10958333333335
2023-01-02 11:00:00+00:00,2023-01-02 22:00:00+11:00,125.02375
2023-01-02 12:00:00+00:00,2023-01-02 23:00:00+11:00,119.92833333333334
2023-01-02 13:00:00+00:00,2023-01-03 00:00:00+11:00,108.02916666666667
2023-01-02 14:00:00+00:00,2023-01-03 01:00:00+11:00,102.94583333333334
2023-01-02 15:00:00+00:00,2023-01-03 02:00:00+11:00,94.03083333333333
2023-01-02 16:00:00+00:00,2023-01-03 03:00:00+11:00,90.44125
2023-01-02 17:00:00+00:00,2023-01-03 04:00:00+11:00,100.525
