Datetime (UTC),Datetime (Local),Price (USD/MWh)
2023-01-01 00:00:00+00:00,2023-01-01 11:00:00+11:00,-30.619999999999997
2023-01-01 01:00:00+00:00,2023-01-01 12:00:00+11:00,13.400833333333331
2023-01-01 02:00:00+00:00,2023-01-01 13:00:00+11:00,41.603333333333325
2023-01-01 03:00:00+00:00,2023-01-01 14:00:00+11:00,60.02333333333334
2023-01-01 04:00:00+00:00,2023-01-01 15:00:00+11:00,75.0275
2023-01-01 05:00:00+00:00,2023-01-01 16:00:00+11:00,79.15208333333334
2023-01-01 06:00:00+00:00,2023-01-01 17:00:00+11:00,90.93958333333333
2023-01-01 07:00:00+00:00,2023-01-01 18:00:00+11:00,129.34708333333333
2023-01-01 08:00:00+00:00,2023-01-01 19:00:00+11:00,154.94208333333333
2023-01-01 09:00:00+00:00,2023-01-01 20:00:00+11:00,117.57041666666666
2023-01-01 10:00:00+00:00,2023-01-01 21:00:00+11:00,86.67624999999998
2023-01-01 11:00:00+00:00,2023-01-01 22:00:00+11:00,95.64083333333332
2023-01-01 12:00:00+00:00,2023-01-01 23:00:00+11:00,105.37083333333332
2023-01-01 13:00:00+00:00,2023-01-02 00:00:00+11:00,98.32999999999998
2023-01-01 14:00:00+00:00,2023-01-02 01:00:00+11:00,81.21791666666665
2023-01-01 15:00:00+00:00,2023-01-02 02:00:00+11:00,53.53708333333332
2023-01-01 16:00:00+00:00,2023-01-02 03:00:00+11:00,34.494583333333324
2023-01-01 17:00:00+00:00,2023-01-02 04:00:00+11:00,34.288749999999986
2023-01-01 18:00:00+00:00,2023-01-02 05:00:00+11:00,49.307083333333324
2023-01-01 19:00:00+00:00,2023-01-02 06:00:00+11:00,52.109999999999985
2023-01-01 20:00:00+00:00,2023-01-02 07:00:00+11:00,31.79791666666665
2023-01-01 21:00:00+00:00,2023-01-02 08:00:00+11:00,25.353749999999987
2023-01-01 22:00:00+00:00,2023-01-02 09:00:00+11:00,23.294999999999987
2023-01-01 23:00:00+00:00,2023-01-02 10:00:00+11:00,5.314583333333318
2023-01-02 00:00:00+00:00,2023-01-02 11:00:00+11:00,0.9887499999999871
2023-01-02 01:00:00+00:00,2023-01-02 12:00:00+11:00,12.16083333333332
2023-01-02 02:00:00+00:00,2023-01-02 13:00:00+11:00,16.457499999999985
2023-01-02 03:00:00+00:00,2023-01-02 14:00:00+11:00,12.897499999999985
2023-01-02 04:00:00+00:00,2023-01-02 15:00:00+11:00,8.257499999999984
2023-01-02 05:00:00+00:00,2023-01-02 16:00:00+11:00,14.934999999999985
2023-01-02 06:00:00+00:00,2023-01-02 17:00:00+11:00,26.982083333333318
2023-01-02 07:00:00+00:00,2023-01-02 18:00:00+11:00,48.98458333333332
2023-01-02 08:00:00+00:00,2023-01-02 19:00:00+11:00,77.99541666666664
2023-01-02 09:00:00+00:00,2023-01-02 20:00:00+11:00,96.2270833333333
2023-01-02 10:00:00+00:00,2023-01-02 21:00:00+11:00,99.42416666666665
2023-01-02 11:00:00+00:00,2023-01-02 22:00:00+11:00,102.92166666666665
2023-01-02 12:00:00+00:00,2023-01-02 23:00:00+11:00,101.74041666666666
2023-01-02 13:00:00+00:00,2023-01-03 00:00:00+11:00,94.50041666666665
2023-01-02 14:00:00+00:00,2023-01-03 01:00:00+11:00,90.48749999999998
2023-01-02 15:00:00+00:00,2023-01-03 02:00:00+11:00,83.14791666666667
2023-01-02 16:00:00+00:00,2023-01-03 03:00:00+11:00,79.305
2023-01-02 17:00:00+00:00,2023-01-03 04:00:00+11:00,86.80000000000001
2023-01-02 18:00:00+00:00,2023-01-03 05:00:00+11:00,91.41125
2023-01-02 19:00:00+00:00,2023-01-03 06:00:00+11:00,71.59916666666666
2023-01-02 20:00:00+00:00,2023-01-03 07:00:00+11:00,38.13708333333333
2023-01-02 21:00:00+00:00,2023-01-03 08:00:00+11:00,10.053749999999994
2023-01-02 22:00:00+00:00,2023-01-03 09:00:00+11:00,-18.545416666666675
2023-01-02 23:00:00+00:00,2023-01-03 10:00:00+11:00,-37.64625000000001
2023-01-03 00:00:00+00:00,2023-01-03 11:00:00+11:00,-37.627083333333346
2023-01-03 01:00:00+00:00,2023-01-03 12:00:00+11:00,-31.037916666666675
2023-01-03 02:00:00+00:00,2023-01-03 13:00:00+11:00,-33.417916666666684
2023-01-03 03:00:00+00:00,2023-01-03 14:00:00+11:00,-36.75791666666668
2023-01-03 04:00:00+00:00,2023-01-03 15:00:00+11:00,-35.26916666666668
2023-01-03 05:00:00+00:00,2023-01-03 16:00:00+11:00,-39.366666666666674
2023-01-03 06:00:00+00:00,2023-01-03 17:00:00+11:00,-40.52083333333334
2023-01-03 07:00:00+00:00,2023-01-03 18:00:00+11:00,-19.507083333333345
2023-01-03 08:00:00+00:00,2023-01-03 19:00:00+11:00,7.31499999999999
2023-01-03 09:00:00+00:00,2023-01-03 20:00:00+11:00,16.086666666666655
2023-01-03 10:00:00+00:00,2023-01-03 21:00:00+11:00,12.527916666666655
2023-01-03 11:00:00+00:00,2023-01-03 22:00:00+11:00,11.735833333333323
2023-01-03 12:00:00+00:00,2023-01-03 23:00:00+11:00,20.185833333333324
2023-01-03 13:00:00+00:00,2023-01-04 00:00:00+11:00,29.939166666666658
2023-01-03 14:00:00+00:00,2023-01-04 01:00:00+11:00,15.98999999999999
2023-01-03 15:00:00+00:00,2023-01-04 02:00:00+11:00,-20.097083333333345
2023-01-03 16:00:00+00:00,2023-01-04 03:00:00+11:00,-37.904166666666676
2023-01-03 17:00:00+00:00,2023-01-04 04:00:00+11:00,-37.99958333333335
2023-01-03 18:00:00+00:00,2023-01-04 05:00:00+11:00,-25.549583333333345
2023-01-03 19:00:00+00:00,2023-01-04 06:00:00+11:00,-22.61625000000001
2023-01-03 20:00:00+00:00,2023-01-04 07:00:00+11:00,-33.61750000000001
2023-01-03 21:00:00+00:00,2023-01-04 08:00:00+11:00,-36.64875000000001
2023-01-03 22:00:00+00:00,2023-01-04 09:00:00+11:00,-42.41916666666668
2023-01-03 23:00:00+00:00,2023-01-04 10:00:00+11:00,-50.05833333333335
2023-01-04 00:00:00+00:00,2023-01-04 11:00:00+11:00,-54.26000000000002
2023-01-04 01:00:00+00:00,2023-01-04 12:00:00+11:00,-55.95083333333335
2023-01-04 02:00:00+00:00,2023-01-04 13:00:00+11:00,-56.99750000000002
2023-01-04 03:00:00+00:00,2023-01-04 14:00:00+11:00,-57.41750000000002
2023-01-04 04:00:00+00:00,2023-01-04 15:00:00+11:00,-56.417916666666684
2023-01-04 05:00:00+00:00,2023-01-04 16:00:00+11:00,-46.85791666666668
2023-01-04 06:00:00+00:00,2023-01-04 17:00:00+11:00,-38.28375000000001
2023-01-04 07:00:00+00:00,2023-01-04 18:00:00+11:00,-31.462083333333347
2023-01-04 08:00:00+00:00,2023-01-04 19:00:00+11:00,-7.988333333333345
2023-01-04 09:00:00+00:00,2023-01-04 20:00:00+11:00,10.23374999999999
2023-01-04 10:00:00+00:00,2023-01-04 21:00:00+11:00,10.04999999999999
2023-01-04 11:00:00+00:00,2023-01-04 22:00:00+11:00,8.76374999999999
2023-01-04 12:00:00+00:00,2023-01-04 23:00:00+11:00,9.283749999999989
2023-01-04 13:00:00+00:00,2023-01-05 00:00:00+11:00,8.712499999999988
2023-01-04 14:00:00+00:00,2023-01-05 01:00:00+11:00,8.358333333333324
2023-01-04 15:00:00+00:00,2023-01-05 02:00:00+11:00,8.679583333333323
2023-01-04 16:00:00+00:00,2023-01-05 03:00:00+11:00,8.689999999999989
2023-01-04 17:00:00+00:00,2023-01-05 04:00:00+11:00,8.929999999999989
2023-01-04 18:00:00+00:00,2023-01-05 05:00:00+11:00,8.93749999999999
2023-01-04 19:00:00+00:00,2023-01-05 06:00:00+11:00,7.856249999999989
2023-01-04 20:00:00+00:00,2023-01-05 07:00:00+11:00,-6.632916666666678
2023-01-04 21:00:00+00:00,2023-01-05 08:00:00+11:00,-26.68166666666668
2023-01-04 22:00:00+00:00,2023-01-05 09:00:00+11:00,-41.88791666666668
2023-01-04 23:00:00+00:00,2023-01-05 10:00:00+11:00,-51.934166666666684
2023-01-05 00:00:00+00:00,2023-01-05 11:00:00+11:00,-53.04333333333335
2023-01-05 01:00:00+00:00,2023-01-05 12:00:00+11:00,-53.210000000000015
2023-01-05 02:00:00+00:00,2023-01-05 13:00:00+11:00,-54.76083333333335
2023-01-05 03:00:00+00:00,2023-01-05 14:00:00+11:00,-54.60083333333334
2023-01-05 04:00:00+00:00,2023-01-05 15:00:00+11:00,-52.86958333333334
2023-01-05 05:00:00+00:00,2023-01-05 16:00:00+11:00,-45.299583333333345
2023-01-05 06:00:00+00:00,2023-01-05 17:00:00+11:00,-38.15291666666668
2023-01-05 07:00:00+00:00,2023-01-05 18:00:00+11:00,-30.36375000000001
2023-01-05 08:00:00+00:00,2023-01-05 19:00:00+11:00,-4.575833333333345
2023-01-05 09:00:00+00:00,2023-01-05 20:00:00+11:00,16.367916666666655
2023-01-05 10:00:00+00:00,2023-01-05 21:00:00+11:00,15.472916666666656
2023-01-05 11:00:00+00:00,2023-01-05 22:00:00+11:00,8.387499999999992
2023-01-05 12:00:00+00:00,2023-01-05 23:00:00+11:00,6.998333333333324
2023-01-05 13:00:00+00:00,2023-01-06 00:00:00+11:00,8.973749999999992
2023-01-05 14:00:00+00:00,2023-01-06 01:00:00+11:00,8.274583333333325
2023-01-05 15:00:00+00:00,2023-01-06 02:00:00+11:00,2.4349999999999916
2023-01-05 16:00:00+00:00,2023-01-06 03:00:00+11:00,-16.07333333333334
2023-01-05 17:00:00+00:00,2023-01-06 04:00:00+11:00,-19.312500000000007
2023-01-05 18:00:00+00:00,2023-01-06 05:00:00+11:00,-0.2300000000000093
2023-01-05 19:00:00+00:00,2023-01-06 06:00:00+11:00,-5.695833333333341
2023-01-05 20:00:00+00:00,2023-01-06 07:00:00+11:00,-36.32166666666667
2023-01-05 21:00:00+00:00,2023-01-06 08:00:00+11:00,-61.798333333333346
2023-01-05 22:00:00+00:00,2023-01-06 09:00:00+11:00,-78.70750000000001
2023-01-05 23:00:00+00:00,2023-01-06 10:00:00+11:00,-94.04625000000001
2023-01-06 00:00:00+00:00,2023-01-06 11:00:00+11:00,-104.85041666666666
2023-01-06 01:00:00+00:00,2023-01-06 12:00:00+11:00,-107.12583333333333
2023-01-06 02:00:00+00:00,2023-01-06 13:00:00+11:00,-88.23458333333333
2023-01-06 03:00:00+00:00,2023-01-06 14:00:00+11:00,-66.03291666666668
2023-01-06 04:00:00+00:00,2023-01-06 15:00:00+11:00,-59.124166666666675
2023-01-06 05:00:00+00:00,2023-01-06 16:00:00+11:00,-52.74
2023-01-06 06:00:00+00:00,2023-01-06 17:00:00+11:00,-39.785000000000004
2023-01-06 07:00:00+00:00,2023-01-06 18:00:00+11:00,-5.634583333333341
2023-01-06 08:00:00+00:00,2023-01-06 19:00:00+11:00,26.654166666666658
2023-01-06 09:00:00+00:00,2023-01-06 20:00:00+11:00,34.345833333333324
2023-01-06 10:00:00+00:00,2023-01-06 21:00:00+11:00,27.17708333333333
2023-01-06 11:00:00+00:00,2023-01-06 22:00:00+11:00,14.374583333333327
2023-01-06 12:00:00+00:00,2023-01-06 23:00:00+11:00,13.564166666666656
2023-01-06 13:00:00+00:00,2023-01-07 00:00:00+11:00,18.681666666666658
2023-01-06 14:00:00+00:00,2023-01-07 01:00:00+11:00,19.147499999999994
2023-01-06 15:00:00+00:00,2023-01-07 02:00:00+11:00,14.91416666666666
2023-01-06 16:00:00+00:00,2023-01-07 03:00:00+11:00,11.354999999999993
2023-01-06 17:00:00+00:00,2023-01-07 04:00:00+11:00,10.498333333333328
2023-01-06 18:00:00+00:00,2023-01-07 05:00:00+11:00,8.089583333333326
2023-01-06 19:00:00+00:00,2023-01-07 06:00:00+11:00,-17.13125000000001
2023-01-06 20:00:00+00:00,2023-01-07 07:00:00+11:00,-50.39375000000001
2023-01-06 21:00:00+00:00,2023-01-07 08:00:00+11:00,-65.52083333333334
2023-01-06 22:00:00+00:00,2023-01-07 09:00:00+11:00,-75.23041666666668
2023-01-06 23:00:00+00:00,2023-01-07 10:00:00+11:00,-72.85583333333335
2023-01-07 00:00:00+00:00,2023-01-07 11:00:00+11:00,-64.46416666666669
2023-01-07 01:00:00+00:00,2023-01-07 12:00:00+11:00,-56.972083333333345
2023-01-07 02:00:00+00:00,2023-01-07 13:00:00+11:00,-38.384583333333346
2023-01-07 03:00:00+00:00,2023-01-07 14:00:00+11:00,-1.3470833333333463
2023-01-07 04:00:00+00:00,2023-01-07 15:00:00+11:00,27.612083333333317
2023-01-07 05:00:00+00:00,2023-01-07 16:00:00+11:00,50.34124999999999
2023-01-07 06:00:00+00:00,2023-01-07 17:00:00+11:00,72.27874999999999
2023-01-07 07:00:00+00:00,2023-01-07 18:00:00+11:00,93.23374999999997
2023-01-07 08:00:00+00:00,2023-01-07 19:00:00+11:00,109.34624999999997
2023-01-07 09:00:00+00:00,2023-01-07 20:00:00+11:00,99.98874999999998
2023-01-07 10:00:00+00:00,2023-01-07 21:00:00+11:00,86.14166666666665
2023-01-07 11:00:00+00:00,2023-01-07 22:00:00+11:00,70.74374999999998
2023-01-07 12:00:00+00:00,2023-01-07 23:00:00+11:00,57.89374999999998
2023-01-07 13:00:00+00:00,2023-01-08 00:00:00+11:00,45.30249999999998
2023-01-07 14:00:00+00:00,2023-01-08 01:00:00+11:00,37.22916666666664
2023-01-07 15:00:00+00:00,2023-01-08 02:00:00+11:00,56.73041666666665
2023-01-07 16:00:00+00:00,2023-01-08 03:00:00+11:00,74.70624999999998
2023-01-07 17:00:00+00:00,2023-01-08 04:00:00+11:00,77.19749999999999
2023-01-07 18:00:00+00:00,2023-01-08 05:00:00+11:00,78.28291666666667
2023-01-07 19:00:00+00:00,2023-01-08 06:00:00+11:00,47.09749999999999
2023-01-07 20:00:00+00:00,2023-01-08 07:00:00+11:00,-16.96916666666668
2023-01-07 21:00:00+00:00,2023-01-08 08:00:00+11:00,-52.65083333333335
2023-01-07 22:00:00+00:00,2023-01-08 09:00:00+11:00,-54.53791666666669
2023-01-07 23:00:00+00:00,2023-01-08 10:00:00+11:00,-56.07125000000002
2023-01-08 00:00:00+00:00,2023-01-08 11:00:00+11:00,-56.14666666666668
2023-01-08 01:00:00+00:00,2023-01-08 12:00:00+11:00,-50.305833333333354
2023-01-08 02:00:00+00:00,2023-01-08 13:00:00+11:00,-32.67708333333335
2023-01-08 03:00:00+00:00,2023-01-08 14:00:00+11:00,5.342499999999985
2023-01-08 04:00:00+00:00,2023-01-08 15:00:00+11:00,30.753749999999986
2023-01-08 05:00:00+00:00,2023-01-08 16:00:00+11:00,45.29666666666665
2023-01-08 06:00:00+00:00,2023-01-08 17:00:00+11:00,73.52541666666664
2023-01-08 07:00:00+00:00,2023-01-08 18:00:00+11:00,136.1158333333333
2023-01-08 08:00:00+00:00,2023-01-08 19:00:00+11:00,186.1258333333333
2023-01-08 09:00:00+00:00,2023-01-08 20:00:00+11:00,136.42249999999996
2023-01-08 10:00:00+00:00,2023-01-08 21:00:00+11:00,86.42749999999998
2023-01-08 11:00:00+00:00,2023-01-08 22:00:00+11:00,95.49124999999998
2023-01-08 12:00:00+00:00,2023-01-08 23:00:00+11:00,99.09541666666664
2023-01-08 13:00:00+00:00,2023-01-09 00:00:00+11:00,98.65916666666664
2023-01-08 14:00:00+00:00,2023-01-09 01:00:00+11:00,96.5645833333333
2023-01-08 15:00:00+00:00,2023-01-09 02:00:00+11:00,97.32833333333332
2023-01-08 16:00:00+00:00,2023-01-09 03:00:00+11:00,110.07583333333329
2023-01-08 17:00:00+00:00,2023-01-09 04:00:00+11:00,115.48916666666662
2023-01-08 18:00:00+00:00,2023-01-09 05:00:00+11:00,116.38541666666663
2023-01-08 19:00:00+00:00,2023-01-09 06:00:00+11:00,99.9358333333333
2023-01-08 20:00:00+00:00,2023-01-09 07:00:00+11:00,73.78374999999997
2023-01-08 21:00:00+00:00,2023-01-09 08:00:00+11:00,44.87374999999997
2023-01-08 22:00:00+00:00,2023-01-09 09:00:00+11:00,14.860416666666637
2023-01-08 23:00:00+00:00,2023-01-09 10:00:00+11:00,1.5908333333333038
2023-01-09 00:00:00+00:00,2023-01-09 11:00:00+11:00,-16.709166666666697
2023-01-09 01:00:00+00:00,2023-01-09 12:00:00+11:00,-28.577083333333363
2023-01-09 02:00:00+00:00,2023-01-09 13:00:00+11:00,-16.894583333333365
2023-01-09 03:00:00+00:00,2023-01-09 14:00:00+11:00,1.4333333333333043
2023-01-09 04:00:00+00:00,2023-01-09 15:00:00+11:00,9.320416666666638
2023-01-09 05:00:00+00:00,2023-01-09 16:00:00+11:00,11.325416666666637
2023-01-09 06:00:00+00:00,2023-01-09 17:00:00+11:00,12.173749999999972
2023-01-09 07:00:00+00:00,2023-01-09 18:00:00+11:00,22.360833333333304
2023-01-09 08:00:00+00:00,2023-01-09 19:00:00+11:00,50.57458333333331
2023-01-09 09:00:00+00:00,2023-01-09 20:00:00+11:00,71.05208333333331
2023-01-09 10:00:00+00:00,2023-01-09 21:00:00+11:00,82.03749999999997
2023-01-09 11:00:00+00:00,2023-01-09 22:00:00+11:00,88.28499999999997
2023-01-09 12:00:00+00:00,2023-01-09 23:00:00+11:00,90.32499999999996
2023-01-09 13:00:00+00:00,2023-01-10 00:00:00+11:00,92.02874999999997
2023-01-09 14:00:00+00:00,2023-01-10 01:00:00+11:00,84.97166666666664
2023-01-09 15:00:00+00:00,2023-01-10 02:00:00+11:00,77.07124999999996
2023-01-09 16:00:00+00:00,2023-01-10 03:00:00+11:00,75.7208333333333
2023-01-09 17:00:00+00:00,2023-01-10 04:00:00+11:00,89.74374999999998
2023-01-09 18:00:00+00:00,2023-01-10 05:00:00+11:00,104.39916666666664
2023-01-09 19:00:00+00:00,2023-01-10 06:00:00+11:00,78.19916666666664
2023-01-09 20:00:00+00:00,2023-01-10 07:00:00+11:00,34.97541666666663
2023-01-09 21:00:00+00:00,2023-01-10 08:00:00+11:00,18.360833333333304
2023-01-09 22:00:00+00:00,2023-01-10 09:00:00+11:00,-0.9720833333333623
2023-01-09 23:00:00+00:00,2023-01-10 10:00:00+11:00,-27.043333333333365
2023-01-10 00:00:00+00:00,2023-01-10 11:00:00+11:00,-38.09250000000003
2023-01-10 01:00:00+00:00,2023-01-10 12:00:00+11:00,-47.420416666666696
2023-01-10 02:00:00+00:00,2023-01-10 13:00:00+11:00,-48.532500000000034
2023-01-10 03:00:00+00:00,2023-01-10 14:00:00+11:00,-39.264166666666696
2023-01-10 04:00:00+00:00,2023-01-10 15:00:00+11:00,-21.150416666666693
2023-01-10 05:00:00+00:00,2023-01-10 16:00:00+11:00,7.716666666666637
2023-01-10 06:00:00+00:00,2023-01-10 17:00:00+11:00,40.832916666666634
2023-01-10 07:00:00+00:00,2023-01-10 18:00:00+11:00,88.5208333333333
2023-01-10 08:00:00+00:00,2023-01-10 19:00:00+11:00,122.80333333333331
2023-01-10 09:00:00+00:00,2023-01-10 20:00:00+11:00,117.96124999999998
2023-01-10 10:00:00+00:00,2023-01-10 21:00:00+11:00,101.16666666666663
2023-01-10 11:00:00+00:00,2023-01-10 22:00:00+11:00,95.23666666666664
2023-01-10 12:00:00+00:00,2023-01-10 23:00:00+11:00,96.95124999999996
2023-01-10 13:00:00+00:00,2023-01-11 00:00:00+11:00,99.29499999999996
2023-01-10 14:00:00+00:00,2023-01-11 01:00:00+11:00,100.00916666666663
2023-01-10 15:00:00+00:00,2023-01-11 02:00:00+11:00,92.93166666666664
2023-01-10 16:00:00+00:00,2023-01-11 03:00:00+11:00,92.37291666666664
2023-01-10 17:00:00+00:00,2023-01-11 04:00:00+11:00,106.06416666666664
2023-01-10 18:00:00+00:00,2023-01-11 05:00:00+11:00,125.26749999999996
2023-01-10 19:00:00+00:00,2023-01-11 06:00:00+11:00,120.47166666666664
2023-01-10 20:00:00+00:00,2023-01-11 07:00:00+11:00,96.62291666666664
2023-01-10 21:00:00+00:00,2023-01-11 08:00:00+11:00,85.12249999999995
2023-01-10 22:00:00+00:00,2023-01-11 09:00:00+11:00,88.77958333333328
2023-01-10 23:00:00+00:00,2023-01-11 10:00:00+11:00,80.84291666666661
2023-01-11 00:00:00+00:00,2023-01-11 11:00:00+11:00,64.80749999999996
2023-01-11 01:00:00+00:00,2023-01-11 12:00:00+11:00,71.84374999999996
2023-01-11 02:00:00+00:00,2023-01-11 13:00:00+11:00,92.03499999999994
2023-01-11 03:00:00+00:00,2023-01-11 14:00:00+11:00,108.52624999999995
2023-01-11 04:00:00+00:00,2023-01-11 15:00:00+11:00,109.8533333333333
2023-01-11 05:00:00+00:00,2023-01-11 16:00:00+11:00,108.3945833333333
2023-01-11 06:00:00+00:00,2023-01-11 17:00:00+11:00,130.64541666666662
2023-01-11 07:00:00+00:00,2023-01-11 18:00:00+11:00,161.86833333333328
2023-01-11 08:00:00+00:00,2023-01-11 19:00:00+11:00,172.32124999999996
2023-01-11 09:00:00+00:00,2023-01-11 20:00:00+11:00,157.94291666666663
2023-01-11 10:00:00+00:00,2023-01-11 21:00:00+11:00,133.07791666666662
2023-01-11 11:00:00+00:00,2023-01-11 22:00:00+11:00,127.24958333333329
