Datetime (UTC),Datetime (Local),Price (USD/MWh)
2023-01-01 00:00:00+00:00,2023-01-01 01:00:00+01:00,-3.3083547999999996
2023-01-01 01:00:00+00:00,2023-01-01 02:00:00+01:00,-1.7296122
2023-01-01 02:00:00+00:00,2023-01-01 03:00:00+01:00,-3.6262586
2023-01-01 03:00:00+00:00,2023-01-01 04:00:00+01:00,-5.2157776
2023-01-01 04:00:00+00:00,2023-01-01 05:00:00+01:00,-5.2858242
2023-01-01 05:00:00+00:00,2023-01-01 06:00:00+01:00,-5.4366938000000005
2023-01-01 06:00:00+00:00,2023-01-01 07:00:00+01:00,-3.23292
2023-01-01 07:00:00+00:00,2023-01-01 08:00:00+01:00,-1.5518016000000001
2023-01-01 08:00:00+00:00,2023-01-01 09:00:00+01:00,-1.400932
2023-01-01 09:00:00+00:00,2023-01-01 10:00:00+01:00,-0.6789132
2023-01-01 10:00:00+00:00,2023-01-01 11:00:00+01:00,-0.5226554
2023-01-01 11:00:00+00:00,2023-01-01 12:00:00+01:00,-0.7058541999999999
2023-01-01 12:00:00+00:00,2023-01-01 13:00:00+01:00,-0.37178579999999994
2023-01-01 13:00:00+00:00,2023-01-01 14:00:00+01:00,0.3933385999999999
2023-01-01 14:00:00+00:00,2023-01-01 15:00:00+01:00,13.120267
2023-01-01 15:00:00+00:00,2023-01-01 16:00:00+01:00,32.350752799999995
2023-01-01 16:00:00+00:00,2023-01-01 17:00:00+01:00,44.4903674
2023-01-01 17:00:00+00:00,2023-01-01 18:00:00+01:00,44.5442494
2023-01-01 18:00:00+00:00,2023-01-01 19:00:00+01:00,49.350523800000005
2023-01-01 19:00:00+00:00,2023-01-01 20:00:00+01:00,54.3022796
2023-01-01 20:00:00+00:00,2023-01-01 21:00:00+01:00,44.398768
2023-01-01 21:00:00+00:00,2023-01-01 22:00:00+01:00,44.4688146
2023-01-01 22:00:00+00:00,2023-01-01 23:00:00+01:00,43.6228672
2023-01-01 23:00:00+00:00,2023-01-02 00:00:00+01:00,56.53299439999999
2023-01-02 00:00:00+00:00,2023-01-02 01:00:00+01:00,69.54010919999999
2023-01-02 01:00:00+00:00,2023-01-02 02:00:00+01:00,60.38555739999999
2023-01-02 02:00:00+00:00,2023-01-02 03:00:00+01:00,51.46808639999999
2023-01-02 03:00:00+00:00,2023-01-02 04:00:00+01:00,49.93244939999999
2023-01-02 04:00:00+00:00,2023-01-02 05:00:00+01:00,64.55063599999998
2023-01-02 05:00:00+00:00,2023-01-02 06:00:00+01:00,94.18573599999999
2023-01-02 06:00:00+00:00,2023-01-02 07:00:00+01:00,132.39885039999996
2023-01-02 07:00:00+00:00,2023-01-02 08:00:00+01:00,157.62101459999997
2023-01-02 08:00:00+00:00,2023-01-02 09:00:00+01:00,167.42753859999996
2023-01-02 09:00:00+00:00,2023-01-02 10:00:00+01:00,164.043749
2023-01-02 10:00:00+00:00,2023-01-02 11:00:00+01:00,155.6974272
2023-01-02 11:00:00+00:00,2023-01-02 12:00:00+01:00,155.03467859999998
2023-01-02 12:00:00+00:00,2023-01-02 13:00:00+01:00,155.25559479999998
2023-01-02 13:00:00+00:00,2023-01-02 14:00:00+01:00,157.31388719999995
2023-01-02 14:00:00+00:00,2023-01-02 15:00:00+01:00,163.55342279999996
2023-01-02 15:00:00+00:00,2023-01-02 16:00:00+01:00,171.68960479999998
2023-01-02 16:00:00+00:00,2023-01-02 17:00:00+01:00,182.71925019999998
2023-01-02 17:00:00+00:00,2023-01-02 18:00:00+01:00,188.88335099999998
2023-01-02 18:00:00+00:00,2023-01-02 19:00:00+01:00,183.83999579999997
2023-01-02 19:00:00+00:00,2023-01-02 20:00:00+01:00,172.12604899999997
2023-01-02 20:00:00+00:00,2023-01-02 21:00:00+01:00,158.77408939999998
2023-01-02 21:00:00+00:00,2023-01-02 22:00:00+01:00,149.02683559999997
2023-01-02 22:00:00+00:00,2023-01-02 23:00:00+01:00,139.62442659999996
2023-01-02 23:00:00+00:00,2023-01-03 00:00:00+01:00,136.9842086
2023-01-03 00:00:00+00:00,2023-01-03 01:00:00+01:00,134.71038819999998
2023-01-03 01:00:00+00:00,2023-01-03 02:00:00+01:00,128.6486632
2023-01-03 02:00:00+00:00,2023-01-03 03:00:00+01:00,125.95456319999998
2023-01-03 03:00:00+00:00,2023-01-03 04:00:00+01:00,123.19041659999996
2023-01-03 04:00:00+00:00,2023-01-03 05:00:00+01:00,123.87471799999997
2023-01-03 05:00:00+00:00,2023-01-03 06:00:00+01:00,137.50147579999998
2023-01-03 06:00:00+00:00,2023-01-03 07:00:00+01:00,161.0209688
2023-01-03 07:00:00+00:00,2023-01-03 08:00:00+01:00,177.3202738
2023-01-03 08:00:00+00:00,2023-01-03 09:00:00+01:00,183.387387
2023-01-03 09:00:00+00:00,2023-01-03 10:00:00+01:00,183.06409499999998
2023-01-03 10:00:00+00:00,2023-01-03 11:00:00+01:00,182.15348919999997
2023-01-03 11:00:00+00:00,2023-01-03 12:00:00+01:00,179.9604918
2023-01-03 12:00:00+00:00,2023-01-03 13:00:00+01:00,175.33741619999998
2023-01-03 13:00:00+00:00,2023-01-03 14:00:00+01:00,174.5615154
2023-01-03 14:00:00+00:00,2023-01-03 15:00:00+01:00,177.648954
2023-01-03 15:00:00+00:00,2023-01-03 16:00:00+01:00,179.57792959999998
2023-01-03 16:00:00+00:00,2023-01-03 17:00:00+01:00,181.90024379999997
2023-01-03 17:00:00+00:00,2023-01-03 18:00:00+01:00,183.15569439999996
2023-01-03 18:00:00+00:00,2023-01-03 19:00:00+01:00,177.78904719999997
2023-01-03 19:00:00+00:00,2023-01-03 20:00:00+01:00,167.3628802
2023-01-03 20:00:00+00:00,2023-01-03 21:00:00+01:00,151.2252212
2023-01-03 21:00:00+00:00,2023-01-03 22:00:00+01:00,132.40423859999999
2023-01-03 22:00:00+00:00,2023-01-03 23:00:00+01:00,112.31702899999999
2023-01-03 23:00:00+00:00,2023-01-04 00:00:00+01:00,93.71696259999999
2023-01-04 00:00:00+00:00,2023-01-04 01:00:00+01:00,80.54820179999999
2023-01-04 01:00:00+00:00,2023-01-04 02:00:00+01:00,58.677497999999986
2023-01-04 02:00:00+00:00,2023-01-04 03:00:00+01:00,22.738203999999996
2023-01-04 03:00:00+00:00,2023-01-04 04:00:00+01:00,1.8697054
2023-01-04 04:00:00+00:00,2023-01-04 05:00:00+01:00,6.395793399999999
