Datetime (UTC),Datetime (Local),Price (USD/MWh)
2024-01-01 00:00:00+00:00,2023-12-31 19:00:00-05:00,32.525101400000004
2024-01-01 01:00:00+00:00,2023-12-31 20:00:00-05:00,32.525101400000004
2024-01-01 02:00:00+00:00,2023-12-31 21:00:00-05:00,32.525101400000004
2024-01-01 03:00:00+00:00,2023-12-31 22:00:00-05:00,32.525101400000004
2024-01-01 04:00:00+00:00,2023-12-31 23:00:00-05:00,32.525101400000004
2024-01-01 05:00:00+00:00,2024-01-01 00:00:00-05:00,32.525101400000004
2024-01-01 06:00:00+00:00,2024-01-01 01:00:00-05:00,28.822060450000002
2024-01-01 07:00:00+00:00,2024-01-01 02:00:00-05:00,22.274299300000003
2024-01-01 08:00:00+00:00,2024-01-01 03:00:00-05:00,16.490268450000002
2024-01-01 09:00:00+00:00,2024-01-01 04:00:00-05:00,13.86275595
2024-01-01 10:00:00+00:00,2024-01-01 05:00:00-05:00,16.6268991
2024-01-01 11:00:00+00:00,2024-01-01 06:00:00-05:00,19.0722374
2024-01-01 12:00:00+00:00,2024-01-01 07:00:00-05:00,19.173834550000002
2024-01-01 13:00:00+00:00,2024-01-01 08:00:00-05:00,19.1773379
2024-01-01 14:00:00+00:00,2024-01-01 09:00:00-05:00,20.375483600000003
2024-01-01 15:00:00+00:00,2024-01-01 10:00:00-05:00,21.675226450000004
2024-01-01 16:00:00+00:00,2024-01-01 11:00:00-05:00,21.9519911
2024-01-01 17:00:00+00:00,2024-01-01 12:00:00-05:00,21.829373850000003
2024-01-01 18:00:00+00:00,2024-01-01 13:00:00-05:00,21.857400650000002
2024-01-01 19:00:00+00:00,2024-01-01 14:00:00-05:00,22.7857884
2024-01-01 20:00:00+00:00,2024-01-01 15:00:00-05:00,22.20072895
2024-01-01 21:00:00+00:00,2024-01-01 16:00:00-05:00,21.72077
2024-01-01 22:00:00+00:00,2024-01-01 17:00:00-05:00,23.080069800000004
2024-01-01 23:00:00+00:00,2024-01-01 18:00:00-05:00,23.878833600000004
2024-01-02 00:00:00+00:00,2024-01-01 19:00:00-05:00,23.223707150000003
2024-01-02 01:00:00+00:00,2024-01-01 20:00:00-05:00,22.3163395
2024-01-02 02:00:00+00:00,2024-01-01 21:00:00-05:00,21.944984400000003
2024-01-02 03:00:00+00:00,2024-01-01 22:00:00-05:00,21.66121305
2024-01-02 04:00:00+00:00,2024-01-01 23:00:00-05:00,20.571671200000004
2024-01-02 05:00:00+00:00,2024-01-02 00:00:00-05:00,19.334988650000003
2024-01-02 06:00:00+00:00,2024-01-02 01:00:00-05:00,19.051217300000005
2024-01-02 07:00:00+00:00,2024-01-02 02:00:00-05:00,16.851113500000004
