Datetime (UTC),Datetime (Local),Price (USD/MWh)
2021-01-01 00:00:00+00:00,2021-01-01 01:00:00+01:00,57.3735536
2021-01-01 01:00:00+00:00,2021-01-01 02:00:00+01:00,57.3735536
2021-01-01 02:00:00+00:00,2021-01-01 03:00:00+01:00,57.3735536
2021-01-01 03:00:00+00:00,2021-01-01 04:00:00+01:00,57.3735536
2021-01-01 04:00:00+00:00,2021-01-01 05:00:00+01:00,57.3735536
2021-01-01 05:00:00+00:00,2021-01-01 06:00:00+01:00,57.3735536
2021-01-01 06:00:00+00:00,2021-01-01 07:00:00+01:00,57.3735536
2021-01-01 07:00:00+00:00,2021-01-01 08:00:00+01:00,57.3735536
2021-01-01 08:00:00+00:00,2021-01-01 09:00:00+01:00,57.3735536
2021-01-01 09:00:00+00:00,2021-01-01 10:00:00+01:00,57.3735536
2021-01-01 10:00:00+00:00,2021-01-01 11:00:00+01:00,57.3735536
2021-01-01 11:00:00+00:00,2021-01-01 12:00:00+01:00,57.3735536
2021-01-01 12:00:00+00:00,2021-01-01 13:00:00+01:00,57.3735536
2021-01-01 13:00:00+00:00,2021-01-01 14:00:00+01:00,57.3735536
2021-01-01 14:00:00+00:00,2021-01-01 15:00:00+01:00,57.3735536
2021-01-01 15:00:00+00:00,2021-01-01 16:00:00+01:00,57.3735536
2021-01-01 16:00:00+00:00,2021-01-01 17:00:00+01:00,57.3735536
2021-01-01 17:00:00+00:00,2021-01-01 18:00:00+01:00,57.3735536
2021-01-01 18:00:00+00:00,2021-01-01 19:00:00+01:00,57.3735536
2021-01-01 19:00:00+00:00,2021-01-01 20:00:00+01:00,57.3735536
2021-01-01 20:00:00+00:00,2021-01-01 21:00:00+01:00,57.3735536
2021-01-01 21:00:00+00:00,2021-01-01 22:00:00+01:00,57.3735536
2021-01-01 22:00:00+00:00,2021-01-01 23:00:00+01:00,57.3735536
2021-01-01 23:00:00+00:00,2021-01-02 00:00:00+01:00,57.3735536
2021-01-02 00:00:00+00:00,2021-01-02 01:00:00+01:00,55.44457799999999
2021-01-02 01:00:00+00:00,2021-01-02 02:00:00+01:00,51.565073999999996
2021-01-02 02:00:00+00:00,2021-01-02 03:00:00+01:00,48.240554599999996
2021-01-02 03:00:00+00:00,2021-01-02 04:00:00+01:00,46.0852746
2021-01-02 04:00:00+00:00,2021-01-02 05:00:00+01:00,45.7404298
2021-01-02 05:00:00+00:00,2021-01-02 06:00:00+01:00,47.4754302
2021-01-02 06:00:00+00:00,2021-01-02 07:00:00+01:00,50.875384399999994
2021-01-02 07:00:00+00:00,2021-01-02 08:00:00+01:00,55.191332599999996
2021-01-02 08:00:00+00:00,2021-01-02 09:00:00+01:00,60.40172199999999
2021-01-02 09:00:00+00:00,2021-01-02 10:00:00+01:00,63.73162959999999
2021-01-02 10:00:00+00:00,2021-01-02 11:00:00+01:00,64.22734399999999
2021-01-02 11:00:00+00:00,2021-01-02 12:00:00+01:00,64.6260708
2021-01-02 12:00:00+00:00,2021-01-02 13:00:00+01:00,64.3243316
2021-01-02 13:00:00+00:00,2021-01-02 14:00:00+01:00,63.01499899999999
2021-01-02 14:00:00+00:00,2021-01-02 15:00:00+01:00,63.00422259999999
2021-01-02 15:00:00+00:00,2021-01-02 16:00:00+01:00,65.13256159999999
2021-01-02 16:00:00+00:00,2021-01-02 17:00:00+01:00,68.02063679999999
2021-01-02 17:00:00+00:00,2021-01-02 18:00:00+01:00,69.6802024
2021-01-02 18:00:00+00:00,2021-01-02 19:00:00+01:00,69.43773339999998
2021-01-02 19:00:00+00:00,2021-01-02 20:00:00+01:00,67.64885099999998
2021-01-02 20:00:00+00:00,2021-01-02 21:00:00+01:00,64.685341
2021-01-02 21:00:00+00:00,2021-01-02 22:00:00+01:00,62.75097719999999
2021-01-02 22:00:00+00:00,2021-01-02 23:00:00+01:00,61.37698619999999
2021-01-02 23:00:00+00:00,2021-01-03 00:00:00+01:00,56.56532359999999
2021-01-03 00:00:00+00:00,2021-01-03 01:00:00+01:00,49.0218436
2021-01-03 01:00:00+00:00,2021-01-03 02:00:00+01:00,44.09164059999999
