Datetime (UTC),Datetime (Local),Price (USD/MWh)
2023-01-01 00:00:00+00:00,2022-12-31 21:00:00-03:00,231.88863600000002
2023-01-01 01:00:00+00:00,2022-12-31 22:00:00-03:00,231.88863600000002
2023-01-01 02:00:00+00:00,2022-12-31 23:00:00-03:00,231.88863600000002
2023-01-01 03:00:00+00:00,2023-01-01 00:00:00-03:00,231.88863600000002
2023-01-01 04:00:00+00:00,2023-01-01 01:00:00-03:00,231.88863600000002
2023-01-01 05:00:00+00:00,2023-01-01 02:00:00-03:00,227.86596
2023-01-01 06:00:00+00:00,2023-01-01 03:00:00-03:00,211.781682
2023-01-01 07:00:00+00:00,2023-01-01 04:00:00-03:00,199.72008
2023-01-01 08:00:00+00:00,2023-01-01 05:00:00-03:00,196.41069
2023-01-01 09:00:00+00:00,2023-01-01 06:00:00-03:00,159.71823
2023-01-01 10:00:00+00:00,2023-01-01 07:00:00-03:00,74.73438
2023-01-01 11:00:00+00:00,2023-01-01 08:00:00-03:00,23.1336
2023-01-01 12:00:00+00:00,2023-01-01 09:00:00-03:00,23.1336
2023-01-01 13:00:00+00:00,2023-01-01 10:00:00-03:00,23.1336
2023-01-01 14:00:00+00:00,2023-01-01 11:00:00-03:00,23.1336
2023-01-01 15:00:00+00:00,2023-01-01 12:00:00-03:00,23.1336
2023-01-01 16:00:00+00:00,2023-01-01 13:00:00-03:00,23.1336
2023-01-01 17:00:00+00:00,2023-01-01 14:00:00-03:00,23.1336
2023-01-01 18:00:00+00:00,2023-01-01 15:00:00-03:00,23.1336
2023-01-01 19:00:00+00:00,2023-01-01 16:00:00-03:00,23.1336
2023-01-01 20:00:00+00:00,2023-01-01 17:00:00-03:00,23.1336
2023-01-01 21:00:00+00:00,2023-01-01 18:00:00-03:00,23.1336
2023-01-01 22:00:00+00:00,2023-01-01 19:00:00-03:00,23.1336
2023-01-01 23:00:00+00:00,2023-01-01 20:00:00-03:00,86.63533199999999
2023-01-02 00:00:00+00:00,2023-01-01 21:00:00-03:00,153.465732
2023-01-02 01:00:00+00:00,2023-01-01 22:00:00-03:00,166.16350799999998
2023-01-02 02:00:00+00:00,2023-01-01 23:00:00-03:00,175.532616
2023-01-02 03:00:00+00:00,2023-01-02 00:00:00-03:00,177.42185999999998
2023-01-02 04:00:00+00:00,2023-01-02 01:00:00-03:00,180.981864
2023-01-02 05:00:00+00:00,2023-01-02 02:00:00-03:00,183.20526
2023-01-02 06:00:00+00:00,2023-01-02 03:00:00-03:00,183.757896
2023-01-02 07:00:00+00:00,2023-01-02 04:00:00-03:00,183.757896
2023-01-02 08:00:00+00:00,2023-01-02 05:00:00-03:00,187.12511999999998
2023-01-02 09:00:00+00:00,2023-01-02 06:00:00-03:00,186.315444
2023-01-02 10:00:00+00:00,2023-01-02 07:00:00-03:00,137.02159799999998
