Datetime (UTC),Datetime (Local),Price (USD/MWh)
2023-01-01 00:00:00+00:00,2023-01-01 01:00:00+01:00,-3.3622368
2023-01-01 01:00:00+00:00,2023-01-01 02:00:00+01:00,-1.3686028
2023-01-01 02:00:00+00:00,2023-01-01 03:00:00+01:00,-3.5292709999999996
2023-01-01 03:00:00+00:00,2023-01-01 04:00:00+01:00,-5.1565074
2023-01-01 04:00:00+00:00,2023-01-01 05:00:00+01:00,-5.3289298
2023-01-01 05:00:00+00:00,2023-01-01 06:00:00+01:00,-5.6145043999999995
2023-01-01 06:00:00+00:00,2023-01-01 07:00:00+01:00,-3.4053423999999994
2023-01-01 07:00:00+00:00,2023-01-01 08:00:00+01:00,-1.4763668
2023-01-01 08:00:00+00:00,2023-01-01 09:00:00+01:00,-1.3632146
2023-01-01 09:00:00+00:00,2023-01-01 10:00:00+01:00,-1.1638511999999999
2023-01-01 10:00:00+00:00,2023-01-01 11:00:00+01:00,-1.1530748
2023-01-01 11:00:00+00:00,2023-01-01 12:00:00+01:00,-1.0022052
2023-01-01 12:00:00+00:00,2023-01-01 13:00:00+01:00,-0.5711492
2023-01-01 13:00:00+00:00,2023-01-01 14:00:00+01:00,0.31251559999999995
2023-01-01 14:00:00+00:00,2023-01-01 15:00:00+01:00,13.1364316
2023-01-01 15:00:00+00:00,2023-01-01 16:00:00+01:00,32.3669174
2023-01-01 16:00:00+00:00,2023-01-01 17:00:00+01:00,44.4903674
2023-01-01 17:00:00+00:00,2023-01-01 18:00:00+01:00,54.744111999999994
2023-01-01 18:00:00+00:00,2023-01-01 19:00:00+01:00,59.550386399999994
2023-01-01 19:00:00+00:00,2023-01-01 20:00:00+01:00,56.1342676
2023-01-01 20:00:00+00:00,2023-01-01 21:00:00+01:00,50.7676204
2023-01-01 21:00:00+00:00,2023-01-01 22:00:00+01:00,49.005679
2023-01-01 22:00:00+00:00,2023-01-01 23:00:00+01:00,43.6228672
2023-01-01 23:00:00+00:00,2023-01-02 00:00:00+01:00,50.061766199999994
