Datetime (UTC),Datetime (Local),Price (USD/MWh)
2023-01-01 00:00:00+00:00,2023-01-01 09:00:00+09:00,141.23600000000002
2023-01-01 01:00:00+00:00,2023-01-01 10:00:00+09:00,141.35840000000002
2023-01-01 02:00:00+00:00,2023-01-01 11:00:00+09:00,127.02740000000001
2023-01-01 03:00:00+00:00,2023-01-01 12:00:00+09:00,111.894
2023-01-01 04:00:00+00:00,2023-01-01 13:00:00+09:00,111.84300000000002
2023-01-01 05:00:00+00:00,2023-01-01 14:00:00+09:00,112.59440000000001
2023-01-01 06:00:00+00:00,2023-01-01 15:00:00+09:00,112.59440000000001
2023-01-01 07:00:00+00:00,2023-01-01 16:00:00+09:00,130.3458
2023-01-01 08:00:00+00:00,2023-01-01 17:00:00+09:00,148.41680000000002
2023-01-01 09:00:00+00:00,2023-01-01 18:00:00+09:00,164.86260000000001
2023-01-01 10:00:00+00:00,2023-01-01 19:00:00+09:00,165.13120000000004
2023-01-01 11:00:00+00:00,2023-01-01 20:00:00+09:00,148.61740000000003
2023-01-01 12:00:00+00:00,2023-01-01 21:00:00+09:00,147.5872
2023-01-01 13:00:00+00:00,2023-01-01 22:00:00+09:00,146.56040000000002
2023-01-01 14:00:00+00:00,2023-01-01 23:00:00+09:00,146.9242
2023-01-01 15:00:00+00:00,2023-01-02 00:00:00+09:00,146.149
2023-01-01 16:00:00+00:00,2023-01-02 01:00:00+09:00,143.7452
2023-01-01 17:00:00+00:00,2023-01-02 02:00:00+09:00,143.22160000000002
2023-01-01 18:00:00+00:00,2023-01-02 03:00:00+09:00,143.6364
2023-01-01 19:00:00+00:00,2023-01-02 04:00:00+09:00,143.96280000000002
2023-01-01 20:00:00+00:00,2023-01-02 05:00:00+09:00,143.96280000000002
2023-01-01 21:00:00+00:00,2023-01-02 06:00:00+09:00,144.78560000000002
2023-01-01 22:00:00+00:00,2023-01-02 07:00:00+09:00,161.55100000000002
2023-01-01 23:00:00+00:00,2023-01-02 08:00:00+09:00,180.06740000000002
