Datetime (UTC),Datetime (Local),Price (USD/MWh)
2024-01-01 00:00:00+00:00,2024-01-01 01:00:00+01:00,0.0592702
2024-01-01 01:00:00+00:00,2024-01-01 02:00:00+01:00,0.0053882
2024-01-01 02:00:00+00:00,2024-01-01 03:00:00+01:00,-0.0053882
2024-01-01 03:00:00+00:00,2024-01-01 04:00:00+01:00,-0.021552799999999997
2024-01-01 04:00:00+00:00,2024-01-01 05:00:00+01:00,-0.026941
2024-01-01 05:00:00+00:00,2024-01-01 06:00:00+01:00,-0.0377174
2024-01-01 06:00:00+00:00,2024-01-01 07:00:00+01:00,-0.037717400000000005
2024-01-01 07:00:00+00:00,2024-01-01 08:00:00+01:00,-0.010776400000000004
2024-01-01 08:00:00+00:00,2024-01-01 09:00:00+01:00,0.021552799999999997
2024-01-01 09:00:00+00:00,2024-01-01 10:00:00+01:00,0.05388199999999999
2024-01-01 10:00:00+00:00,2024-01-01 11:00:00+01:00,0.323292
2024-01-01 11:00:00+00:00,2024-01-01 12:00:00+01:00,1.4979196
2024-01-01 12:00:00+00:00,2024-01-01 13:00:00+01:00,2.2684322
2024-01-01 13:00:00+00:00,2024-01-01 14:00:00+01:00,1.6703419999999998
2024-01-01 14:00:00+00:00,2024-01-01 15:00:00+01:00,2.3277023999999997
2024-01-01 15:00:00+00:00,2024-01-01 16:00:00+01:00,23.2716358
2024-01-01 16:00:00+00:00,2024-01-01 17:00:00+01:00,67.06153719999999
2024-01-01 17:00:00+00:00,2024-01-01 18:00:00+01:00,78.77548399999999
2024-01-01 18:00:00+00:00,2024-01-01 19:00:00+01:00,66.2802482
2024-01-01 19:00:00+00:00,2024-01-01 20:00:00+01:00,65.3265368
2024-01-01 20:00:00+00:00,2024-01-01 21:00:00+01:00,61.905029799999994
2024-01-01 21:00:00+00:00,2024-01-01 22:00:00+01:00,55.26676739999999
2024-01-01 22:00:00+00:00,2024-01-01 23:00:00+01:00,44.829823999999995
2024-01-01 23:00:00+00:00,2024-01-02 00:00:00+01:00,34.9909708
2024-01-02 00:00:00+00:00,2024-01-02 01:00:00+01:00,26.3967918
2024-01-02 01:00:00+00:00,2024-01-02 02:00:00+01:00,25.286822599999997
2024-01-02 02:00:00+00:00,2024-01-02 03:00:00+01:00,23.454834599999998
2024-01-02 03:00:00+00:00,2024-01-02 04:00:00+01:00,13.847673999999998
2024-01-02 04:00:00+00:00,2024-01-02 05:00:00+01:00,11.153573999999999
2024-01-02 05:00:00+00:00,2024-01-02 06:00:00+01:00,29.974556599999996
2024-01-02 06:00:00+00:00,2024-01-02 07:00:00+01:00,54.41543179999999
2024-01-02 07:00:00+00:00,2024-01-02 08:00:00+01:00,65.1110088
2024-01-02 08:00:00+00:00,2024-01-02 09:00:00+01:00,70.26212799999999
2024-01-02 09:00:00+00:00,2024-01-02 10:00:00+01:00,73.66747039999998
2024-01-02 10:00:00+00:00,2024-01-02 11:00:00+01:00,80.499708
2024-01-02 11:00:00+00:00,2024-01-02 12:00:00+01:00,96.287134
2024-01-02 12:00:00+00:00,2024-01-02 13:00:00+01:00,109.05716799999999
2024-01-02 13:00:00+00:00,2024-01-02 14:00:00+01:00,114.82254199999998
2024-01-02 14:00:00+00:00,2024-01-02 15:00:00+01:00,116.54676599999999
2024-01-02 15:00:00+00:00,2024-01-02 16:00:00+01:00,111.212448
2024-01-02 16:00:00+00:00,2024-01-02 17:00:00+01:00,118.3410366
2024-01-02 17:00:00+00:00,2024-01-02 18:00:00+01:00,107.88792859999998
2024-01-02 18:00:00+00:00,2024-01-02 19:00:00+01:00,81.57734799999999
2024-01-02 19:00:00+00:00,2024-01-02 20:00:00+01:00,73.71057599999999
2024-01-02 20:00:00+00:00,2024-01-02 21:00:00+01:00,65.520512
2024-01-02 21:00:00+00:00,2024-01-02 22:00:00+01:00,58.23566559999999
2024-01-02 22:00:00+00:00,2024-01-02 23:00:00+01:00,58.23566559999999
2024-01-02 23:00:00+00:00,2024-01-03 00:00:00+01:00,29.371078199999996
2024-01-03 00:00:00+00:00,2024-01-03 01:00:00+01:00,-1.07764
2024-01-03 01:00:00+00:00,2024-01-03 02:00:00+01:00,-1.61646
2024-01-03 02:00:00+00:00,2024-01-03 03:00:00+01:00,-1.4548139999999998
2024-01-03 03:00:00+00:00,2024-01-03 04:00:00+01:00,-1.4548139999999998
2024-01-03 04:00:00+00:00,2024-01-03 05:00:00+01:00,-1.7996587999999996
2024-01-03 05:00:00+00:00,2024-01-03 06:00:00+01:00,-0.48493799999999965
2024-01-03 06:00:00+00:00,2024-01-03 07:00:00+01:00,22.458017599999998
2024-01-03 07:00:00+00:00,2024-01-03 08:00:00+01:00,58.693662599999996
2024-01-03 08:00:00+00:00,2024-01-03 09:00:00+01:00,77.697844
2024-01-03 09:00:00+00:00,2024-01-03 10:00:00+01:00,80.33806200000001
2024-01-03 10:00:00+00:00,2024-01-03 11:00:00+01:00,76.727968
2024-01-03 11:00:00+00:00,2024-01-03 12:00:00+01:00,69.615544
2024-01-03 12:00:00+00:00,2024-01-03 13:00:00+01:00,64.0441452
2024-01-03 13:00:00+00:00,2024-01-03 14:00:00+01:00,64.5075304
2024-01-03 14:00:00+00:00,2024-01-03 15:00:00+01:00,73.7429052
2024-01-03 15:00:00+00:00,2024-01-03 16:00:00+01:00,83.5171
