Datetime (UTC),Datetime (Local),Price (USD/MWh)
2024-01-01 00:00:00+00:00,2024-01-01 08:00:00+08:00,73.71550860000002
2024-01-01 01:00:00+00:00,2024-01-01 09:00:00+08:00,70.79123850000002
2024-01-01 02:00:00+00:00,2024-01-01 10:00:00+08:00,70.81738140000002
2024-01-01 03:00:00+00:00,2024-01-01 11:00:00+08:00,74.5408773
2024-01-01 04:00:00+00:00,2024-01-01 12:00:00+08:00,75.0525312
2024-01-01 05:00:00+00:00,2024-01-01 13:00:00+08:00,75.5455116
2024-01-01 06:00:00+00:00,2024-01-01 14:00:00+08:00,76.55761530000001
2024-01-01 07:00:00+00:00,2024-01-01 15:00:00+08:00,77.6294742
2024-01-01 08:00:00+00:00,2024-01-01 16:00:00+08:00,77.9095767
2024-01-01 09:00:00+00:00,2024-01-01 17:00:00+08:00,79.15696650000001
2024-01-01 10:00:00+00:00,2024-01-01 18:00:00+08:00,80.7964998
2024-01-01 11:00:00+00:00,2024-01-01 19:00:00+08:00,82.2306246
2024-01-01 12:00:00+00:00,2024-01-01 20:00:00+08:00,83.6460759
2024-01-01 13:00:00+00:00,2024-01-01 21:00:00+08:00,82.33519620000001
2024-01-01 14:00:00+00:00,2024-01-01 22:00:00+08:00,80.9085408
2024-01-01 15:00:00+00:00,2024-01-01 23:00:00+08:00,78.76108830000001
2024-01-01 16:00:00+00:00,2024-01-02 00:00:00+08:00,85.5918546
2024-01-01 17:00:00+00:00,2024-01-02 01:00:00+08:00,87.7393071
2024-01-01 18:00:00+00:00,2024-01-02 02:00:00+08:00,80.2885806
2024-01-01 19:00:00+00:00,2024-01-02 03:00:00+08:00,77.8050051
2024-01-01 20:00:00+00:00,2024-01-02 04:00:00+08:00,72.3187308
2024-01-01 21:00:00+00:00,2024-01-02 05:00:00+08:00,70.75389150000001
2024-01-01 22:00:00+00:00,2024-01-02 06:00:00+08:00,76.3335333
2024-01-01 23:00:00+00:00,2024-01-02 07:00:00+08:00,84.41915880000002
2024-01-02 00:00:00+00:00,2024-01-02 08:00:00+08:00,87.0073059
2024-01-02 01:00:00+00:00,2024-01-02 09:00:00+08:00,87.578715
2024-01-02 02:00:00+00:00,2024-01-02 10:00:00+08:00,90.52912800000001
2024-01-02 03:00:00+00:00,2024-01-02 11:00:00+08:00,89.3078811
2024-01-02 04:00:00+00:00,2024-01-02 12:00:00+08:00,87.70196010000001
2024-01-02 05:00:00+00:00,2024-01-02 13:00:00+08:00,85.79726310000001
2024-01-02 06:00:00+00:00,2024-01-02 14:00:00+08:00,87.2687349
2024-01-02 07:00:00+00:00,2024-01-02 15:00:00+08:00,96.541995
2024-01-02 08:00:00+00:00,2024-01-02 16:00:00+08:00,113.64692099999999
2024-01-02 09:00:00+00:00,2024-01-02 17:00:00+08:00,173.3871822
2024-01-02 10:00:00+00:00,2024-01-02 18:00:00+08:00,167.74031580000002
2024-01-02 11:00:00+00:00,2024-01-02 19:00:00+08:00,144.73829849999998
2024-01-02 12:00:00+00:00,2024-01-02 20:00:00+08:00,137.2091433
2024-01-02 13:00:00+00:00,2024-01-02 21:00:00+08:00,100.388736
2024-01-02 14:00:00+00:00,2024-01-02 22:00:00+08:00,96.5345256
2024-01-02 15:00:00+00:00,2024-01-02 23:00:00+08:00,88.06796070000001
2024-01-02 16:00:00+00:00,2024-01-03 00:00:00+08:00,87.36583710000001
2024-01-02 17:00:00+00:00,2024-01-03 01:00:00+08:00,90.9100674
2024-01-02 18:00:00+00:00,2024-01-03 02:00:00+08:00,91.64206860000002
2024-01-02 19:00:00+00:00,2024-01-03 03:00:00+08:00,90.83537340000001
2024-01-02 20:00:00+00:00,2024-01-03 04:00:00+08:00,89.25186060000001
2024-01-02 21:00:00+00:00,2024-01-03 05:00:00+08:00,89.64773880000001
2024-01-02 22:00:00+00:00,2024-01-03 06:00:00+08:00,92.29564110000001
2024-01-02 23:00:00+00:00,2024-01-03 07:00:00+08:00,97.63252740000001
2024-01-03 00:00:00+00:00,2024-01-03 08:00:00+08:00,102.32331060000001
2024-01-03 01:00:00+00:00,2024-01-03 09:00:00+08:00,102.3755964
2024-01-03 02:00:00+00:00,2024-01-03 10:00:00+08:00,102.405474
2024-01-03 03:00:00+00:00,2024-01-03 11:00:00+08:00,102.3793311
2024-01-03 04:00:00+00:00,2024-01-03 12:00:00+08:00,101.3112069
2024-01-03 05:00:00+00:00,2024-01-03 13:00:00+08:00,101.3634927
2024-01-03 06:00:00+00:00,2024-01-03 14:00:00+08:00,102.4614945
2024-01-03 07:00:00+00:00,2024-01-03 15:00:00+08:00,102.3793311
2024-01-03 08:00:00+00:00,2024-01-03 16:00:00+08:00,102.3382494
2024-01-03 09:00:00+00:00,2024-01-03 17:00:00+08:00,139.32298350000002
2024-01-03 10:00:00+00:00,2024-01-03 18:00:00+08:00,151.04620680000002
2024-01-03 11:00:00+00:00,2024-01-03 19:00:00+08:00,115.9400268
2024-01-03 12:00:00+00:00,2024-01-03 20:00:00+08:00,104.2392117
2024-01-03 13:00:00+00:00,2024-01-03 21:00:00+08:00,102.4278822
2024-01-03 14:00:00+00:00,2024-01-03 22:00:00+08:00,101.5016766
2024-01-03 15:00:00+00:00,2024-01-03 23:00:00+08:00,95.7875856
2024-01-03 16:00:00+00:00,2024-01-04 00:00:00+08:00,90.39467880000001
2024-01-03 17:00:00+00:00,2024-01-04 01:00:00+08:00,85.6926915
2024-01-03 18:00:00+00:00,2024-01-04 02:00:00+08:00,73.76032500000001
2024-01-03 19:00:00+00:00,2024-01-04 03:00:00+08:00,62.12673450000001
2024-01-03 20:00:00+00:00,2024-01-04 04:00:00+08:00,63.10149120000001
2024-01-03 21:00:00+00:00,2024-01-04 05:00:00+08:00,75.15710280000002
2024-01-03 22:00:00+00:00,2024-01-04 06:00:00+08:00,88.80369660000001
2024-01-03 23:00:00+00:00,2024-01-04 07:00:00+08:00,98.6446311
2024-01-04 00:00:00+00:00,2024-01-04 08:00:00+08:00,102.2299431
2024-01-04 01:00:00+00:00,2024-01-04 09:00:00+08:00,106.3978683
2024-01-04 02:00:00+00:00,2024-01-04 10:00:00+08:00,110.472426
2024-01-04 03:00:00+00:00,2024-01-04 11:00:00+08:00,110.5209771
2024-01-04 04:00:00+00:00,2024-01-04 12:00:00+08:00,110.4089361
2024-01-04 05:00:00+00:00,2024-01-04 13:00:00+08:00,103.85453760000001
2024-01-04 06:00:00+00:00,2024-01-04 14:00:00+08:00,103.92923160000001
2024-01-04 07:00:00+00:00,2024-01-04 15:00:00+08:00,110.4238749
2024-01-04 08:00:00+00:00,2024-01-04 16:00:00+08:00,110.4238749
2024-01-04 09:00:00+00:00,2024-01-04 17:00:00+08:00,110.4948342
2024-01-04 10:00:00+00:00,2024-01-04 18:00:00+08:00,110.5172424
2024-01-04 11:00:00+00:00,2024-01-04 19:00:00+08:00,110.4574872
2024-01-04 12:00:00+00:00,2024-01-04 20:00:00+08:00,110.3790585
2024-01-04 13:00:00+00:00,2024-01-04 21:00:00+08:00,102.80508689999999
2024-01-04 14:00:00+00:00,2024-01-04 22:00:00+08:00,88.8447783
2024-01-04 15:00:00+00:00,2024-01-04 23:00:00+08:00,76.65098280000001
2024-01-04 16:00:00+00:00,2024-01-05 00:00:00+08:00,67.59807
2024-01-04 17:00:00+00:00,2024-01-05 01:00:00+08:00,61.3573863
2024-01-04 18:00:00+00:00,2024-01-05 02:00:00+08:00,57.5928087
2024-01-04 19:00:00+00:00,2024-01-05 03:00:00+08:00,55.0083963
2024-01-04 20:00:00+00:00,2024-01-05 04:00:00+08:00,55.30343760000001
2024-01-04 21:00:00+00:00,2024-01-05 05:00:00+08:00,60.345282600000004
2024-01-04 22:00:00+00:00,2024-01-05 06:00:00+08:00,65.0285964
2024-01-04 23:00:00+00:00,2024-01-05 07:00:00+08:00,73.95826410000001
2024-01-05 00:00:00+00:00,2024-01-05 08:00:00+08:00,89.7933921
2024-01-05 01:00:00+00:00,2024-01-05 09:00:00+08:00,96.84824040000001
2024-01-05 02:00:00+00:00,2024-01-05 10:00:00+08:00,94.42068540000001
2024-01-05 03:00:00+00:00,2024-01-05 11:00:00+08:00,98.5475289
2024-01-05 04:00:00+00:00,2024-01-05 12:00:00+08:00,87.8102664
2024-01-05 05:00:00+00:00,2024-01-05 13:00:00+08:00,77.80873980000001
2024-01-05 06:00:00+00:00,2024-01-05 14:00:00+08:00,91.014639
2024-01-05 07:00:00+00:00,2024-01-05 15:00:00+08:00,101.18422710000002
2024-01-05 08:00:00+00:00,2024-01-05 16:00:00+08:00,107.12986950000001
2024-01-05 09:00:00+00:00,2024-01-05 17:00:00+08:00,107.1672165
2024-01-05 10:00:00+00:00,2024-01-05 18:00:00+08:00,107.18589
2024-01-05 11:00:00+00:00,2024-01-05 19:00:00+08:00,110.43881370000001
2024-01-05 12:00:00+00:00,2024-01-05 20:00:00+08:00,110.5023036
2024-01-05 13:00:00+00:00,2024-01-05 21:00:00+08:00,104.99362110000001
2024-01-05 14:00:00+00:00,2024-01-05 22:00:00+08:00,93.81566400000001
2024-01-05 15:00:00+00:00,2024-01-05 23:00:00+08:00,77.4427392
2024-01-05 16:00:00+00:00,2024-01-06 00:00:00+08:00,68.8230516
2024-01-05 17:00:00+00:00,2024-01-06 01:00:00+08:00,65.34604590000001
2024-01-05 18:00:00+00:00,2024-01-06 02:00:00+08:00,58.3098711
2024-01-05 19:00:00+00:00,2024-01-06 03:00:00+08:00,56.868276900000005
2024-01-05 20:00:00+00:00,2024-01-06 04:00:00+08:00,56.91309330000001
2024-01-05 21:00:00+00:00,2024-01-06 05:00:00+08:00,57.6077475
2024-01-05 22:00:00+00:00,2024-01-06 06:00:00+08:00,59.43775050000001
2024-01-05 23:00:00+00:00,2024-01-06 07:00:00+08:00,64.20322770000001
2024-01-06 00:00:00+00:00,2024-01-06 08:00:00+08:00,72.99471150000001
2024-01-06 01:00:00+00:00,2024-01-06 09:00:00+08:00,75.104817
2024-01-06 02:00:00+00:00,2024-01-06 10:00:00+08:00,71.35891289999999
2024-01-06 03:00:00+00:00,2024-01-06 11:00:00+08:00,70.80244259999999
2024-01-06 04:00:00+00:00,2024-01-06 12:00:00+08:00,71.32530059999999
2024-01-06 05:00:00+00:00,2024-01-06 13:00:00+08:00,71.2169943
2024-01-06 06:00:00+00:00,2024-01-06 14:00:00+08:00,69.28615439999999
