Datetime (UTC),Datetime (Local),Price (USD/MWh)
2024-01-01 00:00:00+00:00,2023-12-31 16:00:00-08:00,40.860355
2024-01-01 01:00:00+00:00,2023-12-31 17:00:00-08:00,41.57412
2024-01-01 02:00:00+00:00,2023-12-31 18:00:00-08:00,43.04195
2024-01-01 03:00:00+00:00,2023-12-31 19:00:00-08:00,43.045370000000005
2024-01-01 04:00:00+00:00,2023-12-31 20:00:00-08:00,42.05532
2024-01-01 05:00:00+00:00,2023-12-31 21:00:00-08:00,40.995455
2024-01-01 06:00:00+00:00,2023-12-31 22:00:00-08:00,40.940585
2024-01-01 07:00:00+00:00,2023-12-31 23:00:00-08:00,42.616605
2024-01-01 08:00:00+00:00,2024-01-01 00:00:00-08:00,47.07036
2024-01-01 09:00:00+00:00,2024-01-01 01:00:00-08:00,50.72348
2024-01-01 10:00:00+00:00,2024-01-01 02:00:00-08:00,50.807770000000005
2024-01-01 11:00:00+00:00,2024-01-01 03:00:00-08:00,50.111580000000004
2024-01-01 12:00:00+00:00,2024-01-01 04:00:00-08:00,50.06818
2024-01-01 13:00:00+00:00,2024-01-01 05:00:00-08:00,49.65919
2024-01-01 14:00:00+00:00,2024-01-01 06:00:00-08:00,47.79215
2024-01-01 15:00:00+00:00,2024-01-01 07:00:00-08:00,46.08389
2024-01-01 16:00:00+00:00,2024-01-01 08:00:00-08:00,46.288125
2024-01-01 17:00:00+00:00,2024-01-01 09:00:00-08:00,46.39913
2024-01-01 18:00:00+00:00,2024-01-01 10:00:00-08:00,45.585570000000004
2024-01-01 19:00:00+00:00,2024-01-01 11:00:00-08:00,45.030915
2024-01-01 20:00:00+00:00,2024-01-01 12:00:00-08:00,44.741905
2024-01-01 21:00:00+00:00,2024-01-01 13:00:00-08:00,43.734669999999994
2024-01-01 22:00:00+00:00,2024-01-01 14:00:00-08:00,43.825865
2024-01-01 23:00:00+00:00,2024-01-01 15:00:00-08:00,46.108915
2024-01-02 00:00:00+00:00,2024-01-01 16:00:00-08:00,45.70953
2024-01-02 01:00:00+00:00,2024-01-01 17:00:00-08:00,41.59232
2024-01-02 02:00:00+00:00,2024-01-01 18:00:00-08:00,38.20015
2024-01-02 03:00:00+00:00,2024-01-01 19:00:00-08:00,36.601265
2024-01-02 04:00:00+00:00,2024-01-01 20:00:00-08:00,34.79125
2024-01-02 05:00:00+00:00,2024-01-01 21:00:00-08:00,33.570674999999994
2024-01-02 06:00:00+00:00,2024-01-01 22:00:00-08:00,34.508709999999994
2024-01-02 07:00:00+00:00,2024-01-01 23:00:00-08:00,37.797839999999994
2024-01-02 08:00:00+00:00,2024-01-02 00:00:00-08:00,44.96669
2024-01-02 09:00:00+00:00,2024-01-02 01:00:00-08:00,50.02808
2024-01-02 10:00:00+00:00,2024-01-02 02:00:00-08:00,50.487300000000005
2024-01-02 11:00:00+00:00,2024-01-02 03:00:00-08:00,50.71411
2024-01-02 12:00:00+00:00,2024-01-02 04:00:00-08:00,50.658275
2024-01-02 13:00:00+00:00,2024-01-02 05:00:00-08:00,50.095015000000004
2024-01-02 14:00:00+00:00,2024-01-02 06:00:00-08:00,49.62659
2024-01-02 15:00:00+00:00,2024-01-02 07:00:00-08:00,48.23397
2024-01-02 16:00:00+00:00,2024-01-02 08:00:00-08:00,46.073975000000004
2024-01-02 17:00:00+00:00,2024-01-02 09:00:00-08:00,44.98907
2024-01-02 18:00:00+00:00,2024-01-02 10:00:00-08:00,44.549615
2024-01-02 19:00:00+00:00,2024-01-02 11:00:00-08:00,44.52301
2024-01-02 20:00:00+00:00,2024-01-02 12:00:00-08:00,44.75266
2024-01-02 21:00:00+00:00,2024-01-02 13:00:00-08:00,46.562285
2024-01-02 22:00:00+00:00,2024-01-02 14:00:00-08:00,52.540835
2024-01-02 23:00:00+00:00,2024-01-02 15:00:00-08:00,57.929145
2024-01-03 00:00:00+00:00,2024-01-02 16:00:00-08:00,53.807125
2024-01-03 01:00:00+00:00,2024-01-02 17:00:00-08:00,48.711164999999994
2024-01-03 02:00:00+00:00,2024-01-02 18:00:00-08:00,46.74666499999999
2024-01-03 03:00:00+00:00,2024-01-02 19:00:00-08:00,44.36753
2024-01-03 04:00:00+00:00,2024-01-02 20:00:00-08:00,43.92253
2024-01-03 05:00:00+00:00,2024-01-02 21:00:00-08:00,43.44859
2024-01-03 06:00:00+00:00,2024-01-02 22:00:00-08:00,42.28784
2024-01-03 07:00:00+00:00,2024-01-02 23:00:00-08:00,44.80211
2024-01-03 08:00:00+00:00,2024-01-03 00:00:00-08:00,52.213245
2024-01-03 09:00:00+00:00,2024-01-03 01:00:00-08:00,57.382305
2024-01-03 10:00:00+00:00,2024-01-03 02:00:00-08:00,57.60252
2024-01-03 11:00:00+00:00,2024-01-03 03:00:00-08:00,56.603705
2024-01-03 12:00:00+00:00,2024-01-03 04:00:00-08:00,55.971215
2024-01-03 13:00:00+00:00,2024-01-03 05:00:00-08:00,55.399604999999994
2024-01-03 14:00:00+00:00,2024-01-03 06:00:00-08:00,51.95428
2024-01-03 15:00:00+00:00,2024-01-03 07:00:00-08:00,48.174735
2024-01-03 16:00:00+00:00,2024-01-03 08:00:00-08:00,48.67439
2024-01-03 17:00:00+00:00,2024-01-03 09:00:00-08:00,49.34945
2024-01-03 18:00:00+00:00,2024-01-03 10:00:00-08:00,47.548575
2024-01-03 19:00:00+00:00,2024-01-03 11:00:00-08:00,45.657815
2024-01-03 20:00:00+00:00,2024-01-03 12:00:00-08:00,45.160065
2024-01-03 21:00:00+00:00,2024-01-03 13:00:00-08:00,47.22228
2024-01-03 22:00:00+00:00,2024-01-03 14:00:00-08:00,51.224935
2024-01-03 23:00:00+00:00,2024-01-03 15:00:00-08:00,53.727155
2024-01-04 00:00:00+00:00,2024-01-03 16:00:00-08:00,53.245685
2024-01-04 01:00:00+00:00,2024-01-03 17:00:00-08:00,51.309915000000004
2024-01-04 02:00:00+00:00,2024-01-03 18:00:00-08:00,49.232465000000005
2024-01-04 03:00:00+00:00,2024-01-03 19:00:00-08:00,47.36734
2024-01-04 04:00:00+00:00,2024-01-03 20:00:00-08:00,45.52789
2024-01-04 05:00:00+00:00,2024-01-03 21:00:00-08:00,43.162175000000005
2024-01-04 06:00:00+00:00,2024-01-03 22:00:00-08:00,43.434075
2024-01-04 07:00:00+00:00,2024-01-03 23:00:00-08:00,47.687335000000004
2024-01-04 08:00:00+00:00,2024-01-04 00:00:00-08:00,53.500299999999996
2024-01-04 09:00:00+00:00,2024-01-04 01:00:00-08:00,57.237965
2024-01-04 10:00:00+00:00,2024-01-04 02:00:00-08:00,56.8303
2024-01-04 11:00:00+00:00,2024-01-04 03:00:00-08:00,55.2024
2024-01-04 12:00:00+00:00,2024-01-04 04:00:00-08:00,54.439975000000004
2024-01-04 13:00:00+00:00,2024-01-04 05:00:00-08:00,53.876145
2024-01-04 14:00:00+00:00,2024-01-04 06:00:00-08:00,51.862785
2024-01-04 15:00:00+00:00,2024-01-04 07:00:00-08:00,49.2195
2024-01-04 16:00:00+00:00,2024-01-04 08:00:00-08:00,47.786975
2024-01-04 17:00:00+00:00,2024-01-04 09:00:00-08:00,46.65128
2024-01-04 18:00:00+00:00,2024-01-04 10:00:00-08:00,46.12492
2024-01-04 19:00:00+00:00,2024-01-04 11:00:00-08:00,45.74101
2024-01-04 20:00:00+00:00,2024-01-04 12:00:00-08:00,45.8096
2024-01-04 21:00:00+00:00,2024-01-04 13:00:00-08:00,49.035435
2024-01-04 22:00:00+00:00,2024-01-04 14:00:00-08:00,55.86011
2024-01-04 23:00:00+00:00,2024-01-04 15:00:00-08:00,57.782405
2024-01-05 00:00:00+00:00,2024-01-04 16:00:00-08:00,51.62351
2024-01-05 01:00:00+00:00,2024-01-04 17:00:00-08:00,48.676125
2024-01-05 02:00:00+00:00,2024-01-04 18:00:00-08:00,47.85479
2024-01-05 03:00:00+00:00,2024-01-04 19:00:00-08:00,45.809895
2024-01-05 04:00:00+00:00,2024-01-04 20:00:00-08:00,44.216229999999996
2024-01-05 05:00:00+00:00,2024-01-04 21:00:00-08:00,42.696375
2024-01-05 06:00:00+00:00,2024-01-04 22:00:00-08:00,43.590055
2024-01-05 07:00:00+00:00,2024-01-04 23:00:00-08:00,45.15326
2024-01-05 08:00:00+00:00,2024-01-05 00:00:00-08:00,54.041645
2024-01-05 09:00:00+00:00,2024-01-05 01:00:00-08:00,62.527495
2024-01-05 10:00:00+00:00,2024-01-05 02:00:00-08:00,62.637785
2024-01-05 11:00:00+00:00,2024-01-05 03:00:00-08:00,62.62585
2024-01-05 12:00:00+00:00,2024-01-05 04:00:00-08:00,62.596995
2024-01-05 13:00:00+00:00,2024-01-05 05:00:00-08:00,62.21401
2024-01-05 14:00:00+00:00,2024-01-05 06:00:00-08:00,61.832135
2024-01-05 15:00:00+00:00,2024-01-05 07:00:00-08:00,61.243365
2024-01-05 16:00:00+00:00,2024-01-05 08:00:00-08:00,63.78118
2024-01-05 17:00:00+00:00,2024-01-05 09:00:00-08:00,63.061275
2024-01-05 18:00:00+00:00,2024-01-05 10:00:00-08:00,59.363135
2024-01-05 19:00:00+00:00,2024-01-05 11:00:00-08:00,58.965925
2024-01-05 20:00:00+00:00,2024-01-05 12:00:00-08:00,59.187855
2024-01-05 21:00:00+00:00,2024-01-05 13:00:00-08:00,63.172865
2024-01-05 22:00:00+00:00,2024-01-05 14:00:00-08:00,71.02598499999999
2024-01-05 23:00:00+00:00,2024-01-05 15:00:00-08:00,73.07964
2024-01-06 00:00:00+00:00,2024-01-05 16:00:00-08:00,65.14762
2024-01-06 01:00:00+00:00,2024-01-05 17:00:00-08:00,58.03362
2024-01-06 02:00:00+00:00,2024-01-05 18:00:00-08:00,54.91427
2024-01-06 03:00:00+00:00,2024-01-05 19:00:00-08:00,52.657375
2024-01-06 04:00:00+00:00,2024-01-05 20:00:00-08:00,51.979465000000005
2024-01-06 05:00:00+00:00,2024-01-05 21:00:00-08:00,51.813235000000006
2024-01-06 06:00:00+00:00,2024-01-05 22:00:00-08:00,51.814165
2024-01-06 07:00:00+00:00,2024-01-05 23:00:00-08:00,54.65443500000001
2024-01-06 08:00:00+00:00,2024-01-06 00:00:00-08:00,65.778385
2024-01-06 09:00:00+00:00,2024-01-06 01:00:00-08:00,74.6681
2024-01-06 10:00:00+00:00,2024-01-06 02:00:00-08:00,74.99646
2024-01-06 11:00:00+00:00,2024-01-06 03:00:00-08:00,74.78120000000001
2024-01-06 12:00:00+00:00,2024-01-06 04:00:00-08:00,74.79395500000001
2024-01-06 13:00:00+00:00,2024-01-06 05:00:00-08:00,74.637385
2024-01-06 14:00:00+00:00,2024-01-06 06:00:00-08:00,73.962345
2024-01-06 15:00:00+00:00,2024-01-06 07:00:00-08:00,73.53541999999999
2024-01-06 16:00:00+00:00,2024-01-06 08:00:00-08:00,71.19411
2024-01-06 17:00:00+00:00,2024-01-06 09:00:00-08:00,68.72557499999999
2024-01-06 18:00:00+00:00,2024-01-06 10:00:00-08:00,68.350245
2024-01-06 19:00:00+00:00,2024-01-06 11:00:00-08:00,67.938335
2024-01-06 20:00:00+00:00,2024-01-06 12:00:00-08:00,67.02309
2024-01-06 21:00:00+00:00,2024-01-06 13:00:00-08:00,67.854955
2024-01-06 22:00:00+00:00,2024-01-06 14:00:00-08:00,69.493065
2024-01-06 23:00:00+00:00,2024-01-06 15:00:00-08:00,69.01044999999999
2024-01-07 00:00:00+00:00,2024-01-06 16:00:00-08:00,68.47005
2024-01-07 01:00:00+00:00,2024-01-06 17:00:00-08:00,66.76885
2024-01-07 02:00:00+00:00,2024-01-06 18:00:00-08:00,66.0
2024-01-07 03:00:00+00:00,2024-01-06 19:00:00-08:00,64.968435
2024-01-07 04:00:00+00:00,2024-01-06 20:00:00-08:00,61.833434999999994
2024-01-07 05:00:00+00:00,2024-01-06 21:00:00-08:00,60.82136
2024-01-07 06:00:00+00:00,2024-01-06 22:00:00-08:00,64.45636
2024-01-07 07:00:00+00:00,2024-01-06 23:00:00-08:00,68.760885
2024-01-07 08:00:00+00:00,2024-01-07 00:00:00-08:00,69.058825
2024-01-07 09:00:00+00:00,2024-01-07 01:00:00-08:00,68.871085
2024-01-07 10:00:00+00:00,2024-01-07 02:00:00-08:00,69.26686
2024-01-07 11:00:00+00:00,2024-01-07 03:00:00-08:00,68.761355
2024-01-07 12:00:00+00:00,2024-01-07 04:00:00-08:00,67.91037
2024-01-07 13:00:00+00:00,2024-01-07 05:00:00-08:00,68.133285
2024-01-07 14:00:00+00:00,2024-01-07 06:00:00-08:00,68.51692
2024-01-07 15:00:00+00:00,2024-01-07 07:00:00-08:00,67.745985
2024-01-07 16:00:00+00:00,2024-01-07 08:00:00-08:00,69.58543
2024-01-07 17:00:00+00:00,2024-01-07 09:00:00-08:00,69.648255
2024-01-07 18:00:00+00:00,2024-01-07 10:00:00-08:00,65.586455
2024-01-07 19:00:00+00:00,2024-01-07 11:00:00-08:00,63.57437
2024-01-07 20:00:00+00:00,2024-01-07 12:00:00-08:00,63.88036
2024-01-07 21:00:00+00:00,2024-01-07 13:00:00-08:00,67.93891500000001
2024-01-07 22:00:00+00:00,2024-01-07 14:00:00-08:00,72.206725
2024-01-07 23:00:00+00:00,2024-01-07 15:00:00-08:00,73.21781
2024-01-08 00:00:00+00:00,2024-01-07 16:00:00-08:00,69.85566
2024-01-08 01:00:00+00:00,2024-01-07 17:00:00-08:00,61.71566
2024-01-08 02:00:00+00:00,2024-01-07 18:00:00-08:00,57.24793
2024-01-08 03:00:00+00:00,2024-01-07 19:00:00-08:00,55.968325
2024-01-08 04:00:00+00:00,2024-01-07 20:00:00-08:00,54.350764999999996
2024-01-08 05:00:00+00:00,2024-01-07 21:00:00-08:00,54.6202
2024-01-08 06:00:00+00:00,2024-01-07 22:00:00-08:00,54.698565
2024-01-08 07:00:00+00:00,2024-01-07 23:00:00-08:00,58.512074999999996
2024-01-08 08:00:00+00:00,2024-01-08 00:00:00-08:00,68.87961
2024-01-08 09:00:00+00:00,2024-01-08 01:00:00-08:00,76.227735
2024-01-08 10:00:00+00:00,2024-01-08 02:00:00-08:00,77.18250499999999
2024-01-08 11:00:00+00:00,2024-01-08 03:00:00-08:00,77.11937
2024-01-08 12:00:00+00:00,2024-01-08 04:00:00-08:00,76.902425
2024-01-08 13:00:00+00:00,2024-01-08 05:00:00-08:00,76.831945
2024-01-08 14:00:00+00:00,2024-01-08 06:00:00-08:00,76.87872
2024-01-08 15:00:00+00:00,2024-01-08 07:00:00-08:00,75.44167999999999
2024-01-08 16:00:00+00:00,2024-01-08 08:00:00-08:00,73.94334
2024-01-08 17:00:00+00:00,2024-01-08 09:00:00-08:00,73.656785
2024-01-08 18:00:00+00:00,2024-01-08 10:00:00-08:00,73.315095
2024-01-08 19:00:00+00:00,2024-01-08 11:00:00-08:00,72.894465
2024-01-08 20:00:00+00:00,2024-01-08 12:00:00-08:00,73.658365
2024-01-08 21:00:00+00:00,2024-01-08 13:00:00-08:00,83.62138
2024-01-08 22:00:00+00:00,2024-01-08 14:00:00-08:00,100.63164
2024-01-08 23:00:00+00:00,2024-01-08 15:00:00-08:00,108.155
2024-01-09 00:00:00+00:00,2024-01-08 16:00:00-08:00,103.36
2024-01-09 01:00:00+00:00,2024-01-08 17:00:00-08:00,97.965
2024-01-09 02:00:00+00:00,2024-01-08 18:00:00-08:00,92.465
2024-01-09 03:00:00+00:00,2024-01-08 19:00:00-08:00,87.10499999999999
2024-01-09 04:00:00+00:00,2024-01-08 20:00:00-08:00,82.55086
2024-01-09 05:00:00+00:00,2024-01-08 21:00:00-08:00,80.44086
2024-01-09 06:00:00+00:00,2024-01-08 22:00:00-08:00,82.808635
2024-01-09 07:00:00+00:00,2024-01-08 23:00:00-08:00,86.30815
2024-01-09 08:00:00+00:00,2024-01-09 00:00:00-08:00,96.994485
2024-01-09 09:00:00+00:00,2024-01-09 01:00:00-08:00,108.69717499999999
2024-01-09 10:00:00+00:00,2024-01-09 02:00:00-08:00,112.070095
2024-01-09 11:00:00+00:00,2024-01-09 03:00:00-08:00,110.999065
2024-01-09 12:00:00+00:00,2024-01-09 04:00:00-08:00,109.066365
2024-01-09 13:00:00+00:00,2024-01-09 05:00:00-08:00,106.65674
2024-01-09 14:00:00+00:00,2024-01-09 06:00:00-08:00,101.78833
2024-01-09 15:00:00+00:00,2024-01-09 07:00:00-08:00,95.997355
2024-01-09 16:00:00+00:00,2024-01-09 08:00:00-08:00,85.176875
2024-01-09 17:00:00+00:00,2024-01-09 09:00:00-08:00,73.861075
2024-01-09 18:00:00+00:00,2024-01-09 10:00:00-08:00,71.22995499999999
2024-01-09 19:00:00+00:00,2024-01-09 11:00:00-08:00,71.222665
2024-01-09 20:00:00+00:00,2024-01-09 12:00:00-08:00,71.97822500000001
2024-01-09 21:00:00+00:00,2024-01-09 13:00:00-08:00,76.93563499999999
2024-01-09 22:00:00+00:00,2024-01-09 14:00:00-08:00,86.749895
2024-01-09 23:00:00+00:00,2024-01-09 15:00:00-08:00,89.483755
2024-01-10 00:00:00+00:00,2024-01-09 16:00:00-08:00,76.613755
2024-01-10 01:00:00+00:00,2024-01-09 17:00:00-08:00,61.286875
2024-01-10 02:00:00+00:00,2024-01-09 18:00:00-08:00,55.57321
2024-01-10 03:00:00+00:00,2024-01-09 19:00:00-08:00,55.145775
2024-01-10 04:00:00+00:00,2024-01-09 20:00:00-08:00,54.41251
2024-01-10 05:00:00+00:00,2024-01-09 21:00:00-08:00,53.420964999999995
2024-01-10 06:00:00+00:00,2024-01-09 22:00:00-08:00,53.30538
2024-01-10 07:00:00+00:00,2024-01-09 23:00:00-08:00,56.650525
2024-01-10 08:00:00+00:00,2024-01-10 00:00:00-08:00,67.178395
2024-01-10 09:00:00+00:00,2024-01-10 01:00:00-08:00,76.74007
2024-01-10 10:00:00+00:00,2024-01-10 02:00:00-08:00,78.07369
2024-01-10 11:00:00+00:00,2024-01-10 03:00:00-08:00,76.71419499999999
2024-01-10 12:00:00+00:00,2024-01-10 04:00:00-08:00,75.07621999999999
2024-01-10 13:00:00+00:00,2024-01-10 05:00:00-08:00,74.32244
2024-01-10 14:00:00+00:00,2024-01-10 06:00:00-08:00,74.04473999999999
2024-01-10 15:00:00+00:00,2024-01-10 07:00:00-08:00,70.29289999999999
2024-01-10 16:00:00+00:00,2024-01-10 08:00:00-08:00,67.73201499999999
2024-01-10 17:00:00+00:00,2024-01-10 09:00:00-08:00,67.72564
2024-01-10 18:00:00+00:00,2024-01-10 10:00:00-08:00,67.25509499999998
2024-01-10 19:00:00+00:00,2024-01-10 11:00:00-08:00,67.211165
2024-01-10 20:00:00+00:00,2024-01-10 12:00:00-08:00,67.234995
2024-01-10 21:00:00+00:00,2024-01-10 13:00:00-08:00,72.126515
2024-01-10 22:00:00+00:00,2024-01-10 14:00:00-08:00,83.60744
2024-01-10 23:00:00+00:00,2024-01-10 15:00:00-08:00,88.45781
2024-01-11 00:00:00+00:00,2024-01-10 16:00:00-08:00,78.844145
2024-01-11 01:00:00+00:00,2024-01-10 17:00:00-08:00,70.13795999999999
2024-01-11 02:00:00+00:00,2024-01-10 18:00:00-08:00,68.26747
2024-01-11 03:00:00+00:00,2024-01-10 19:00:00-08:00,67.90276999999999
2024-01-11 04:00:00+00:00,2024-01-10 20:00:00-08:00,67.15460499999999
2024-01-11 05:00:00+00:00,2024-01-10 21:00:00-08:00,65.67231999999998
2024-01-11 06:00:00+00:00,2024-01-10 22:00:00-08:00,66.06635999999999
2024-01-11 07:00:00+00:00,2024-01-10 23:00:00-08:00,69.845405
2024-01-11 08:00:00+00:00,2024-01-11 00:00:00-08:00,82.06272999999999
2024-01-11 09:00:00+00:00,2024-01-11 01:00:00-08:00,92.54048
2024-01-11 10:00:00+00:00,2024-01-11 02:00:00-08:00,93.79595499999999
2024-01-11 11:00:00+00:00,2024-01-11 03:00:00-08:00,92.49347499999999
2024-01-11 12:00:00+00:00,2024-01-11 04:00:00-08:00,90.50249
2024-01-11 13:00:00+00:00,2024-01-11 05:00:00-08:00,89.784065
2024-01-11 14:00:00+00:00,2024-01-11 06:00:00-08:00,83.88069499999999
2024-01-11 15:00:00+00:00,2024-01-11 07:00:00-08:00,75.56933
2024-01-11 16:00:00+00:00,2024-01-11 08:00:00-08:00,72.806255
2024-01-11 17:00:00+00:00,2024-01-11 09:00:00-08:00,72.04891999999998
2024-01-11 18:00:00+00:00,2024-01-11 10:00:00-08:00,71.644905
2024-01-11 19:00:00+00:00,2024-01-11 11:00:00-08:00,71.79281499999999
2024-01-11 20:00:00+00:00,2024-01-11 12:00:00-08:00,72.268115
2024-01-11 21:00:00+00:00,2024-01-11 13:00:00-08:00,78.37486999999999
2024-01-11 22:00:00+00:00,2024-01-11 14:00:00-08:00,92.89874999999999
2024-01-11 23:00:00+00:00,2024-01-11 15:00:00-08:00,99.29397
2024-01-12 00:00:00+00:00,2024-01-11 16:00:00-08:00,93.618765
2024-01-12 01:00:00+00:00,2024-01-11 17:00:00-08:00,88.083675
2024-01-12 02:00:00+00:00,2024-01-11 18:00:00-08:00,85.633465
2024-01-12 03:00:00+00:00,2024-01-11 19:00:00-08:00,84.63363
2024-01-12 04:00:00+00:00,2024-01-11 20:00:00-08:00,76.952085
2024-01-12 05:00:00+00:00,2024-01-11 21:00:00-08:00,67.60691499999999
2024-01-12 06:00:00+00:00,2024-01-11 22:00:00-08:00,68.579995
2024-01-12 07:00:00+00:00,2024-01-11 23:00:00-08:00,80.16
2024-01-12 08:00:00+00:00,2024-01-12 00:00:00-08:00,94.77137499999999
2024-01-12 09:00:00+00:00,2024-01-12 01:00:00-08:00,104.968685
2024-01-12 10:00:00+00:00,2024-01-12 02:00:00-08:00,109.01731
2024-01-12 11:00:00+00:00,2024-01-12 03:00:00-08:00,108.291705
2024-01-12 12:00:00+00:00,2024-01-12 04:00:00-08:00,106.32471999999999
2024-01-12 13:00:00+00:00,2024-01-12 05:00:00-08:00,103.988025
2024-01-12 14:00:00+00:00,2024-01-12 06:00:00-08:00,101.571055
2024-01-12 15:00:00+00:00,2024-01-12 07:00:00-08:00,98.13743
2024-01-12 16:00:00+00:00,2024-01-12 08:00:00-08:00,87.18760499999999
2024-01-12 17:00:00+00:00,2024-01-12 09:00:00-08:00,78.60641999999999
2024-01-12 18:00:00+00:00,2024-01-12 10:00:00-08:00,78.41069999999999
2024-01-12 19:00:00+00:00,2024-01-12 11:00:00-08:00,78.04855999999998
2024-01-12 20:00:00+00:00,2024-01-12 12:00:00-08:00,81.54527499999999
2024-01-12 21:00:00+00:00,2024-01-12 13:00:00-08:00,87.38727999999999
2024-01-12 22:00:00+00:00,2024-01-12 14:00:00-08:00,95.64882499999999
2024-01-12 23:00:00+00:00,2024-01-12 15:00:00-08:00,105.93765499999999
