Datetime (UTC),Datetime (Local),Price (USD/MWh)
2021-01-01 00:00:00+00:00,2020-12-31 19:00:00-05:00,27.030912
2021-01-01 01:00:00+00:00,2020-12-31 20:00:00-05:00,27.030912
2021-01-01 02:00:00+00:00,2020-12-31 21:00:00-05:00,27.030912
2021-01-01 03:00:00+00:00,2020-12-31 22:00:00-05:00,27.030912
2021-01-01 04:00:00+00:00,2020-12-31 23:00:00-05:00,27.030912
2021-01-01 05:00:00+00:00,2021-01-01 00:00:00-05:00,27.030912
2021-01-01 06:00:00+00:00,2021-01-01 01:00:00-05:00,27.030912
2021-01-01 07:00:00+00:00,2021-01-01 02:00:00-05:00,27.030912
2021-01-01 08:00:00+00:00,2021-01-01 03:00:00-05:00,27.030912
2021-01-01 09:00:00+00:00,2021-01-01 04:00:00-05:00,27.030912
2021-01-01 10:00:00+00:00,2021-01-01 05:00:00-05:00,27.030912
2021-01-01 11:00:00+00:00,2021-01-01 06:00:00-05:00,21.588849
2021-01-01 12:00:00+00:00,2021-01-01 07:00:00-05:00,16.828449499999998
2021-01-01 13:00:00+00:00,2021-01-01 08:00:00-05:00,17.5057435
2021-01-01 14:00:00+00:00,2021-01-01 09:00:00-05:00,17.783118
2021-01-01 15:00:00+00:00,2021-01-01 10:00:00-05:00,17.650802
2021-01-01 16:00:00+00:00,2021-01-01 11:00:00-05:00,17.136514
2021-01-01 17:00:00+00:00,2021-01-01 12:00:00-05:00,17.2907665
2021-01-01 18:00:00+00:00,2021-01-01 13:00:00-05:00,17.523121
2021-01-01 19:00:00+00:00,2021-01-01 14:00:00-05:00,18.4023605
2021-01-01 20:00:00+00:00,2021-01-01 15:00:00-05:00,23.8770495
2021-01-01 21:00:00+00:00,2021-01-01 16:00:00-05:00,25.5531255
2021-01-01 22:00:00+00:00,2021-01-01 17:00:00-05:00,23.310399
2021-01-01 23:00:00+00:00,2021-01-01 18:00:00-05:00,23.396060499999997
2021-01-02 00:00:00+00:00,2021-01-01 19:00:00-05:00,22.4931955
2021-01-02 01:00:00+00:00,2021-01-01 20:00:00-05:00,22.0836435
2021-01-02 02:00:00+00:00,2021-01-01 21:00:00-05:00,22.898038999999997
2021-01-02 03:00:00+00:00,2021-01-01 22:00:00-05:00,24.155608
2021-01-02 04:00:00+00:00,2021-01-01 23:00:00-05:00,23.5562835
2021-01-02 05:00:00+00:00,2021-01-02 00:00:00-05:00,22.345872999999997
2021-01-02 06:00:00+00:00,2021-01-02 01:00:00-05:00,22.011056
2021-01-02 07:00:00+00:00,2021-01-02 02:00:00-05:00,22.025302
2021-01-02 08:00:00+00:00,2021-01-02 03:00:00-05:00,22.3171695
2021-01-02 09:00:00+00:00,2021-01-02 04:00:00-05:00,21.366261
2021-01-02 10:00:00+00:00,2021-01-02 05:00:00-05:00,19.9691745
2021-01-02 11:00:00+00:00,2021-01-02 06:00:00-05:00,19.76269
2021-01-02 12:00:00+00:00,2021-01-02 07:00:00-05:00,19.186533
2021-01-02 13:00:00+00:00,2021-01-02 08:00:00-05:00,18.280020999999998
2021-01-02 14:00:00+00:00,2021-01-02 09:00:00-05:00,18.770839000000002
2021-01-02 15:00:00+00:00,2021-01-02 10:00:00-05:00,20.018772
2021-01-02 16:00:00+00:00,2021-01-02 11:00:00-05:00,20.538987
2021-01-02 17:00:00+00:00,2021-01-02 12:00:00-05:00,21.32215
2021-01-02 18:00:00+00:00,2021-01-02 13:00:00-05:00,23.208627999999997
2021-01-02 19:00:00+00:00,2021-01-02 14:00:00-05:00,23.2889455
2021-01-02 20:00:00+00:00,2021-01-02 15:00:00-05:00,22.0211975
2021-01-02 21:00:00+00:00,2021-01-02 16:00:00-05:00,23.2825615
2021-01-02 22:00:00+00:00,2021-01-02 17:00:00-05:00,25.8727905
2021-01-02 23:00:00+00:00,2021-01-02 18:00:00-05:00,22.373655
2021-01-03 00:00:00+00:00,2021-01-02 19:00:00-05:00,17.762768
2021-01-03 01:00:00+00:00,2021-01-02 20:00:00-05:00,18.6744495
