Datetime (UTC),Datetime (Local),Price (USD/MWh)
2023-01-01 00:00:00+00:00,2022-12-31 19:00:00-05:00,37.7
2023-01-01 01:00:00+00:00,2022-12-31 20:00:00-05:00,37.7
2023-01-01 02:00:00+00:00,2022-12-31 21:00:00-05:00,37.7
2023-01-01 03:00:00+00:00,2022-12-31 22:00:00-05:00,37.7
2023-01-01 04:00:00+00:00,2022-12-31 23:00:00-05:00,37.7
2023-01-01 05:00:00+00:00,2023-01-01 00:00:00-05:00,37.7
2023-01-01 06:00:00+00:00,2023-01-01 01:00:00-05:00,37.7
2023-01-01 07:00:00+00:00,2023-01-01 02:00:00-05:00,37.7
2023-01-01 08:00:00+00:00,2023-01-01 03:00:00-05:00,37.7
2023-01-01 09:00:00+00:00,2023-01-01 04:00:00-05:00,37.7
2023-01-01 10:00:00+00:00,2023-01-01 05:00:00-05:00,37.7
2023-01-01 11:00:00+00:00,2023-01-01 06:00:00-05:00,35.765
2023-01-01 12:00:00+00:00,2023-01-01 07:00:00-05:00,34.004999999999995
2023-01-01 13:00:00+00:00,2023-01-01 08:00:00-05:00,34.04
2023-01-01 14:00:00+00:00,2023-01-01 09:00:00-05:00,33.730000000000004
2023-01-01 15:00:00+00:00,2023-01-01 10:00:00-05:00,33.57
2023-01-01 16:00:00+00:00,2023-01-01 11:00:00-05:00,34.474999999999994
2023-01-01 17:00:00+00:00,2023-01-01 12:00:00-05:00,35.95
2023-01-01 18:00:00+00:00,2023-01-01 13:00:00-05:00,35.34
2023-01-01 19:00:00+00:00,2023-01-01 14:00:00-05:00,34.545
2023-01-01 20:00:00+00:00,2023-01-01 15:00:00-05:00,35.14
2023-01-01 21:00:00+00:00,2023-01-01 16:00:00-05:00,35.06
2023-01-01 22:00:00+00:00,2023-01-01 17:00:00-05:00,34.455
2023-01-01 23:00:00+00:00,2023-01-01 18:00:00-05:00,32.945
2023-01-02 00:00:00+00:00,2023-01-01 19:00:00-05:00,31.69
2023-01-02 01:00:00+00:00,2023-01-01 20:00:00-05:00,31.475
2023-01-02 02:00:00+00:00,2023-01-01 21:00:00-05:00,37.184999999999995
2023-01-02 03:00:00+00:00,2023-01-01 22:00:00-05:00,47.89
2023-01-02 04:00:00+00:00,2023-01-01 23:00:00-05:00,48.949999999999996
2023-01-02 05:00:00+00:00,2023-01-02 00:00:00-05:00,42.41499999999999
2023-01-02 06:00:00+00:00,2023-01-02 01:00:00-05:00,36.80499999999999
2023-01-02 07:00:00+00:00,2023-01-02 02:00:00-05:00,33.224999999999994
2023-01-02 08:00:00+00:00,2023-01-02 03:00:00-05:00,32.12499999999999
2023-01-02 09:00:00+00:00,2023-01-02 04:00:00-05:00,32.30499999999999
2023-01-02 10:00:00+00:00,2023-01-02 05:00:00-05:00,32.665
2023-01-02 11:00:00+00:00,2023-01-02 06:00:00-05:00,31.059999999999995
2023-01-02 12:00:00+00:00,2023-01-02 07:00:00-05:00,29.144999999999996
2023-01-02 13:00:00+00:00,2023-01-02 08:00:00-05:00,28.889999999999993
2023-01-02 14:00:00+00:00,2023-01-02 09:00:00-05:00,29.624999999999996
2023-01-02 15:00:00+00:00,2023-01-02 10:00:00-05:00,29.604999999999997
2023-01-02 16:00:00+00:00,2023-01-02 11:00:00-05:00,31.574999999999996
2023-01-02 17:00:00+00:00,2023-01-02 12:00:00-05:00,34.92999999999999
2023-01-02 18:00:00+00:00,2023-01-02 13:00:00-05:00,35.31999999999999
2023-01-02 19:00:00+00:00,2023-01-02 14:00:00-05:00,34.614999999999995
2023-01-02 20:00:00+00:00,2023-01-02 15:00:00-05:00,33.815
2023-01-02 21:00:00+00:00,2023-01-02 16:00:00-05:00,33.004999999999995
2023-01-02 22:00:00+00:00,2023-01-02 17:00:00-05:00,32.75999999999999
2023-01-02 23:00:00+00:00,2023-01-02 18:00:00-05:00,32.584999999999994
2023-01-03 00:00:00+00:00,2023-01-02 19:00:00-05:00,32.599999999999994
2023-01-03 01:00:00+00:00,2023-01-02 20:00:00-05:00,33.544999999999995
2023-01-03 02:00:00+00:00,2023-01-02 21:00:00-05:00,38.485
2023-01-03 03:00:00+00:00,2023-01-02 22:00:00-05:00,54.225
2023-01-03 04:00:00+00:00,2023-01-02 23:00:00-05:00,57.69
2023-01-03 05:00:00+00:00,2023-01-03 00:00:00-05:00,46.325
2023-01-03 06:00:00+00:00,2023-01-03 01:00:00-05:00,40.099999999999994
2023-01-03 07:00:00+00:00,2023-01-03 02:00:00-05:00,35.285
2023-01-03 08:00:00+00:00,2023-01-03 03:00:00-05:00,33.425
2023-01-03 09:00:00+00:00,2023-01-03 04:00:00-05:00,34.785
2023-01-03 10:00:00+00:00,2023-01-03 05:00:00-05:00,33.3
2023-01-03 11:00:00+00:00,2023-01-03 06:00:00-05:00,29.9
2023-01-03 12:00:00+00:00,2023-01-03 07:00:00-05:00,28.545
2023-01-03 13:00:00+00:00,2023-01-03 08:00:00-05:00,27.18
2023-01-03 14:00:00+00:00,2023-01-03 09:00:00-05:00,27.18
2023-01-03 15:00:00+00:00,2023-01-03 10:00:00-05:00,28.88
2023-01-03 16:00:00+00:00,2023-01-03 11:00:00-05:00,33.69
2023-01-03 17:00:00+00:00,2023-01-03 12:00:00-05:00,40.75
2023-01-03 18:00:00+00:00,2023-01-03 13:00:00-05:00,44.504999999999995
2023-01-03 19:00:00+00:00,2023-01-03 14:00:00-05:00,44.254999999999995
2023-01-03 20:00:00+00:00,2023-01-03 15:00:00-05:00,42.724999999999994
2023-01-03 21:00:00+00:00,2023-01-03 16:00:00-05:00,41.925
2023-01-03 22:00:00+00:00,2023-01-03 17:00:00-05:00,42.295
2023-01-03 23:00:00+00:00,2023-01-03 18:00:00-05:00,42.94
2023-01-04 00:00:00+00:00,2023-01-03 19:00:00-05:00,41.715
2023-01-04 01:00:00+00:00,2023-01-03 20:00:00-05:00,41.980000000000004
2023-01-04 02:00:00+00:00,2023-01-03 21:00:00-05:00,48.955
2023-01-04 03:00:00+00:00,2023-01-03 22:00:00-05:00,58.54
2023-01-04 04:00:00+00:00,2023-01-03 23:00:00-05:00,60.32
2023-01-04 05:00:00+00:00,2023-01-04 00:00:00-05:00,54.155
2023-01-04 06:00:00+00:00,2023-01-04 01:00:00-05:00,45.05
2023-01-04 07:00:00+00:00,2023-01-04 02:00:00-05:00,36.685
2023-01-04 08:00:00+00:00,2023-01-04 03:00:00-05:00,32.935
2023-01-04 09:00:00+00:00,2023-01-04 04:00:00-05:00,32.185
2023-01-04 10:00:00+00:00,2023-01-04 05:00:00-05:00,32.900000000000006
2023-01-04 11:00:00+00:00,2023-01-04 06:00:00-05:00,31.629999999999995
2023-01-04 12:00:00+00:00,2023-01-04 07:00:00-05:00,28.494999999999997
2023-01-04 13:00:00+00:00,2023-01-04 08:00:00-05:00,26.639999999999993
2023-01-04 14:00:00+00:00,2023-01-04 09:00:00-05:00,26.429999999999996
2023-01-04 15:00:00+00:00,2023-01-04 10:00:00-05:00,27.419999999999995
2023-01-04 16:00:00+00:00,2023-01-04 11:00:00-05:00,32.84499999999999
2023-01-04 17:00:00+00:00,2023-01-04 12:00:00-05:00,40.83999999999999
2023-01-04 18:00:00+00:00,2023-01-04 13:00:00-05:00,43.94
2023-01-04 19:00:00+00:00,2023-01-04 14:00:00-05:00,41.42999999999999
2023-01-04 20:00:00+00:00,2023-01-04 15:00:00-05:00,37.87499999999999
2023-01-04 21:00:00+00:00,2023-01-04 16:00:00-05:00,36.63499999999999
2023-01-04 22:00:00+00:00,2023-01-04 17:00:00-05:00,37.065
2023-01-04 23:00:00+00:00,2023-01-04 18:00:00-05:00,37.489999999999995
2023-01-05 00:00:00+00:00,2023-01-04 19:00:00-05:00,37.74999999999999
2023-01-05 01:00:00+00:00,2023-01-04 20:00:00-05:00,39.16499999999999
2023-01-05 02:00:00+00:00,2023-01-04 21:00:00-05:00,42.599999999999994
2023-01-05 03:00:00+00:00,2023-01-04 22:00:00-05:00,52.55499999999999
2023-01-05 04:00:00+00:00,2023-01-04 23:00:00-05:00,54.474999999999994
2023-01-05 05:00:00+00:00,2023-01-05 00:00:00-05:00,46.05499999999999
2023-01-05 06:00:00+00:00,2023-01-05 01:00:00-05:00,40.94999999999999
2023-01-05 07:00:00+00:00,2023-01-05 02:00:00-05:00,37.66999999999999
2023-01-05 08:00:00+00:00,2023-01-05 03:00:00-05:00,35.31999999999999
2023-01-05 09:00:00+00:00,2023-01-05 04:00:00-05:00,33.87499999999999
2023-01-05 10:00:00+00:00,2023-01-05 05:00:00-05:00,32.10999999999999
2023-01-05 11:00:00+00:00,2023-01-05 06:00:00-05:00,28.164999999999992
2023-01-05 12:00:00+00:00,2023-01-05 07:00:00-05:00,25.529999999999994
2023-01-05 13:00:00+00:00,2023-01-05 08:00:00-05:00,24.709999999999994
2023-01-05 14:00:00+00:00,2023-01-05 09:00:00-05:00,24.809999999999995
2023-01-05 15:00:00+00:00,2023-01-05 10:00:00-05:00,26.164999999999992
2023-01-05 16:00:00+00:00,2023-01-05 11:00:00-05:00,29.569999999999993
2023-01-05 17:00:00+00:00,2023-01-05 12:00:00-05:00,33.654999999999994
2023-01-05 18:00:00+00:00,2023-01-05 13:00:00-05:00,35.91999999999999
2023-01-05 19:00:00+00:00,2023-01-05 14:00:00-05:00,37.04499999999999
2023-01-05 20:00:00+00:00,2023-01-05 15:00:00-05:00,36.474999999999994
2023-01-05 21:00:00+00:00,2023-01-05 16:00:00-05:00,35.459999999999994
2023-01-05 22:00:00+00:00,2023-01-05 17:00:00-05:00,35.32999999999999
2023-01-05 23:00:00+00:00,2023-01-05 18:00:00-05:00,35.22999999999999
2023-01-06 00:00:00+00:00,2023-01-05 19:00:00-05:00,35.36
2023-01-06 01:00:00+00:00,2023-01-05 20:00:00-05:00,35.404999999999994
2023-01-06 02:00:00+00:00,2023-01-05 21:00:00-05:00,38.959999999999994
2023-01-06 03:00:00+00:00,2023-01-05 22:00:00-05:00,47.10499999999999
2023-01-06 04:00:00+00:00,2023-01-05 23:00:00-05:00,48.46499999999999
2023-01-06 05:00:00+00:00,2023-01-06 00:00:00-05:00,41.425
2023-01-06 06:00:00+00:00,2023-01-06 01:00:00-05:00,36.864999999999995
2023-01-06 07:00:00+00:00,2023-01-06 02:00:00-05:00,34.83999999999999
2023-01-06 08:00:00+00:00,2023-01-06 03:00:00-05:00,32.26499999999999
2023-01-06 09:00:00+00:00,2023-01-06 04:00:00-05:00,31.029999999999994
2023-01-06 10:00:00+00:00,2023-01-06 05:00:00-05:00,32.78999999999999
2023-01-06 11:00:00+00:00,2023-01-06 06:00:00-05:00,33.69499999999999
2023-01-06 12:00:00+00:00,2023-01-06 07:00:00-05:00,32.105
2023-01-06 13:00:00+00:00,2023-01-06 08:00:00-05:00,31.254999999999995
2023-01-06 14:00:00+00:00,2023-01-06 09:00:00-05:00,31.289999999999996
2023-01-06 15:00:00+00:00,2023-01-06 10:00:00-05:00,32.364999999999995
2023-01-06 16:00:00+00:00,2023-01-06 11:00:00-05:00,36.02499999999999
2023-01-06 17:00:00+00:00,2023-01-06 12:00:00-05:00,43.63999999999999
2023-01-06 18:00:00+00:00,2023-01-06 13:00:00-05:00,49.71999999999999
2023-01-06 19:00:00+00:00,2023-01-06 14:00:00-05:00,49.769999999999996
2023-01-06 20:00:00+00:00,2023-01-06 15:00:00-05:00,48.68499999999999
2023-01-06 21:00:00+00:00,2023-01-06 16:00:00-05:00,48.19499999999999
2023-01-06 22:00:00+00:00,2023-01-06 17:00:00-05:00,47.14999999999999
2023-01-06 23:00:00+00:00,2023-01-06 18:00:00-05:00,45.925
2023-01-07 00:00:00+00:00,2023-01-06 19:00:00-05:00,45.71499999999999
2023-01-07 01:00:00+00:00,2023-01-06 20:00:00-05:00,46.85999999999999
2023-01-07 02:00:00+00:00,2023-01-06 21:00:00-05:00,52.71999999999999
2023-01-07 03:00:00+00:00,2023-01-06 22:00:00-05:00,63.35499999999999
2023-01-07 04:00:00+00:00,2023-01-06 23:00:00-05:00,63.29499999999999
2023-01-07 05:00:00+00:00,2023-01-07 00:00:00-05:00,56.27499999999999
2023-01-07 06:00:00+00:00,2023-01-07 01:00:00-05:00,52.66
2023-01-07 07:00:00+00:00,2023-01-07 02:00:00-05:00,47.45499999999999
2023-01-07 08:00:00+00:00,2023-01-07 03:00:00-05:00,42.21499999999999
2023-01-07 09:00:00+00:00,2023-01-07 04:00:00-05:00,39.94
2023-01-07 10:00:00+00:00,2023-01-07 05:00:00-05:00,42.10499999999999
2023-01-07 11:00:00+00:00,2023-01-07 06:00:00-05:00,43.78999999999999
2023-01-07 12:00:00+00:00,2023-01-07 07:00:00-05:00,40.71499999999999
2023-01-07 13:00:00+00:00,2023-01-07 08:00:00-05:00,38.489999999999995
2023-01-07 14:00:00+00:00,2023-01-07 09:00:00-05:00,39.16999999999999
2023-01-07 15:00:00+00:00,2023-01-07 10:00:00-05:00,40.099999999999994
2023-01-07 16:00:00+00:00,2023-01-07 11:00:00-05:00,45.144999999999996
2023-01-07 17:00:00+00:00,2023-01-07 12:00:00-05:00,49.724999999999994
2023-01-07 18:00:00+00:00,2023-01-07 13:00:00-05:00,50.16
2023-01-07 19:00:00+00:00,2023-01-07 14:00:00-05:00,50.035
