Datetime (UTC),Datetime (Local),Price (USD/MWh)
2023-01-01 00:00:00+00:00,2022-12-31 18:00:00-06:00,10.42
2023-01-01 01:00:00+00:00,2022-12-31 19:00:00-06:00,10.42
2023-01-01 02:00:00+00:00,2022-12-31 20:00:00-06:00,10.42
2023-01-01 03:00:00+00:00,2022-12-31 21:00:00-06:00,10.42
2023-01-01 04:00:00+00:00,2022-12-31 22:00:00-06:00,10.42
2023-01-01 05:00:00+00:00,2022-12-31 23:00:00-06:00,10.42
2023-01-01 06:00:00+00:00,2023-01-01 00:00:00-06:00,10.42
2023-01-01 07:00:00+00:00,2023-01-01 01:00:00-06:00,10.190000000000001
2023-01-01 08:00:00+00:00,2023-01-01 02:00:00-06:00,9.350000000000001
2023-01-01 09:00:00+00:00,2023-01-01 03:00:00-06:00,8.54
2023-01-01 10:00:00+00:00,2023-01-01 04:00:00-06:00,8.415
2023-01-01 11:00:00+00:00,2023-01-01 05:00:00-06:00,8.645
2023-01-01 12:00:00+00:00,2023-01-01 06:00:00-06:00,11.29
2023-01-01 13:00:00+00:00,2023-01-01 07:00:00-06:00,14.055
2023-01-01 14:00:00+00:00,2023-01-01 08:00:00-06:00,14.620000000000001
2023-01-01 15:00:00+00:00,2023-01-01 09:00:00-06:00,14.825
2023-01-01 16:00:00+00:00,2023-01-01 10:00:00-06:00,15.81
2023-01-01 17:00:00+00:00,2023-01-01 11:00:00-06:00,17.095
2023-01-01 18:00:00+00:00,2023-01-01 12:00:00-06:00,17.055
2023-01-01 19:00:00+00:00,2023-01-01 13:00:00-06:00,17.130000000000003
2023-01-01 20:00:00+00:00,2023-01-01 14:00:00-06:00,18.1
2023-01-01 21:00:00+00:00,2023-01-01 15:00:00-06:00,17.59
2023-01-01 22:00:00+00:00,2023-01-01 16:00:00-06:00,20.29
2023-01-01 23:00:00+00:00,2023-01-01 17:00:00-06:00,28.29
2023-01-02 00:00:00+00:00,2023-01-01 18:00:00-06:00,27.905
2023-01-02 01:00:00+00:00,2023-01-01 19:00:00-06:00,20.645000000000003
2023-01-02 02:00:00+00:00,2023-01-01 20:00:00-06:00,16.815
2023-01-02 03:00:00+00:00,2023-01-01 21:00:00-06:00,16.035
2023-01-02 04:00:00+00:00,2023-01-01 22:00:00-06:00,14.524999999999999
2023-01-02 05:00:00+00:00,2023-01-01 23:00:00-06:00,10.415
2023-01-02 06:00:00+00:00,2023-01-02 00:00:00-06:00,8.2
2023-01-02 07:00:00+00:00,2023-01-02 01:00:00-06:00,6.115
2023-01-02 08:00:00+00:00,2023-01-02 02:00:00-06:00,3.515
2023-01-02 09:00:00+00:00,2023-01-02 03:00:00-06:00,3.045
2023-01-02 10:00:00+00:00,2023-01-02 04:00:00-06:00,4.68
2023-01-02 11:00:00+00:00,2023-01-02 05:00:00-06:00,7.44
2023-01-02 12:00:00+00:00,2023-01-02 06:00:00-06:00,10.54
2023-01-02 13:00:00+00:00,2023-01-02 07:00:00-06:00,14.01
2023-01-02 14:00:00+00:00,2023-01-02 08:00:00-06:00,16.44
2023-01-02 15:00:00+00:00,2023-01-02 09:00:00-06:00,17.765
2023-01-02 16:00:00+00:00,2023-01-02 10:00:00-06:00,18.115000000000002
2023-01-02 17:00:00+00:00,2023-01-02 11:00:00-06:00,18.405
2023-01-02 18:00:00+00:00,2023-01-02 12:00:00-06:00,18.229999999999997
2023-01-02 19:00:00+00:00,2023-01-02 13:00:00-06:00,15.774999999999999
2023-01-02 20:00:00+00:00,2023-01-02 14:00:00-06:00,12.55
2023-01-02 21:00:00+00:00,2023-01-02 15:00:00-06:00,11.32
2023-01-02 22:00:00+00:00,2023-01-02 16:00:00-06:00,13.26
2023-01-02 23:00:00+00:00,2023-01-02 17:00:00-06:00,23.41
2023-01-03 00:00:00+00:00,2023-01-02 18:00:00-06:00,26.77
2023-01-03 01:00:00+00:00,2023-01-02 19:00:00-06:00,18.555
2023-01-03 02:00:00+00:00,2023-01-02 20:00:00-06:00,14.42
2023-01-03 03:00:00+00:00,2023-01-02 21:00:00-06:00,14.315
2023-01-03 04:00:00+00:00,2023-01-02 22:00:00-06:00,14.19
2023-01-03 05:00:00+00:00,2023-01-02 23:00:00-06:00,11.07
2023-01-03 06:00:00+00:00,2023-01-03 00:00:00-06:00,9.915
2023-01-03 07:00:00+00:00,2023-01-03 01:00:00-06:00,9.530000000000001
2023-01-03 08:00:00+00:00,2023-01-03 02:00:00-06:00,6.1
2023-01-03 09:00:00+00:00,2023-01-03 03:00:00-06:00,6.715
2023-01-03 10:00:00+00:00,2023-01-03 04:00:00-06:00,10.2
2023-01-03 11:00:00+00:00,2023-01-03 05:00:00-06:00,13.610000000000001
2023-01-03 12:00:00+00:00,2023-01-03 06:00:00-06:00,18.215000000000003
2023-01-03 13:00:00+00:00,2023-01-03 07:00:00-06:00,24.244999999999997
2023-01-03 14:00:00+00:00,2023-01-03 08:00:00-06:00,24.255
2023-01-03 15:00:00+00:00,2023-01-03 09:00:00-06:00,18.265
2023-01-03 16:00:00+00:00,2023-01-03 10:00:00-06:00,14.954999999999998
2023-01-03 17:00:00+00:00,2023-01-03 11:00:00-06:00,13.344999999999999
2023-01-03 18:00:00+00:00,2023-01-03 12:00:00-06:00,13.325
2023-01-03 19:00:00+00:00,2023-01-03 13:00:00-06:00,14.190000000000001
2023-01-03 20:00:00+00:00,2023-01-03 14:00:00-06:00,14.780000000000001
2023-01-03 21:00:00+00:00,2023-01-03 15:00:00-06:00,15.395
2023-01-03 22:00:00+00:00,2023-01-03 16:00:00-06:00,17.19
2023-01-03 23:00:00+00:00,2023-01-03 17:00:00-06:00,35.675000000000004
2023-01-04 00:00:00+00:00,2023-01-03 18:00:00-06:00,46.480000000000004
2023-01-04 01:00:00+00:00,2023-01-03 19:00:00-06:00,35.72
